# time,value
25,0
30,138
35,311
40,618
45,943
50,1210
55,1496
60,1653
65,1851
70,1947
75,2060
80,2125
85,2157
90,2231
95,2304
100,2375
105,2415
110,2487
115,2480
120,2506
125,2533
130,2613
135,2658
140,2718
145,2807
150,2882
155,2985
160,3081
165,3176
170,3220
175,3277
180,3339
185,3362
190,3383
195,3408
200,3453
205,3484
210,3538
215,3600
220,3640
225,3672
230,3733
235,3792
240,3832
245,3880
250,3906
255,3944
260,3970
265,3958
270,3941
275,3975
280,3997
285,4007
290,4057
295,4125
300,4169
305,4221
310,4309
315,4327
320,4394
325,4448
330,4555
335,4606
340,4656
345,4713
350,4805
355,4862
360,4926
365,4992
370,5039
375,5054
380,5082
385,5154
390,5217
395,5285
400,5312
405,5410
410,5464
415,5503
420,5552
425,5591
430,5633
435,5655
440,5700
445,5723
450,5758
455,5815
460,5870
465,5860
470,5831
475,5834
480,5832
485,5887
490,5918
495,5951
500,5971
505,5962
510,5940
515,5966
520,6026
525,6064
530,6121
535,6172
540,6203
545,6192
550,6241
555,6278
560,6350
565,6361
570,6399
575,6451
580,6506
585,6565
590,6631
595,6703
600,6712
605,6759
610,6811
615,6891
620,6966
625,7017
630,7042
635,7056
640,7082
645,7122
650,7160
655,7197
660,7214
665,7189
670,7239
675,7258
680,7263
685,7270
690,7320
695,7352
700,7402
705,7453
710,7473
715,7545
720,7599
725,7695
730,7784
735,7828
740,7799
745,7905
750,7956
755,7986
760,8028
765,8057
770,8121
775,8153
780,8198
785,8259
790,8271
795,8301
800,8370
805,8404
810,8410
815,8458
820,8481
825,8522
830,8546
835,8606
840,8647
845,8667
850,8666
855,8730
860,8756
865,8792
870,8838
875,8916
880,8918
885,8923
890,8922
895,8969
900,8953
905,8968
910,8977
915,8993
920,9040
925,9031
930,8997
935,8975
940,8994
945,9021
950,9059
955,9052
960,9094
965,9078
970,9078
975,9067
980,9073
985,9109
990,9125
995,9121
1000,9145
1005,9141
1010,9174
1015,9173
1020,9234
1025,9308
1030,9399
1035,9453
1040,9449
1045,9550
1050,9599
1055,9662
1060,9736
1065,9752
1070,9792
1075,9812
1080,9849
1085,9890
1090,9964
1095,9954
1100,9971
1105,9978
1110,10000
1115,10003
1120,9942
1125,9968
1130,9925
1135,9916
1140,9923
1145,9906
1150,9886
1155,9879
1160,9867
1165,9879
1170,9900
1175,9896
1180,9910
1185,9946
1190,10037
1195,10074
1200,10086
1205,10118
1210,10150
1215,10154
1220,10170
1225,10222
1230,10235
1235,10254
1240,10290
1245,10331
1250,10374
1255,10432
1260,10422
1265,10433
1270,10462
1275,10509
1280,10539
1285,10535
1290,10574
1295,10625
1300,10604
1305,10604
1310,10615
1315,10667
1320,10660
1325,10672
1330,10740
1335,10768
1340,10784
1345,10773
1350,10771
1355,10826
1360,10851
1365,10855
1370,10827
1375,10856
1380,10859
1385,10829
1390,10848
1395,10883
1400,10883
1405,10867
1410,10890
1415,10898
1420,10956
1425,10958
1430,11004
1435,11070
1440,11118
1445,11102
1450,11211
1455,11256
1460,11280
1465,11340
1470,11377
1475,11392
1480,11439
1485,11507
1490,11578
