# time,value,value,avg
25,0,0,0
30,253,254,254
35,520,540,530
40,992,1076,1034
45,1572,1571,1572
50,2068,2157,2113
55,2598,2790,2694
60,3102,3379,3241
65,3622,3980,3801
70,4170,4497,4334
75,4708,5002,4855
80,5261,5494,5378
85,5916,5988,5952
90,6459,6462,6461
95,6975,6977,6976
100,7456,7471,7464
105,7963,7965,7964
110,8452,8460,8456
115,8950,8950,8950
120,9439,9420,9430
125,9943,9906,9925
130,10427,10436,10432
135,10934,10934,10934
140,11427,11429,11428
145,11924,11911,11918
150,12415,12415,12415
155,12912,12900,12906
160,13404,13406,13405
165,13898,13900,13899
170,14388,14391,14390
175,14877,14888,14883
180,15375,15382,15379
185,15862,15877,15870
190,16370,16369,16370
195,16864,16863,16864
200,17357,17361,17359
205,17854,17856,17855
210,18345,18348,18347
215,18843,18841,18842
220,19329,19325,19327
225,19817,19830,19824
230,20329,20328,20329
235,20805,20815,20810
240,21306,21315,21311
245,21811,21811,21811
250,22305,22304,22305
255,22790,22795,22793
260,23296,23284,23290
265,23790,23786,23788
270,24278,24281,24280
275,24776,24766,24771
280,25270,25265,25268
285,25763,25764,25764
290,26255,26258,26257
295,26754,26755,26755
300,27235,27228,27232
305,27744,27732,27738
310,28235,28206,28221
315,28723,28734,28729
320,29227,29220,29224
325,29709,29725,29717
330,30217,30220,30219
335,30694,30716,30705
340,31205,31210,31208
345,31700,31703,31702
350,32188,32179,32184
355,32689,32691,32690
360,33186,33189,33188
365,33680,33682,33681
370,34162,34177,34170
375,34664,34669,34667
380,35161,35164,35163
385,35657,35650,35654
390,36150,36155,36153
395,36646,36643,36645
400,37115,37144,37130
405,37633,37640,37637
410,38127,38134,38131
415,38579,38627,38603
420,39110,39122,39116
425,39612,39616,39614
430,40105,40109,40107
435,40596,40603,40600
440,41095,41098,41097
445,41589,41595,41592
450,42082,42088,42085
455,42578,42582,42580
460,43070,43078,43074
465,43556,43557,43557
470,44034,44068,44051
475,44554,44562,44558
480,45050,45056,45053
485,45545,45551,45548
490,46033,46034,46034
495,46533,46538,46536
500,47028,47034,47031
505,47515,47527,47521
510,48017,48022,48020
515,48512,48516,48514
520,48981,49010,48996
525,49501,49505,49503
530,49992,50000,49996
