# time,value
25,0
30,85
35,86
40,184
45,196
50,294
55,294
60,392
65,448
70,560
75,560
80,560
85,565
90,565
95,565
100,565
105,565
110,565
115,565
120,565
125,565
130,565
135,565
140,565
145,565
150,565
155,565
160,565
165,565
170,565
175,565
180,565
185,565
190,565
195,565
200,565
205,565
210,565
215,610
220,610
225,610
230,610
235,610
240,610
245,610
250,610
255,610
260,610
265,610
270,610
275,610
280,610
285,610
290,610
295,610
300,610
305,610
310,610
315,610
320,610
325,610
330,610
335,610
340,610
345,610
350,610
355,610
360,610
365,610
370,610
375,610
380,610
385,610
390,610
395,610
400,610
405,610
410,610
415,610
420,610
425,610
430,610
435,610
440,610
445,610
450,610
455,610
460,610
465,610
470,610
475,610
480,610
485,610
490,610
495,610
500,610
505,610
510,610
515,610
520,610
525,610
530,610
535,610
540,610
545,610
550,610
555,610
560,610
565,610
570,610
575,610
580,610
585,610
590,610
595,610
600,610
605,610
610,610
615,610
620,610
625,610
630,610
635,610
640,610
645,610
650,610
655,610
660,610
665,610
670,610
675,610
680,610
685,610
690,610
695,610
700,610
705,610
710,610
715,610
720,610
725,610
730,610
735,610
740,610
745,610
750,610
755,610
760,610
765,610
770,610
775,610
780,610
785,610
790,610
795,610
800,610
805,610
810,610
815,610
820,610
825,610
830,610
835,610
840,610
845,610
850,610
855,610
860,610
865,610
870,610
875,610
880,610
885,610
890,610
895,610
900,610
905,610
910,610
915,610
920,625
925,625
930,625
935,625
940,625
945,625
950,625
955,625
960,625
965,625
970,625
975,625
980,625
985,625
990,625
995,625
1000,625
1005,625
1010,625
1015,625
1020,625
1025,625
1030,625
1035,625
1040,625
1045,625
1050,625
1055,625
1060,625
1065,635
1070,635
1075,635
1080,635
1085,635
1090,635
1095,635
1100,635
1105,635
1110,635
1115,635
1120,635
1125,635
1130,635
1135,635
1140,635
1145,635
1150,635
1155,635
1160,635
1165,635
1170,635
1175,635
1180,635
1185,635
1190,635
1195,635
1200,635
1205,635
1210,635
1215,635
1220,635
1225,635
1230,635
1235,635
1240,635
1245,635
1250,635
1255,635
1260,635
1265,635
1270,635
1275,635
1280,635
1285,635
1290,635
1295,635
1300,635
1305,635
1310,635
1315,635
1320,635
1325,635
1330,635
1335,635
1340,635
1345,635
1350,635
1355,635
1360,635
1365,635
1370,635
1375,635
1380,635
1385,635
1390,635
1395,635
1400,635
1405,635
1410,635
1415,635
1420,635
1425,635
1430,635
1435,635
1440,635
1445,635
1450,635
1455,635
1460,635
1465,635
1470,635
1475,635
1480,635
1485,635
1490,650
1495,650
1500,650
1505,650
1510,650
1515,650
1520,650
1525,650
1530,650
1535,650
1540,650
1545,650
1550,650
1555,650
1560,650
1565,650
1570,650
1575,650
1580,650
1585,650
1590,650
1595,650
1600,650
1605,650
1610,650
1615,650
1620,650
1625,650
1630,650
1635,650
1640,650
1645,650
1650,650
1655,650
1660,650
1665,650
1670,650
1675,650
1680,650
1685,650
1690,650
1695,650
1700,650
1705,650
1710,650
1715,650
1720,650
1725,650
1730,650
1735,650
1740,650
1745,650
1750,650
1755,650
1760,650
1765,650
1770,650
1775,650
1780,650
1785,650
1790,650
1795,650
1800,650
1805,650
1810,650
1815,650
1820,650
1825,650
1830,650
1835,650
1840,650
1845,650
1850,650
1855,650
1860,650
1865,650
1870,650
1875,650
1880,650
1885,650
1890,650
1895,650
1900,650
1905,650
1910,650
1915,650
1920,650
1925,650
1930,650
1935,650
1940,650
1945,650
1950,650
1955,650
1960,650
1965,650
1970,650
1975,650
1980,650
1985,650
1990,650
1995,650
2000,650
2005,650
2011,650
2016,650
2021,650
2026,650
2031,650
2036,650
2041,650
2046,650
2051,650
2056,650
2061,650
2066,650
2071,650
2076,650
2081,650
2086,650
2091,650
2096,650
2101,650
2106,650
2111,650
2116,650
2121,650
2126,650
2131,650
2136,650
2141,650
2146,650
2151,650
2156,650
2161,650
2166,650
2171,650
2176,650
2181,650
2186,650
2191,650
2196,650
2201,650
2206,650
2211,650
2216,650
2221,650
2226,650
2231,650
2236,650
2241,650
2246,650
2251,650
2256,650
2261,650
2266,650
2271,650
2276,650
2281,650
2286,650
2291,650
2296,650
2301,650
2306,650
2311,650
2316,650
2321,650
2326,650
2331,650
2336,650
2341,650
2346,650
2351,650
2356,650
2361,650
2366,650
2371,650
2376,650
2381,650
2386,650
2391,650
2396,650
2401,650
2406,650
2411,650
2416,650
2421,650
2426,650
2431,650
2436,650
2441,650
2446,650
2451,650
2456,650
2461,650
2466,650
2471,650
2476,650
2481,650
2486,650
2491,650
2496,650
2501,650
2506,650
2511,650
2516,650
2521,650
2526,650
2531,650
2536,650
2541,650
2546,650
2551,650
2556,650
2561,650
2566,650
2571,650
2576,650
2581,650
2586,650
2591,650
2596,650
2601,650
2606,650
2611,650
2616,650
2621,650
2626,650
2631,650
2636,650
2641,650
2646,650
2651,650
2656,650
2661,650
2666,650
2671,650
2676,650
2681,650
2686,650
2691,650
2696,650
2701,650
2706,650
2711,650
2716,650
2721,650
2726,650
2731,650
2736,650
2741,650
2746,650
2751,650
2756,650
2761,650
2766,650
2771,650
2776,650
2781,650
2786,650
2791,650
2796,650
2801,650
2806,650
2811,650
2816,650
2821,650
2826,650
2831,650
2836,650
2841,650
2846,650
2851,650
2856,650
2861,650
2866,650
2871,650
2876,650
2881,650
2886,650
2891,650
