# time,PE1,PE2,PE3,PE4,total
25,1,1,1,1,4
30,1,1,1,1,4
35,2,1,2,1,6
40,2,1,2,1,6
45,2,1,3,1,7
50,2,1,3,1,7
55,2,1,4,1,8
60,2,1,4,1,8
65,2,1,5,1,9
70,2,1,5,1,9
75,2,1,5,1,9
80,2,1,5,1,9
85,2,1,5,1,9
90,2,1,5,1,9
95,2,1,5,1,9
100,2,1,5,1,9
105,2,1,5,1,9
110,2,1,5,1,9
115,2,1,5,1,9
120,2,1,5,1,9
125,2,1,5,1,9
130,2,1,5,1,9
135,2,1,5,1,9
140,2,1,5,1,9
145,2,1,5,1,9
150,2,1,5,1,9
155,2,1,5,1,9
160,2,1,5,1,9
165,2,1,5,1,9
170,2,1,5,1,9
175,2,1,5,1,9
180,2,1,5,1,9
185,2,1,5,1,9
190,2,1,5,1,9
195,2,1,5,1,9
200,2,1,5,1,9
205,2,1,5,1,9
210,2,1,5,1,9
215,2,1,5,1,9
220,2,1,5,1,9
225,2,1,5,1,9
230,2,1,5,1,9
235,2,1,5,1,9
240,2,1,5,1,9
245,2,1,5,1,9
250,2,1,5,1,9
255,2,1,5,1,9
260,2,1,5,1,9
265,2,1,5,1,9
270,2,1,5,1,9
275,2,1,5,1,9
280,2,1,5,1,9
285,2,1,5,1,9
290,2,1,5,1,9
295,2,1,5,1,9
300,2,1,5,1,9
305,2,1,5,1,9
310,2,1,5,1,9
315,2,1,5,1,9
320,2,1,5,1,9
325,2,1,5,1,9
330,2,1,5,1,9
335,2,1,5,1,9
340,2,1,5,1,9
345,2,1,5,1,9
350,2,1,5,1,9
355,2,1,5,1,9
360,2,1,5,1,9
365,2,1,5,1,9
370,2,1,5,1,9
375,2,1,5,1,9
380,2,1,5,1,9
385,2,1,5,1,9
390,2,1,5,1,9
395,2,1,5,1,9
400,2,1,5,1,9
405,2,1,5,1,9
410,2,1,5,1,9
415,2,1,5,1,9
420,2,1,5,1,9
425,2,1,5,1,9
430,2,1,5,1,9
435,2,1,5,1,9
440,2,1,5,1,9
445,2,1,5,1,9
450,2,1,5,1,9
455,2,1,5,1,9
460,2,1,5,1,9
465,2,1,5,1,9
470,2,1,5,1,9
475,2,1,5,1,9
480,2,1,5,1,9
485,2,1,5,1,9
490,2,1,5,1,9
495,2,1,5,1,9
500,2,1,5,1,9
505,2,1,5,1,9
510,2,1,5,1,9
515,2,1,5,1,9
520,2,1,5,1,9
525,2,1,5,1,9
530,2,1,5,1,9
535,2,1,5,1,9
540,2,1,5,1,9
545,2,1,5,1,9
550,2,1,5,1,9
555,2,1,5,1,9
560,2,1,5,1,9
565,2,1,5,1,9
570,2,1,5,1,9
575,2,1,5,1,9
580,2,1,5,1,9
585,2,1,5,1,9
590,2,1,5,1,9
595,2,1,5,1,9
600,2,1,5,1,9
605,2,1,5,1,9
610,2,1,5,1,9
615,2,1,5,1,9
620,2,1,5,1,9
625,2,1,5,1,9
