# time,value
5,0
10,0
15,0
20,0
25,0
30,15
35,11
40,3
45,7
50,3
55,7
60,4
65,8
70,5
75,2
80,3
85,3
90,2
95,2
100,3
105,2
110,3
115,2
120,3
125,3
130,2
135,2
140,3
145,2
150,2
155,2
160,2
165,2
170,2
175,2
180,2
185,3
190,3
195,2
200,3
205,2
210,2
215,1
220,1
225,1
230,1
235,3
240,1
245,2
250,2
255,1
260,2
265,2
270,3
275,1
280,3
285,2
290,3
295,2
300,4
305,1
310,2
315,3
320,2
325,1
330,3
335,2
340,1
345,4
350,1
355,2
360,2
365,1
370,3
375,2
380,1
385,1
390,2
395,2
400,2
405,2
410,2
415,1
420,2
425,2
430,2
435,6
440,2
445,1
450,2
455,2
460,1
465,1
470,2
475,3
480,2
485,1
490,2
495,1
500,2
505,2
510,2
515,1
520,1
525,1
530,2
535,1
540,2
545,2
550,1
555,2
560,2
565,1
570,2
575,2
580,1
585,1
590,1
595,2
600,2
605,1
610,3
615,2
620,2
625,1
630,1
635,2
640,1
645,2
650,3
655,2
660,3
665,2
670,2
675,1
680,1
685,2
690,3
695,1
700,2
705,2
710,4
715,2
720,2
725,2
730,2
735,2
740,1
745,2
750,2
755,1
760,1
765,2
770,2
775,2
780,3
785,2
790,3
795,2
800,2
805,1
810,3
815,2
820,1
825,2
830,2
835,1
840,3
845,2
850,2
855,2
860,3
865,3
870,2
875,2
880,2
885,2
890,3
895,2
900,2
905,2
910,2
915,3
920,1
925,2
930,2
935,2
940,2
945,3
950,2
955,2
960,2
965,3
970,1
975,2
980,2
985,2
990,3
995,1
1000,2
1005,3
1010,1
1015,2
1020,3
1025,2
1030,2
1035,2
1040,1
1045,2
1050,3
1055,3
1060,2
1065,1
1070,2
1075,2
1080,2
1085,2
1090,3
1095,1
1100,2
1105,2
1110,6
1115,1
1120,2
1125,3
1130,2
1135,2
1140,2
1145,1
1150,2
1155,2
1160,2
1165,2
1170,3
1175,2
1180,2
1185,2
1190,2
1195,2
1200,2
1205,2
1210,2
1215,2
1220,2
1225,2
1230,1
1235,2
1240,2
1245,1
1250,2
1255,2
1260,2
1265,2
1270,2
1275,3
1280,2
1285,2
1290,3
1295,3
1300,2
1305,4
1310,2
1315,1
1320,3
1325,2
1330,3
1335,2
1340,2
1345,2
1350,2
1355,1
1360,2
1365,2
1370,2
1375,1
1380,2
1385,1
1390,2
1395,1
1400,7
1405,2
1410,1
1415,2
1420,2
1425,2
1430,2
1435,2
1440,2
1445,2
1450,1
1455,2
1460,2
1465,2
1470,2
1475,1
1480,2
1485,1
1490,2
1495,2
1500,2
1505,3
1510,2
1515,2
1520,2
1525,1
1530,3
1535,1
1540,2
