# time,value,value
5,0,0
10,0,0
15,0,0
20,0,0
25,5614,5.614
30,10133,10.133
35,14942,14.942
40,19343,19.343
45,24163,24.163
50,28123,28.123
55,32739,32.739
60,36689,36.689
65,40869,40.869
70,45186,45.186
75,49416,49.416
80,53313,53.313
85,57834,57.834
90,62468,62.468
95,67011,67.011
100,71607,71.607
105,75651,75.651
110,80033,80.033
115,84458,84.458
120,89073,89.073
125,93757,93.757
130,98165,98.165
135,103165,103.165
140,107544,107.544
145,111228,111.228
150,115081,115.081
155,119705,119.705
160,123959,123.959
165,127914,127.914
170,131877,131.877
175,136660,136.66
180,140673,140.673
185,144714,144.714
190,148399,148.399
195,152637,152.637
200,158004,158.004
205,162494,162.494
210,167683,167.683
215,172546,172.546
220,177188,177.188
225,181960,181.96
230,185357,185.357
235,189924,189.924
240,194382,194.382
245,198624,198.624
250,202972,202.972
255,206899,206.899
260,210346,210.346
265,215175,215.175
270,218938,218.938
275,223392,223.392
280,228166,228.166
285,232253,232.253
290,235752,235.752
295,239520,239.52
300,243766,243.766
305,247320,247.32
310,251209,251.209
315,256129,256.129
320,261112,261.112
325,265516,265.516
330,269438,269.438
335,274157,274.157
340,277976,277.976
345,282165,282.165
350,285932,285.932
355,290440,290.44
360,294366,294.366
365,298027,298.027
370,302638,302.638
375,307149,307.149
380,311443,311.443
385,315898,315.898
390,319927,319.927
395,323797,323.797
400,328514,328.514
405,333232,333.232
410,337631,337.631
415,342138,342.138
420,346963,346.963
425,351262,351.262
430,355767,355.767
435,360699,360.699
440,365333,365.333
445,369701,369.701
450,373503,373.503
455,377559,377.559
460,381044,381.044
465,384883,384.883
470,388487,388.487
475,392091,392.091
480,395647,395.647
485,399039,399.039
490,402964,402.964
495,407363,407.363
500,411709,411.709
505,416056,416.056
510,420032,420.032
515,424326,424.326
520,428673,428.673
525,433127,433.127
530,437421,437.421
535,442297,442.297
540,446749,446.749
545,450463,450.463
550,454756,454.756
555,459208,459.208
560,463660,463.66
565,467795,467.795
570,472196,472.196
575,476702,476.702
580,480359,480.359
585,484705,484.705
590,488415,488.415
595,492549,492.549
600,496153,496.153
605,500181,500.181
610,504050,504.05
615,508184,508.184
620,511525,511.525
625,515182,515.182
630,519422,519.422
635,524086,524.086
640,528326,528.326
645,532672,532.672
650,536647,536.647
655,540622,540.622
660,544438,544.438
665,549103,549.103
670,553503,553.503
675,557214,557.214
680,561507,561.507
685,566225,566.225
690,570942,570.942
695,575555,575.555
700,579957,579.957
705,583881,583.881
710,587856,587.856
715,592308,592.308
720,596972,596.972
725,601265,601.265
730,604763,604.763
735,608367,608.367
740,612395,612.395
745,616211,616.211
750,620504,620.504
755,624691,624.691
760,629249,629.249
765,633015,633.015
770,637361,637.361
775,641442,641.442
780,645152,645.152
785,648915,648.915
790,652470,652.47
795,656922,656.922
800,660845,660.845
805,665032,665.032
810,668530,668.53
815,673512,673.512
820,678123,678.123
825,683370,683.37
830,688405,688.405
835,693334,693.334
840,697786,697.786
845,701814,701.814
850,706425,706.425
855,710771,710.771
860,714587,714.587
865,719834,719.834
870,724180,724.18
875,729376,729.376
880,733034,733.034
885,737223,737.223
890,741411,741.411
895,745651,745.651
900,749680,749.68
905,754557,754.557
910,759587,759.587
915,764165,764.165
920,768435,768.435
925,772649,772.649
930,776809,776.809
935,780814,780.814
940,785027,785.027
945,789395,789.395
950,793453,793.453
955,797565,797.565
960,801414,801.414
965,805418,805.418
970,808489,808.489
975,812764,812.764
980,817376,817.376
985,821589,821.589
990,825289,825.289
995,830387,830.387
1000,834862,834.862
1005,839074,839.074
1010,843133,843.133
1015,847762,847.762
1020,851614,851.614
1025,856921,856.921
1030,861342,861.342
1035,865294,865.294
1040,868831,868.831
1045,873461,873.461
1050,877624,877.624
1055,882149,882.149
1060,885946,885.946
1065,890575,890.575
1070,894891,894.891
1075,898895,898.895
1080,903161,903.161
1085,908104,908.104
1090,912680,912.68
1095,917465,917.465
1100,921313,921.313
1105,925837,925.837
1110,929843,929.843
1115,934627,934.627
1120,938839,938.839
1125,943157,943.157
1130,947423,947.423
1135,951533,951.533
1140,956161,956.161
1145,960373,960.373
1150,964481,964.481
1155,968329,968.329
1160,972697,972.697
1165,977273,977.273
1170,980913,980.913
1175,985126,985.126
1180,989858,989.858
1185,993810,993.81
1190,997712,997.712
1195,1001768,1001.768
1200,1005721,1005.721
1205,1010037,1010.037
1210,1014926,1014.926
1215,1020076,1020.076
1220,1024132,1024.132
1225,1028032,1028.032
1230,1032088,1032.088
1235,1036300,1036.3
1240,1040566,1040.566
1245,1045195,1045.195
1250,1048940,1048.94
1255,1053516,1053.516
1260,1057989,1057.989
1265,1062099,1062.099
1270,1066207,1066.207
1275,1070159,1070.159
1280,1075047,1075.047
1285,1079259,1079.259
1290,1083159,1083.159
1295,1086852,1086.852
1300,1091272,1091.272
1305,1095796,1095.796
1310,1100840,1100.84
1315,1105104,1105.104
1320,1109318,1109.318
1325,1114415,1114.415
1330,1118575,1118.575
1335,1122527,1122.527
1340,1126063,1126.063
1345,1130015,1130.015
1350,1134383,1134.383
1355,1138231,1138.231
1360,1143119,1143.119
1365,1147903,1147.903
1370,1152375,1152.375
1375,1156223,1156.223
1380,1160383,1160.383
1385,1164284,1164.284
1390,1168080,1168.08
1395,1171824,1171.824
1400,1175464,1175.464
1405,1179312,1179.312
1410,1183316,1183.316
1415,1187008,1187.008
1420,1190856,1190.856
1425,1194288,1194.288
1430,1197876,1197.876
1435,1201516,1201.516
1440,1205260,1205.26
1445,1209421,1209.421
1450,1213997,1213.997
1455,1219093,1219.093
1460,1223773,1223.773
1465,1228401,1228.401
1470,1232041,1232.041
1475,1235578,1235.578
1480,1239323,1239.323
1485,1243224,1243.224
1490,1247800,1247.8
1495,1252324,1252.324
1500,1256536,1256.536
1505,1259500,1259.5
1510,1263140,1263.14
1515,1267251,1267.251
1520,1271255,1271.255
1525,1275884,1275.884
1530,1280200,1280.2
1535,1285192,1285.192
1540,1288936,1288.936
1545,1293408,1293.408
1550,1297880,1297.88
1555,1301780,1301.78
1560,1305264,1305.264
1565,1309216,1309.216
1570,1312960,1312.96
1575,1317952,1317.952
1580,1322008,1322.008
1585,1326480,1326.48
1590,1330120,1330.12
1595,1334072,1334.072
1600,1338856,1338.856
1605,1343588,1343.588
1610,1347696,1347.696
1615,1351180,1351.18
