# time,value
5,0
10,0
15,0
20,0
25,277
30,436
35,453
40,456
45,456
50,403
55,429
60,442
65,410
70,445
75,459
80,418
85,425
90,418
95,426
100,441
105,414
110,423
115,386
120,410
125,396
130,390
135,395
140,401
145,421
150,429
155,404
160,405
165,378
170,434
175,436
180,399
185,406
190,397
195,403
200,383
205,388
210,475
215,501
220,455
225,441
230,440
235,397
240,424
245,417
250,437
255,432
260,444
265,421
270,426
275,448
280,465
285,477
290,447
295,461
300,413
305,415
310,379
315,404
320,396
325,417
330,438
335,441
340,400
345,472
350,456
355,427
360,434
365,437
370,441
375,430
380,408
385,429
390,383
395,442
400,395
405,401
410,422
415,419
420,422
425,433
430,401
435,414
440,446
445,432
450,382
455,447
460,421
465,512
470,495
475,500
480,457
485,433
490,459
495,446
500,430
505,475
510,427
515,446
520,437
525,439
530,426
535,416
540,418
545,410
550,449
555,426
560,422
565,449
570,434
575,440
580,413
585,423
590,437
595,394
600,422
605,420
610,439
615,437
620,421
625,418
630,468
635,456
640,470
645,445
650,498
655,477
660,506
665,478
670,484
675,453
680,436
685,452
690,459
695,460
700,427
705,424
710,397
715,413
720,449
725,443
730,432
735,441
740,455
745,445
750,423
755,402
760,441
765,429
770,425
775,435
780,419
785,433
790,436
795,431
800,418
805,428
810,432
815,434
820,492
825,462
830,415
835,369
840,424
845,458
850,511
855,467
860,438
865,414
870,436
875,429
880,435
885,442
890,445
895,417
900,441
905,439
910,448
915,441
920,462
925,484
930,416
935,436
940,438
945,445
950,459
955,470
960,461
965,461
970,421
975,466
980,457
985,462
990,424
995,467
1000,416
1005,466
1010,465
1015,443
1020,473
1025,433
1030,466
1035,468
1040,452
1045,424
1050,419
1055,351
1060,418
1065,440
1070,453
1075,440
1080,438
1085,436
1090,439
1095,426
1100,438
1105,439
1110,423
1115,420
1120,433
1125,429
1130,417
1135,457
1140,503
1145,462
1150,523
1155,488
1160,471
1165,479
1170,449
1175,462
1180,466
1185,466
1190,481
1195,467
1200,435
1205,429
1210,449
1215,447
1220,387
1225,415
1230,449
1235,416
1240,422
1245,403
1250,448
1255,441
1260,447
1265,438
1270,448
1275,443
1280,425
1285,432
1290,453
1295,423
1300,440
1305,421
1310,431
1315,457
1320,469
1325,436
1330,463
1335,435
1340,484
1345,480
1350,439
1355,446
1360,528
1365,504
1370,474
1375,483
1380,482
1385,483
1390,451
1395,480
1400,479
1405,474
1410,483
1415,496
1420,493
1425,515
1430,475
1435,487
1440,477
1445,493
1450,479
1455,441
1460,438
1465,441
1470,477
1475,441
1480,423
1485,437
1490,425
1495,466
1500,397
1505,471
1510,467
1515,424
1520,424
1525,381
1530,388
1535,401
1540,425
