# time,value
5,0
10,0
15,0
20,0
25,271
30,709
35,1161
40,1618
45,2069
50,2476
55,2904
60,3344
65,3755
70,4202
75,4661
80,5078
85,5505
90,5918
95,6346
100,6787
105,7200
110,7623
115,8009
120,8419
125,8814
130,9203
135,9599
140,10001
145,10418
150,10853
155,11253
160,11661
165,12036
170,12468
175,12909
180,13307
185,13715
190,14108
195,14510
200,14893
205,15279
210,15755
215,16256
220,16712
225,17149
230,17592
235,17989
240,18413
245,18830
250,19267
255,19698
260,20140
265,20566
270,20991
275,21434
280,21899
285,22378
290,22826
295,23288
300,23697
305,24113
310,24494
315,24895
320,25291
325,25710
330,26146
335,26589
340,26988
345,27463
350,27916
355,28340
360,28773
365,29213
370,29649
375,30085
380,30496
385,30922
390,31303
395,31731
400,32136
405,32541
410,32961
415,33382
420,33798
425,34233
430,34637
435,35051
440,35494
445,35928
450,36328
455,36758
460,37176
465,37686
470,38184
475,38677
480,39139
485,39573
490,40030
495,40475
500,40912
505,41383
510,41810
515,42252
520,42690
525,43131
530,43560
535,43974
540,44395
545,44803
550,45249
555,45679
560,46096
565,46541
570,46983
575,47420
580,47835
585,48255
590,48694
595,49090
600,49506
605,49928
610,50365
615,50804
620,51226
625,51644
630,52106
635,52567
640,53032
645,53478
650,53972
655,54451
660,54959
665,55438
670,55922
675,56376
680,56813
685,57259
690,57720
695,58186
700,58606
705,59034
710,59431
715,59844
720,60291
725,60734
730,61171
735,61605
740,62056
745,62505
750,62936
755,63333
760,63773
765,64200
770,64626
775,65067
780,65480
785,65914
790,66351
795,66785
800,67199
805,67631
810,68055
815,68486
820,68981
825,69441
830,69862
835,70233
840,70648
845,71109
850,71612
855,72089
860,72523
865,72949
870,73375
875,73802
880,74243
885,74678
890,75127
895,75542
900,75988
905,76429
910,76866
915,77313
920,77767
925,78249
930,78678
935,79114
940,79545
945,79996
950,80455
955,80916
960,81367
965,81831
970,82266
975,82725
980,83182
985,83642
990,84065
995,84534
1000,84955
1005,85420
1010,85879
1015,86327
1020,86796
1025,87234
1030,87698
1035,88165
1040,88615
1045,89044
1050,89465
1055,89816
1060,90228
1065,90669
1070,91125
1075,91565
1080,92001
1085,92439
1090,92873
1095,93298
1100,93739
1105,94179
1110,94603
1115,95023
1120,95457
1125,95883
1130,96305
1135,96753
1140,97250
1145,97722
1150,98234
1155,98726
1160,99193
1165,99675
1170,100136
1175,100590
1180,101051
1185,101524
1190,101998
1195,102466
1200,102914
1205,103336
1210,103776
1215,104226
1220,104623
1225,105027
1230,105480
1235,105896
1240,106313
1245,106732
1250,107167
1255,107607
1260,108054
1265,108497
1270,108943
1275,109386
1280,109812
1285,110241
1290,110696
