# time,value
5,0
10,0
15,0
20,0
25,1607
30,2252
35,2661
40,3078
45,3569
50,3960
55,4383
60,4816
65,5195
70,5605
75,6004
80,6423
85,6871
90,7316
95,7755
100,8114
105,8419
110,8805
115,9242
120,9449
125,9773
130,10168
135,10574
140,10988
145,11377
150,11785
155,12182
160,12616
165,12991
170,13418
175,13836
180,14281
185,14709
190,15147
195,15400
200,15421
205,15634
210,15654
215,15673
220,15696
225,15714
230,15733
235,15755
240,15833
245,16109
250,16207
255,16313
260,16731
265,17111
270,17535
275,17902
280,18266
285,18616
290,19043
295,19501
300,19970
305,20423
310,20848
315,21184
320,21595
325,21981
330,22417
335,22832
340,23214
345,23628
350,24076
355,24498
360,24874
365,25116
370,25188
375,25219
380,25274
385,25554
390,25868
395,26067
400,26197
405,26541
410,26915
415,27209
420,27415
425,27450
430,27756
435,28130
440,28537
445,28977
450,29390
455,29819
460,30245
465,30575
470,30590
475,30602
480,30612
485,30621
490,30632
495,30638
500,30648
505,30653
510,30668
515,30809
520,30910
525,30984
530,31388
535,31760
540,32166
545,32543
550,32951
555,33333
560,33745
565,34130
570,34519
575,34970
580,35386
585,35782
590,36154
595,36478
600,36869
605,37264
610,37697
615,38151
620,38543
625,38985
630,39427
635,39820
640,40259
645,40710
650,41192
655,41596
660,42028
665,42501
670,42900
675,42918
680,42944
685,42967
690,42990
695,43087
700,43473
705,43732
710,44117
715,44528
720,44962
725,45386
730,45633
735,45982
740,46313
745,46718
750,47117
755,47540
760,47975
765,48396
770,48793
775,49175
780,49474
785,49783
790,49938
795,50339
800,50771
805,50996
810,51028
815,51098
820,51149
825,51191
830,51554
835,51932
840,52345
845,52734
850,53102
855,53478
860,53870
865,54258
870,54675
875,55101
880,55544
885,55959
890,56390
895,56820
900,57267
905,57728
910,58166
915,58612
920,58860
925,58879
930,58893
935,59130
940,59149
945,59160
950,59174
955,59187
960,59314
965,59681
970,60146
975,60266
980,60285
985,60297
990,60308
995,60316
1000,60327
1005,60334
1010,60343
1015,60353
1020,60362
1025,60371
1030,60375
1035,60385
1040,60388
1045,60398
1050,60405
1055,60413
1060,60417
1065,60425
1070,60429
1075,60439
1080,60449
1085,60457
1090,60468
1095,60475
1100,60487
1105,60498
1110,60507
1115,60521
1120,60536
1125,60545
1130,60561
1135,60575
1140,60587
1145,60594
1150,60611
1155,60645
1160,60844
1165,60970
1170,61269
1175,61389
1180,61418
1185,61427
1190,61439
1195,61449
1200,61458
1205,61466
1210,61470
1215,61475
1220,61484
1225,61492
1230,61498
1235,61505
1240,61512
1245,61518
1250,61523
1255,61530
1260,61537
1265,61550
1270,61560
1275,61571
1280,61582
1285,61599
