# time,value
5,0
10,0
15,0
20,0
25,791
30,2241
35,3584
40,4912
45,6524
50,7837
55,9266
60,10739
65,12086
70,13480
75,14863
80,16320
85,17881
90,19420
95,20938
100,22517
105,23934
110,25267
115,26792
120,28346
125,29677
130,31075
135,32536
140,33969
145,35334
150,36756
155,38164
160,39695
165,41035
170,42483
175,43997
180,45546
185,47049
190,48594
195,50252
200,51845
205,53304
210,54908
215,56562
220,58134
225,59724
230,61298
235,62819
240,64229
245,65720
250,67303
255,68799
260,70314
265,71705
270,73145
275,74459
280,75701
285,76934
290,78469
295,80092
300,81726
305,83307
310,84781
315,86190
320,87674
325,89008
330,90501
335,91950
340,93276
345,94700
350,96280
355,97728
360,99281
365,100741
370,102379
375,103918
380,105535
385,106945
390,108512
395,110084
400,111643
405,112992
410,114590
415,116016
420,117595
425,119136
430,120510
435,121787
440,123236
445,124775
450,126246
455,127714
460,129201
465,130751
470,132561
475,134140
480,135796
485,137427
490,138955
495,140645
500,142077
505,143485
510,145092
515,146438
520,148079
525,149548
530,150973
535,152245
540,153664
545,154997
550,156383
555,157684
560,159088
565,160431
570,161749
575,163315
580,164799
585,166217
590,167497
595,168655
600,169975
605,171376
610,172868
615,174497
620,175876
625,177447
630,179024
635,180423
640,181919
645,183531
650,185225
655,186647
660,188182
665,189842
670,191555
675,193152
680,194801
685,196441
690,197996
695,199353
700,200804
705,202284
710,203607
715,205040
720,206578
725,208066
730,209548
735,211045
740,212469
745,213820
750,215255
755,216783
760,218242
765,219728
770,221177
775,222694
780,224207
785,225742
790,227232
795,228590
800,230085
805,231661
810,233278
815,234859
820,236456
825,237992
830,239197
835,240464
840,241912
845,243262
850,244579
855,245898
860,247278
865,248618
870,250046
875,251553
880,253128
885,254562
890,256079
895,257633
900,259219
905,260794
910,262323
915,263878
920,265581
925,267100
930,268751
935,270199
940,271953
945,273558
950,275177
955,276612
960,278030
965,279258
970,280900
975,282550
980,284239
985,286016
990,287663
995,289215
1000,290944
1005,292632
1010,294105
1015,295602
1020,297317
1025,299066
1030,300679
1035,302278
1040,303762
1045,305268
1050,306854
1055,308444
1060,310006
1065,311428
1070,312887
1075,314370
1080,315897
1085,317468
1090,319115
1095,320477
1100,322064
1105,323581
1110,325090
1115,326612
1120,328222
1125,329775
1130,331258
1135,332840
1140,334364
1145,335912
1150,337403
1155,338884
1160,340339
1165,341961
1170,343453
1175,344934
1180,346705
1185,348354
1190,350090
1195,351745
1200,353476
1205,355222
1210,356787
1215,358543
1220,360193
1225,361639
1230,363219
1235,364816
1240,366427
1245,367971
1250,369433
1255,370926
1260,372419
1265,374033
1270,375344
1275,376920
1280,378396
1285,379947
1290,381614
