# time,value
5,0
10,0
15,0
20,0
25,935
30,2090
35,3250
40,4358
45,5505
50,6660
55,7814
60,8968
65,10043
70,11203
75,12354
80,13496
85,14663
90,15807
95,16932
100,18095
105,19220
110,20341
115,21492
120,22628
125,23763
130,24909
135,26079
140,27235
145,28374
150,29539
155,30695
160,31864
165,32989
170,34158
175,35309
180,36464
185,37624
190,38814
195,39994
200,41154
205,42290
210,43426
215,44611
220,45795
225,46967
230,48144
235,49309
240,50473
245,51626
250,52804
255,53967
260,55098
265,56242
270,57403
275,58515
280,59651
285,60783
290,61953
295,63108
300,64272
305,65427
310,66607
315,67747
320,68906
325,70023
330,71179
335,72298
340,73416
345,74567
350,75736
355,76874
360,78036
365,79180
370,80345
375,81510
380,82658
385,83791
390,84925
395,86099
400,87300
405,88479
410,89687
415,90852
420,92024
425,93192
430,94349
435,95528
440,96714
445,97889
450,99075
455,100269
460,101432
465,102605
470,103756
475,104936
480,106109
485,107283
490,108433
495,109606
500,110549
505,111457
510,112351
515,113233
520,114123
525,115038
530,115957
535,116874
540,117772
545,118657
550,119546
555,120413
560,121292
565,122178
570,123087
575,123948
580,124832
585,125721
590,126615
595,127514
600,128423
605,129303
610,130168
615,131041
620,131907
625,132793
630,133698
635,134612
640,135516
645,136395
650,137273
655,138174
660,139059
665,139964
670,140848
675,141733
680,142624
685,143499
690,144382
695,145274
700,146182
705,147079
710,147969
715,148863
720,149739
725,150637
730,151515
735,152416
740,153308
745,154197
750,155090
755,155966
760,156847
765,157719
770,158610
775,159482
780,160345
785,161217
790,162090
795,162963
800,163847
805,164731
810,165602
815,166483
820,167348
825,168227
830,169079
835,169957
840,170826
845,171699
850,172574
855,173482
860,174344
865,175245
870,176151
875,177011
880,177884
885,178744
890,179630
895,180495
900,181360
905,182225
910,183086
915,183962
920,184854
925,185759
930,186646
935,187551
940,188413
945,189302
950,190189
955,191088
960,191961
965,192871
970,193765
975,194661
980,195541
985,196409
990,197298
995,198191
1000,199063
1005,199937
1010,200846
1015,201708
1020,202565
1025,203433
1030,204293
1035,205167
1040,206031
1045,206897
1050,207761
1055,208622
1060,209509
1065,210396
1070,211295
1075,212180
1080,213071
1085,213962
1090,214868
1095,215754
1100,216637
1105,217520
1110,218420
1115,219292
1120,220161
1125,221045
1130,221932
1135,222793
1140,223663
1145,224572
1150,225473
1155,226355
1160,227214
1165,228076
1170,228961
1175,229848
1180,230731
1185,231600
1190,232489
1195,233373
1200,234265
1205,235127
1210,236020
1215,236900
1220,237784
1225,238679
1230,239568
1235,240439
1240,241312
1245,242193
1250,243085
1255,243991
1260,244900
1265,245763
1270,246640
1275,247519
1280,248422
1285,249270
1290,250138
