"# time","value"
"5","0.0"
"10","0.0"
"15","0.0"
"20","0.0"
"25","89.8"
"30","98.8"
"35","98.6"
"40","98.8"
"45","98.6"
"50","98.8"
"55","99.0"
"60","98.8"
"65","98.8"
"70","98.8"
"75","98.8"
"80","99.0"
"85","99.0"
"90","98.8"
"95","99.0"
"100","99.0"
"105","98.8"
"110","98.8"
"115","99.0"
"120","99.0"
"125","99.2"
"130","99.0"
"135","99.0"
"140","99.0"
"145","99.0"
"150","99.0"
"155","98.8"
"160","99.0"
"165","99.0"
"170","99.0"
"175","99.0"
"180","99.0"
"185","98.8"
"190","98.8"
"195","99.0"
"200","99.2"
"205","99.0"
"210","99.0"
"215","99.0"
"220","99.0"
"225","99.0"
"230","99.0"
"235","99.0"
"240","99.0"
"245","98.8"
"250","99.0"
"255","98.8"
"260","99.0"
"265","99.0"
"270","99.0"
"275","99.0"
"280","99.0"
"285","99.0"
"290","99.0"
"295","99.0"
"300","99.0"
"305","99.0"
"310","99.0"
"315","98.8"
"320","99.2"
"325","98.8"
"330","99.2"
"335","99.0"
"340","99.0"
"345","99.0"
"350","98.8"
"355","99.2"
"360","99.0"
"365","98.8"
"370","99.0"
"375","99.2"
"380","99.0"
"385","99.0"
"390","98.8"
"395","99.2"
"400","99.0"
"405","99.0"
"410","99.0"
"415","99.0"
"420","99.0"
"425","98.8"
"430","99.0"
"435","99.0"
"440","99.0"
"445","99.0"
"450","99.0"
"455","99.0"
"460","98.8"
"465","99.0"
"470","99.0"
"475","99.0"
"480","99.0"
"485","98.8"
"490","99.0"
"495","99.0"
"500","99.0"
"505","98.8"
"510","99.0"
"515","99.0"
"520","99.0"
"525","98.8"
"530","99.0"
"535","99.0"
"540","98.8"
"545","99.4"
"550","98.4"
"555","98.8"
"560","99.0"
"565","98.8"
"570","99.0"
"575","99.2"
"580","98.8"
"585","99.0"
"590","99.0"
"595","99.0"
"600","98.8"
"605","99.0"
"610","99.0"
"615","99.0"
"620","98.8"
"625","99.0"
"630","99.2"
"635","99.0"
"640","99.0"
"645","99.0"
"650","99.0"
"655","99.0"
"660","99.0"
"665","99.2"
"670","99.0"
"675","99.2"
"680","99.0"
"685","98.8"
"690","99.0"
"695","99.0"
"700","99.0"
"705","99.0"
"710","99.0"
"715","99.0"
"720","99.0"
"725","99.2"
"730","99.0"
"735","99.2"
"740","99.0"
"745","99.0"
"750","99.0"
"755","99.0"
"760","99.2"
"765","99.0"
"770","99.2"
"775","99.0"
"780","99.2"
"785","99.0"
"790","99.2"
"795","99.0"
"800","99.2"
"805","99.0"
"810","99.0"
"815","99.0"
"820","99.0"
"825","99.2"
"830","99.2"
"835","99.0"
"840","99.0"
"845","99.0"
"850","99.2"
"855","99.0"
"860","99.0"
"865","99.2"
"870","99.2"
"875","99.0"
"880","99.2"
"885","99.0"
"890","99.0"
"895","99.2"
"900","99.0"
"905","99.0"
"910","99.2"
"915","99.0"
"920","99.2"
"925","99.0"
"930","99.0"
"935","99.0"
"940","99.0"
"945","99.2"
"950","98.8"
"955","99.0"
"960","99.2"
"965","98.8"
"970","99.2"
"975","99.0"
"980","99.2"
"985","99.0"
"990","99.2"
"995","99.0"
"1000","99.0"
"1005","99.0"
"1010","99.2"
"1015","99.0"
"1020","99.0"
"1025","99.0"
"1030","99.0"
"1035","99.0"
"1040","99.0"
"1045","99.2"
"1050","99.0"
"1055","99.0"
"1060","99.0"
"1065","99.0"
"1070","99.0"
"1075","99.0"
"1080","99.0"
"1085","99.2"
"1090","99.0"
"1095","99.0"
"1100","99.2"
"1105","99.0"
"1110","99.0"
"1115","99.2"
"1120","98.8"
"1125","99.0"
"1130","99.0"
"1135","98.8"
"1140","99.0"
"1145","99.2"
"1150","99.2"
"1155","99.0"
"1160","99.2"
"1165","99.0"
"1170","99.0"
"1175","99.0"
"1180","99.2"
"1185","99.2"
"1190","99.0"
"1195","99.0"
"1200","99.0"
"1205","99.2"
"1210","99.0"
"1215","99.2"
"1220","99.0"
"1225","99.0"
"1230","99.0"
"1235","99.0"
"1240","99.0"
"1245","99.2"
"1250","99.0"
"1255","99.0"
"1260","99.0"
"1265","99.0"
"1270","99.0"
"1275","99.2"
"1280","99.2"
"1285","99.0"
"1290","98.8"
"1295","99.0"
"1300","99.2"
"1305","99.0"
"1310","99.0"
"1315","99.0"
"1320","99.0"
"1325","99.2"
"1330","99.0"
"1335","99.2"
"1340","99.0"
"1345","99.2"
"1350","99.0"
"1355","99.0"
"1360","99.2"
"1365","99.0"
"1370","99.0"
"1375","99.2"
"1380","99.0"
"1385","99.2"
"1390","99.0"
"1395","99.0"
"1400","99.0"
"1405","99.0"
"1410","99.0"
"1415","99.0"
"1420","99.2"
"1425","99.2"
"1430","99.2"
"1435","99.0"
"1440","99.2"
"1445","99.0"
"1450","99.2"
"1455","99.0"
"1460","99.0"
"1465","99.2"
"1470","99.0"
"1475","99.0"
"1480","99.0"
"1485","99.2"
"1490","99.2"
"1495","99.0"
"1500","99.0"
"1505","99.2"
"1510","99.0"
"1515","99.2"
"1520","98.8"
"1525","99.2"
"1530","99.0"
"1535","99.0"
"1540","99.2"
"1545","99.0"
"1550","99.2"
"1555","99.2"
"1560","98.8"
"1565","99.2"
"1570","99.0"
"1575","99.0"
"1580","99.2"
"1585","99.0"
"1590","99.0"
"1595","99.2"
"1600","99.2"
"1605","99.0"
"1610","99.2"
"1615","99.0"
"1620","99.0"
"1625","99.0"
"1630","99.0"
"1635","99.0"
"1640","99.0"
"1645","99.2"
"1650","98.8"
"1655","99.0"
"1660","99.0"
"1665","99.2"
"1670","99.2"
"1675","99.0"
"1680","99.0"
"1685","99.2"
"1690","99.0"
"1695","99.0"
"1700","99.2"
"1705","99.0"
"1710","99.0"
"1715","97.8"
"1720","100.4"
"1725","99.0"
"1730","99.2"
"1735","99.0"
"1740","99.2"
"1745","99.0"
"1750","98.8"
"1755","99.2"
"1760","99.0"
"1765","99.2"
"1770","99.0"
"1775","99.0"
"1780","99.0"
"1785","99.0"
"1790","99.0"
"1795","99.0"
"1800","99.0"
"1805","99.0"
"1810","99.0"
"1815","99.2"
"1820","99.0"
"1825","99.2"
"1830","99.0"
"1835","99.0"
"1840","99.2"
"1845","99.0"
"1850","99.0"
"1855","99.2"
"1860","99.0"
"1865","99.2"
"1870","99.0"
"1875","99.0"
"1880","99.2"
"1885","99.0"
