# time,value
5,0
10,0
15,0
20,0
25,1
30,1
35,0
40,2
45,2
50,2
55,0
60,1
65,2
70,3
75,1
80,1
85,2
90,1
95,2
100,3
105,3
110,1
115,1
120,2
125,2
130,2
135,2
140,2
145,2
150,2
155,1
160,3
165,1
170,3
175,4
180,2
185,1
190,2
195,1
200,1
205,1
210,3
215,1
220,3
225,2
230,2
235,1
240,1
245,1
250,2
255,3
260,1
265,0
270,2
275,2
280,2
285,2
290,1
295,2
300,2
305,2
310,1
315,1
320,3
325,0
330,2
335,2
340,2
345,2
350,1
355,1
360,3
365,1
370,2
375,2
380,2
385,2
390,1
395,3
400,2
405,2
410,2
415,2
420,1
425,2
430,1
435,1
440,1
445,1
450,2
455,1
460,1
465,2
470,1
475,1
480,1
485,0
490,2
495,3
500,1
505,0
510,1
515,2
520,2
525,2
530,2
535,2
540,1
545,4
550,2
555,2
560,2
565,1
570,1
575,2
580,1
585,2
590,4
595,2
600,2
605,2
610,1
615,1
620,2
625,1
630,2
635,3
640,3
645,4
650,3
655,1
660,2
665,2
670,2
675,2
680,2
685,1
690,1
695,2
700,1
705,2
710,1
715,1
720,2
725,1
730,2
735,1
740,2
745,2
750,2
755,1
760,2
765,2
770,2
775,2
780,2
785,1
790,3
795,1
800,2
805,3
810,2
815,1
820,1
825,1
830,2
835,2
840,2
845,0
850,4
855,2
860,1
865,1
870,1
875,2
880,2
885,2
890,1
895,1
900,0
905,3
910,3
915,2
920,2
925,1
930,1
935,2
940,1
945,1
950,2
955,2
960,3
965,1
970,1
975,1
980,1
985,2
990,2
995,2
1000,1
1005,0
1010,2
1015,1
1020,2
1025,1
1030,2
1035,3
1040,0
1045,2
1050,2
1055,3
1060,2
1065,2
1070,2
1075,2
1080,0
1085,2
1090,1
1095,2
1100,2
1105,2
1110,1
1115,1
1120,2
1125,2
1130,1
1135,2
1140,2
1145,3
1150,2
1155,1
1160,1
1165,1
1170,1
1175,2
1180,2
1185,2
1190,1
1195,2
1200,1
1205,2
1210,1
1215,2
1220,2
1225,1
1230,3
1235,1
1240,2
1245,1
1250,1
1255,2
1260,4
1265,1
1270,1
1275,1
1280,1
1285,2
1290,0
1295,2
1300,1
1305,1
1310,2
1315,2
1320,1
1325,1
1330,1
1335,3
1340,2
1345,2
1350,1
1355,1
1360,2
1365,2
1370,2
1375,2
1380,1
1385,2
1390,0
1395,2
1400,1
1405,4
1410,2
1415,2
1420,2
1425,2
1430,3
1435,2
1440,2
1445,2
1450,2
1455,1
1460,2
1465,3
1470,2
1475,1
1480,2
1485,2
1490,2
1495,2
1500,2
1505,1
1510,0
1515,2
1520,1
1525,1
1530,1
1535,2
1540,2
