# time,count,1 min rate,mean rate,5 min rate,15 min rate
5,0,0.0,0.0,0.0,0.0
10,0,0.0,0.0,0.0,0.0
15,0,0.0,0.0,0.0,0.0
20,0,0.0,0.0,0.0,0.0
25,104517,1605.1403585504834,4151.685711741639,331.8171759495002,111.2207673624962
30,221259,3343.315588707707,7331.849788204116,712.181713840671,239.93611164078476
35,337270,4933.271135192049,9586.704208659308,1084.3486789644676,367.2979117770356
40,452134,6374.656767247465,11251.488118357238,1445.9313091341048,492.46823941707504
45,570489,7760.730274140867,12625.024033640615,1813.9273023189976,621.0980023522411
50,689132,9020.867856788764,13730.513685997068,2172.71696150936,747.9680481225778
55,806748,10191.63607672524,14617.152327221145,2527.93001422527,874.9241321998237
60,926577,11288.879681348428,15393.145116978554,2881.4238823962105,1002.5685464557486
65,1045713,12284.480259415237,16039.486884824739,3226.199043808274,1128.5418048082217
70,1162220,13167.711211582427,16556.243361692264,3558.5021748198774,1251.5467978745105
75,1281186,14016.031080378136,17037.01803037214,3892.6944669086006,1376.3445564640685
80,1398007,14762.813762690428,17430.98586358949,4214.39461119627,1498.1151884212566
85,1516060,15471.490997660916,17793.265075426236,4535.243532970886,1620.7081416379388
90,1634752,16125.520410221805,18122.1896762664,4851.205807889362,1742.7615230905487
95,1756484,16790.229537289695,18448.71311935707,5174.963568726316,1868.5021339697385
100,1876558,17363.54070496031,18726.115489862474,5485.462827970928,1990.8957140382424
105,1997148,17903.88529186495,18982.01686316318,5793.4910818054805,2113.503179541154
110,2118860,18413.451408988356,19224.80367096802,6098.996612498404,2236.292320669484
115,2241158,18899.09752409409,19451.72415188163,6402.930187035449,2359.5668392723846
120,2362783,19331.409576597307,19654.07973245067,6698.84190317384,2481.1534147331904
125,2483617,19718.809613132864,19834.04068174658,6987.72383497183,2601.3494864172126
130,2603449,20057.148899563756,19992.42161858383,7268.0922112744465,2719.6264712135985
135,2723638,20378.894260860652,20141.500361122973,7545.98843976252,2837.97283541765
140,2843526,20659.85065117092,20277.959712694126,7816.177469505222,2954.6197781400656
145,2964569,20947.654726427187,20412.97604837628,8087.960032421925,3072.6514987914393
150,3083959,21176.035484796466,20527.97723749632,8347.723324767345,3187.506320551591
155,3202721,21392.56836388966,20631.54474628223,8604.518696943289,3302.1691493318285
160,3321487,21575.189450360005,20728.719551333037,8853.638288765196,3415.0465930582513
165,3439427,21730.67192517446,20814.76000692094,9096.048619868967,3526.429982756779
170,3557755,21883.509271349623,20898.19535543244,9336.475354673204,3637.874406150848
175,3677999,22055.341078573558,20987.859174174293,9579.380929516754,3750.864285839195
180,3796564,22187.36845223476,21063.214111790774,9812.883322295362,3861.422094869756
185,3912480,22272.747548713607,21120.256120016023,10035.065274247243,3968.8665722234527
190,4029469,22354.322430682078,21179.886995062843,10254.199660591828,4075.9252085869907
195,4149808,22495.370285376175,21253.677317343336,10483.354736128083,4186.963565289445
200,4269483,22606.702818296446,21320.403250486357,10704.910728667592,4296.109193568409
205,4389590,22725.012872630894,21386.03403686332,10926.087292024338,4405.750412663335
210,4510033,22823.309240046867,21450.14657358367,11141.426360244523,4514.052902676192
215,4628464,22896.55581301159,21501.87154720483,11349.652549303266,4620.564247753984
220,4747761,22970.902049285767,21555.253949797887,11555.875045698123,4726.967497014416
225,4866604,23021.393837595508,21604.185063835634,11754.986589694337,4831.540262054268
230,4985348,23096.296722689414,21650.612842111015,11956.687966071233,4937.50486416111
235,5104954,23162.28432933512,21698.68214718349,12154.450567144308,5042.679636703158
240,5224945,23225.138667952193,21746.38839540732,12349.387404970772,5147.420201092742
245,5344953,23289.4918268983,21792.176207421933,12542.45094963951,5252.032563238356
250,5464657,23334.723355027625,21834.96795188486,12729.434244722845,5355.09693842837
255,5581436,23335.16124338226,21864.614653895227,12904.814776496944,5454.737143037074
260,5702619,23404.373896887173,21909.989258358877,13091.520989893941,5558.5931805744085
265,5823054,23479.294367469163,21950.890243537295,13277.465134613694,5662.652785248688
270,5945896,23550.223417603793,21999.155593032694,13460.74910660531,5766.2743876964
275,6067591,23607.757584468312,22041.530410717074,13639.40700344127,5868.786732033847
280,6188353,23660.03593754233,22079.040312050674,13814.976410900585,5970.685713155933
285,6308649,23687.122016458678,22113.639708906798,13983.300209365514,6070.564206490141
290,6430090,23738.987444349797,22150.950581954523,14154.411980216713,6171.756389012587
295,6552190,23795.213215876818,22189.212789261972,14324.45415957511,6272.977423635421
