"# time","value"
"5","0.0"
"10","0.0"
"15","0.0"
"20","0.0"
"25","0.0"
"30","12.8"
"35","13.0"
"40","15.8"
"45","15.8"
"50","15.8"
"55","14.2"
"60","15.8"
"65","14.2"
"70","14.0"
"75","15.4"
"80","14.8"
"85","13.8"
"90","15.4"
"95","16.8"
"100","15.6"
"105","16.2"
"110","15.2"
"115","15.6"
"120","16.2"
"125","15.4"
"130","17.0"
"135","17.2"
"140","17.8"
"145","14.6"
"150","14.8"
"155","13.6"
"160","17.0"
"165","15.6"
"170","14.2"
"175","15.2"
"180","15.6"
"185","16.4"
"190","13.6"
"195","14.0"
"200","15.6"
"205","19.0"
"210","17.4"
"215","19.4"
"220","17.0"
"225","18.2"
"230","17.4"
"235","12.8"
"240","18.0"
"245","16.4"
"250","16.0"
"255","16.2"
"260","13.0"
"265","15.4"
"270","17.8"
"275","14.6"
"280","15.8"
"285","17.8"
"290","15.4"
"295","13.2"
"300","14.4"
"305","16.2"
"310","13.4"
"315","14.6"
"320","19.4"
"325","17.6"
"330","16.8"
"335","15.0"
"340","17.6"
"345","14.4"
"350","14.8"
"355","15.6"
"360","16.6"
"365","14.8"
"370","14.0"
"375","17.6"
"380","16.6"
"385","16.6"
"390","16.2"
"395","15.6"
"400","15.2"
"405","17.0"
"410","17.6"
"415","15.8"
"420","18.0"
"425","18.4"
"430","16.0"
"435","17.4"
"440","19.0"
"445","17.0"
"450","17.2"
"455","14.8"
"460","14.8"
"465","12.8"
"470","15.4"
"475","13.0"
"480","13.8"
"485","13.6"
"490","12.4"
"495","15.4"
"500","16.4"
"505","16.6"
"510","15.8"
"515","15.6"
"520","17.0"
"525","15.8"
"530","15.8"
"535","17.2"
"540","18.2"
"545","16.8"
"550","13.8"
"555","16.4"
"560","16.6"
"565","16.0"
"570","16.2"
"575","16.6"
"580","17.0"
"585","14.2"
"590","15.6"
"595","15.0"
"600","15.2"
"605","14.0"
"610","15.4"
"615","15.0"
"620","14.2"
"625","12.8"
"630","14.6"
"635","16.2"
"640","17.4"
"645","16.4"
"650","15.6"
"655","15.0"
"660","14.2"
"665","16.0"
"670","16.2"
"675","16.2"
"680","15.0"
"685","16.8"
"690","17.8"
"695","17.0"
"700","18.2"
"705","15.4"
"710","15.4"
"715","14.6"
"720","17.2"
"725","17.6"
"730","15.8"
"735","13.4"
"740","13.4"
"745","15.4"
"750","14.8"
"755","16.0"
"760","16.4"
"765","17.4"
"770","13.4"
"775","16.6"
"780","14.4"
"785","14.6"
"790","13.8"
"795","13.2"
"800","17.2"
"805","15.6"
"810","14.8"
"815","13.4"
"820","19.2"
"825","18.4"
"830","19.4"
"835","19.6"
"840","17.6"
"845","17.2"
"850","14.4"
"855","17.8"
"860","15.6"
"865","15.8"
"870","18.4"
"875","17.8"
"880","18.0"
"885","14.4"
"890","15.8"
"895","15.6"
"900","15.8"
"905","16.2"
"910","18.4"
"915","19.0"
"920","17.2"
"925","16.6"
"930","15.6"
"935","16.4"
"940","16.2"
"945","16.4"
"950","16.2"
"955","15.4"
"960","15.6"
"965","14.2"
"970","15.6"
"975","11.4"
"980","16.0"
"985","19.4"
"990","14.6"
"995","14.8"
"1000","20.0"
"1005","16.4"
"1010","16.4"
"1015","15.8"
"1020","17.6"
"1025","15.4"
"1030","20.8"
"1035","16.0"
"1040","14.8"
"1045","14.6"
"1050","18.0"
"1055","15.4"
"1060","16.6"
"1065","15.6"
"1070","18.2"
"1075","15.8"
"1080","15.4"
"1085","16.6"
"1090","19.0"
"1095","17.6"
"1100","18.8"
"1105","13.8"
"1110","17.6"
"1115","15.8"
"1120","18.0"
"1125","16.0"
"1130","17.4"
"1135","15.8"
"1140","16.6"
"1145","16.8"
"1150","16.8"
"1155","15.0"
"1160","15.2"
"1165","17.0"
"1170","17.6"
"1175","14.0"
"1180","16.4"
"1185","18.2"
"1190","15.2"
"1195","14.2"
"1200","16.2"
"1205","15.6"
"1210","16.8"
"1215","18.6"
"1220","19.8"
"1225","14.8"
"1230","15.2"
"1235","15.6"
"1240","16.6"
"1245","15.8"
"1250","17.6"
"1255","14.8"
"1260","18.6"
"1265","16.6"
"1270","15.4"
"1275","15.8"
"1280","15.4"
"1285","18.8"
"1290","16.0"
"1295","14.8"
"1300","14.2"
"1305","16.8"
"1310","17.6"
"1315","20.0"
"1320","15.2"
"1325","17.2"
"1330","19.0"
"1335","16.4"
"1340","15.4"
"1345","13.0"
"1350","15.4"
"1355","17.0"
"1360","15.4"
"1365","18.6"
"1370","19.0"
"1375","16.4"
"1380","14.4"
"1385","16.0"
"1390","15.0"
"1395","14.2"
"1400","14.0"
"1405","14.8"
"1410","14.6"
"1415","16.0"
"1420","14.2"
"1425","14.4"
"1430","13.2"
"1435","13.8"
"1440","14.6"
"1445","14.2"
"1450","15.4"
"1455","17.8"
"1460","19.8"
"1465","17.8"
"1470","17.4"
"1475","14.4"
"1480","13.0"
"1485","15.0"
"1490","15.2"
"1495","17.8"
"1500","17.4"
"1505","15.2"
"1510","11.4"
"1515","14.8"
"1520","15.6"
"1525","16.0"
"1530","17.2"
"1535","17.0"
"1540","18.4"
"1545","15.4"
"1550","16.8"
"1555","17.2"
"1560","14.8"
"1565","13.2"
"1570","15.6"
"1575","14.6"
"1580","19.4"
"1585","15.0"
"1590","17.0"
"1595","14.0"
"1600","16.2"
"1605","17.8"
"1610","18.0"
"1615","15.4"
"1620","13.8"
"1625","13.8"
"1630","13.6"
"1635","17.2"
"1640","15.0"
"1645","17.2"
"1650","17.8"
"1655","15.8"
"1660","17.0"
"1665","14.6"
"1670","14.6"
"1675","12.6"
"1680","14.0"
"1685","14.0"
"1690","16.8"
"1695","14.6"
"1700","16.2"
"1705","15.2"
"1710","17.0"
"1715","13.6"
"1720","14.2"
"1725","14.0"
"1730","16.4"
"1735","17.8"
"1740","15.6"
"1745","19.4"
"1750","13.6"
"1755","15.4"
"1760","15.0"
"1765","15.0"
"1770","16.0"
"1775","16.2"
"1780","17.6"
"1785","16.8"
"1790","15.2"
"1795","14.8"
"1800","14.6"
"1805","16.4"
"1810","16.0"
"1815","15.4"
"1820","15.2"
"1825","15.2"
"1830","15.6"
"1835","16.4"
"1840","18.0"
"1845","19.8"
"1850","16.6"
"1855","18.2"
"1860","17.0"
"1865","14.4"
"1870","16.0"
"1875","14.4"
"1880","15.6"
"1885","13.4"
