"# time","value"
"5","0.0"
"10","0.0"
"15","0.0"
"20","0.0"
"25","0.0"
"30","41.0"
"35","40.2"
"40","52.6"
"45","47.4"
"50","52.0"
"55","50.0"
"60","59.4"
"65","48.2"
"70","49.0"
"75","53.4"
"80","47.4"
"85","50.6"
"90","61.2"
"95","52.4"
"100","57.8"
"105","59.2"
"110","49.6"
"115","60.6"
"120","51.8"
"125","51.6"
"130","52.2"
"135","58.2"
"140","59.4"
"145","57.8"
"150","53.8"
"155","58.6"
"160","58.6"
"165","53.4"
"170","53.0"
"175","51.6"
"180","67.0"
"185","50.4"
"190","51.8"
"195","55.6"
"200","47.2"
"205","58.8"
"210","50.4"
"215","70.4"
"220","64.4"
"225","62.8"
"230","58.8"
"235","49.2"
"240","60.4"
"245","55.8"
"250","58.6"
"255","50.0"
"260","55.2"
"265","58.0"
"270","58.8"
"275","53.8"
"280","59.2"
"285","65.6"
"290","73.2"
"295","62.0"
"300","59.8"
"305","63.8"
"310","53.0"
"315","60.6"
"320","64.6"
"325","68.8"
"330","64.4"
"335","51.2"
"340","64.8"
"345","62.4"
"350","64.8"
"355","54.8"
"360","57.2"
"365","52.4"
"370","57.0"
"375","57.0"
"380","59.0"
"385","57.6"
"390","55.6"
"395","52.8"
"400","54.6"
"405","52.4"
"410","59.8"
"415","58.6"
"420","62.0"
"425","57.2"
"430","55.2"
"435","61.2"
"440","50.8"
"445","54.2"
"450","52.4"
"455","56.0"
"460","51.8"
"465","48.8"
"470","57.2"
"475","48.4"
"480","57.0"
"485","53.4"
"490","54.2"
"495","57.2"
"500","53.2"
"505","54.4"
"510","60.4"
"515","59.4"
"520","57.4"
"525","52.2"
"530","52.6"
"535","65.2"
"540","72.6"
"545","61.8"
"550","60.0"
"555","68.0"
"560","64.4"
"565","67.0"
"570","60.0"
"575","58.2"
"580","61.8"
"585","50.4"
"590","54.4"
"595","52.6"
"600","59.8"
"605","60.4"
"610","58.0"
"615","58.2"
"620","56.2"
"625","50.2"
"630","56.0"
"635","53.4"
"640","54.6"
"645","55.8"
"650","64.6"
"655","64.8"
"660","55.6"
"665","48.2"
"670","55.4"
"675","63.2"
"680","60.2"
"685","70.2"
"690","76.6"
"695","68.0"
"700","80.8"
"705","67.6"
"710","61.4"
"715","56.2"
"720","72.6"
"725","63.0"
"730","57.0"
"735","54.8"
"740","69.4"
"745","67.4"
"750","54.4"
"755","62.4"
"760","62.8"
"765","54.0"
"770","62.0"
"775","52.0"
"780","60.4"
"785","49.4"
"790","56.6"
"795","52.8"
"800","63.0"
"805","49.6"
"810","53.8"
"815","54.6"
"820","56.6"
"825","63.2"
"830","63.0"
"835","61.2"
"840","57.2"
"845","58.4"
"850","57.8"
"855","55.8"
"860","52.0"
"865","58.4"
"870","65.4"
"875","58.0"
"880","55.4"
"885","63.2"
"890","72.4"
"895","63.4"
"900","67.2"
"905","58.4"
"910","56.0"
"915","59.6"
"920","56.8"
"925","58.2"
"930","55.8"
"935","58.6"
"940","58.2"
"945","59.6"
"950","55.8"
"955","62.6"
"960","56.6"
"965","68.2"
"970","72.4"
"975","58.0"
"980","64.6"
"985","63.2"
"990","58.8"
"995","61.6"
"1000","57.8"
"1005","56.8"
"1010","55.4"
"1015","63.2"
"1020","49.6"
"1025","52.8"
"1030","57.6"
"1035","53.2"
"1040","52.6"
"1045","55.8"
"1050","64.2"
"1055","57.2"
"1060","52.0"
"1065","50.2"
"1070","53.8"
"1075","51.4"
"1080","48.0"
"1085","56.6"
"1090","54.8"
"1095","52.8"
"1100","56.4"
"1105","55.2"
"1110","56.0"
"1115","53.4"
"1120","62.8"
"1125","54.0"
"1130","59.4"
"1135","62.4"
"1140","52.2"
"1145","53.0"
"1150","55.2"
"1155","52.0"
"1160","53.2"
"1165","54.2"
"1170","58.6"
"1175","60.0"
"1180","52.6"
"1185","54.8"
"1190","57.4"
"1195","67.6"
"1200","66.4"
"1205","66.0"
"1210","57.6"
"1215","66.8"
"1220","61.4"
"1225","58.8"
"1230","57.4"
"1235","60.4"
"1240","46.0"
"1245","45.8"
"1250","53.6"
"1255","59.6"
"1260","58.0"
"1265","52.6"
"1270","59.6"
"1275","64.2"
"1280","62.0"
"1285","67.8"
"1290","62.2"
"1295","67.0"
"1300","65.8"
"1305","57.6"
"1310","54.6"
"1315","71.2"
"1320","63.6"
"1325","73.0"
"1330","72.6"
"1335","58.2"
"1340","51.6"
"1345","47.8"
"1350","55.2"
"1355","63.2"
"1360","59.6"
"1365","58.4"
"1370","62.4"
"1375","62.4"
"1380","55.6"
"1385","62.6"
"1390","63.4"
"1395","54.4"
"1400","61.4"
"1405","51.0"
"1410","57.0"
"1415","53.2"
"1420","60.0"
"1425","52.0"
"1430","53.0"
"1435","55.2"
"1440","73.0"
"1445","60.0"
"1450","60.6"
"1455","52.8"
"1460","55.2"
"1465","54.6"
"1470","72.0"
"1475","63.8"
"1480","67.8"
"1485","69.0"
"1490","71.6"
"1495","64.8"
"1500","51.2"
"1505","58.0"
"1510","54.6"
"1515","56.8"
"1520","57.6"
"1525","60.0"
"1530","55.0"
"1535","50.8"
"1540","62.4"
"1545","61.2"
"1550","57.2"
"1555","61.4"
"1560","61.6"
"1565","69.2"
"1570","64.4"
"1575","52.4"
"1580","54.8"
"1585","65.8"
"1590","58.2"
"1595","48.4"
"1600","57.8"
"1605","54.6"
"1610","54.8"
"1615","57.4"
"1620","51.6"
"1625","68.6"
"1630","61.2"
"1635","58.0"
"1640","49.2"
"1645","53.0"
"1650","61.6"
"1655","62.2"
"1660","49.6"
"1665","53.6"
"1670","59.6"
"1675","50.8"
"1680","50.0"
"1685","53.2"
"1690","54.0"
"1695","49.2"
"1700","61.4"
"1705","59.2"
"1710","57.6"
"1715","69.8"
"1720","62.8"
"1725","68.0"
"1730","67.2"
"1735","66.0"
"1740","70.4"
"1745","70.2"
"1750","59.6"
"1755","61.8"
"1760","73.4"
"1765","74.2"
"1770","71.6"
"1775","65.0"
"1780","59.8"
"1785","64.6"
"1790","49.4"
"1795","48.4"
"1800","70.4"
"1805","70.6"
"1810","64.4"
"1815","72.6"
"1820","64.8"
"1825","58.8"
"1830","48.2"
"1835","66.8"
"1840","51.2"
"1845","57.6"
"1850","53.2"
"1855","53.4"
"1860","74.8"
"1865","69.0"
"1870","73.6"
"1875","65.4"
"1880","59.4"
"1885","72.0"
