# time,count,1 min rate,mean rate,5 min rate,15 min rate
5,0,0.0,0.0,0.0,0.0
10,0,0.0,0.0,0.0,0.0
15,0,0.0,0.0,0.0,0.0
20,0,0.0,0.0,0.0,0.0
25,88753,1351.2813749985846,3525.720625687632,279.3390418331357,93.6307847780433
30,203666,3080.3144022538218,6749.053315007683,654.4851562845238,220.40369626884393
35,318106,4665.680593001502,9041.632220372274,1022.3100154286668,346.09864425585573
40,431067,6097.854585417525,10726.997223005483,1378.5909270363156,469.2656488764217
45,548149,7475.5809036477185,12130.387196022557,1741.3992770331822,595.9120517493297
50,664442,8744.589508159901,13238.295968618993,2098.508446294434,721.9565370366007
55,781191,9917.682704482611,14153.754235935681,2450.862201265607,847.6872032656959
60,898432,10994.054173174416,14925.119853358332,2796.7871161364837,972.5185329304154
65,1015747,11992.567174069703,15579.365740576352,3138.690223915566,1097.226697649739
70,1130379,12862.710443158176,16102.144399454713,3464.909342858911,1217.8810879204595
75,1247553,13707.784176627645,16589.199790884846,3794.936322833417,1340.9506831306785
80,1362647,14450.49287430286,16989.635627244937,4112.315213332471,1460.9273799291877
85,1479482,15155.66172921883,17363.466544640847,4428.963890999802,1581.752957116625
90,1596127,15814.906586121308,17693.43206936845,4742.540760216116,1702.6337941225077
95,1716473,16465.400715424337,18027.778405845125,5060.022054357991,1825.89090848499
100,1834983,17048.7086357354,18310.333932408543,5369.118726204211,1947.4136388507557
105,1953660,17577.87799591887,18567.753264255054,5671.556101804706,2067.743448562294
110,2073540,18091.4744578966,18812.771009169453,5974.521773118569,2189.2592396656514
115,2194128,18572.145492703326,19042.683145765965,6274.162468344617,2310.6658022895926
120,2314418,19005.125336765428,19250.967288221127,6566.936532855241,2430.758204502361
125,2432771,19388.054595965295,19427.176503097387,6851.681458308341,2549.116027218359
130,2551773,19738.73542814872,19594.805890564458,7131.382781769989,2666.7051105060004
135,2669894,20043.563264696055,19743.520846250893,7402.778488902104,2782.4083865347548
140,2787659,20325.217746915532,19879.119907729022,7669.936347748947,2897.5537511079046
145,2906682,20599.336056835342,20014.02213713717,7935.775925142751,3013.09941734367
150,3024753,20849.266338200163,20133.59828145961,8196.752150094093,3127.8476027094534
155,3142478,21059.032507869044,20243.278750787038,8449.243012404444,3240.561731323584
160,3258938,21245.16651142628,20338.204462816382,8696.142418575375,3352.1760614920167
165,3374979,21394.734107019183,20424.783148461735,8934.478394786414,3461.6695420854126
170,3491255,21542.19346607164,20507.7110475114,9170.911340697856,3571.2389588796445
175,3610012,21722.90960255051,20600.10273712427,9412.748576661614,3683.3226660848627
180,3726457,21845.904511748675,20674.518219535814,9641.643345511347,3791.78708225624
185,3841425,21927.4028791775,20736.912552894777,9860.20951231752,3897.4566888859067
190,3956321,22018.504042942528,20795.691399994284,10078.495253052168,4003.6577644757954
195,4075137,22148.16769248232,20871.524144696592,10302.650516219685,4112.447193118865
200,4192975,22261.94707363128,20938.700669463116,10521.960349082501,4220.2516413041285
205,4311340,22371.426492879604,21005.167537570527,10738.637022016173,4327.7912455804035
210,4429418,22479.348423759246,21067.123670892972,10953.219913711539,4435.233677783054
215,4546448,22556.829509791954,21121.31915724743,11159.747074774963,4540.569509116315
220,4664036,22626.196616186862,21175.390598397273,11362.46395701138,4645.188800285577
225,4779886,22676.984674569077,21219.494615088737,11559.136070871537,4748.325439904938
230,4898020,22739.495176565673,21271.621036146476,11755.82021563137,4851.984312868378
235,5015812,22819.251258633438,21320.10368725952,11953.85169896881,4956.6101702049955
240,5133908,22879.86948504744,21367.801039429673,12145.972053819065,5059.772176130934
245,5252489,22940.358325221252,21415.44526836969,12335.892122736894,5162.689517831633
250,5369943,22987.199639262722,21456.73385319401,12520.851643236554,5264.426157066518
255,5485236,22988.702833110656,21487.97258013384,12694.15590203851,5362.717172788718
260,5604385,23051.443754428,21532.810203989604,12877.279699733239,5464.715153985106
265,5723986,23129.79672968036,21577.693293249184,13061.641092195432,5567.577410077209
270,5844303,23195.744357974418,21623.561550725135,13241.685866522304,5669.444309962778
275,5964584,23257.570465473753,21667.622064540803,13418.992773547505,5770.826629928441
280,6083532,23308.31264140032,21705.35788741159,13592.099662825696,5871.221792758654
285,6202102,23337.263548112478,21740.447280449476,13758.679315348289,5969.831945414701
290,6321687,23391.78817630875,21777.80644006085,13928.270805298804,6069.828187852666
295,6442247,23444.17602121377,21817.197008222694,14095.518688059969,6169.424452134048
