# time,value
20,0
25,25
30,54
35,124
40,217
45,302
50,505
55,819
64,1167
69,1533
74,1995
80,2468
85,2871
90,3507
95,4366
100,5293
105,6149
110,7034
115,7851
120,8719
125,9595
130,10475
135,11360
140,12183
145,13061
150,13936
155,14799
160,15665
165,16501
170,17364
175,18235
180,19069
185,19980
190,20840
195,21727
200,22658
205,23505
210,24435
215,25370
220,26262
225,27123
230,27927
235,28752
240,29595
245,30503
250,31380
255,32257
260,33114
265,33969
270,34871
275,35713
280,36561
285,37413
290,38263
295,39111
300,40025
305,40903
310,41791
315,42634
320,43542
325,44450
330,45303
335,46202
340,47049
345,47950
350,48787
355,49655
360,50526
365,51447
370,52313
375,53168
380,54032
385,54904
390,55808
395,56697
400,57614
405,58491
410,59401
415,60285
420,61207
425,62085
430,62964
435,63913
440,64854
445,65742
450,66674
455,67582
460,68449
465,69348
470,70215
475,71087
480,71936
485,72860
490,73768
495,74626
500,75497
505,76341
510,77235
515,78095
520,78963
525,79864
530,80771
535,81623
540,82505
545,83447
550,84358
555,85259
560,86163
565,87106
570,88036
575,88897
580,89773
585,90677
590,91488
595,92358
600,93238
605,94110
610,94953
615,95859
620,96692
625,97623
630,98456
635,99292
640,100167
645,101001
650,101857
655,102735
660,103599
665,104489
670,105375
675,106220
680,107129
685,108006
690,108905
695,109760
700,110671
705,111553
710,112422
715,113316
720,114158
725,115053
730,115967
735,116910
740,117861
745,118754
750,119635
755,120548
760,121458
765,122359
770,123168
775,124052
780,124961
785,125877
790,126719
795,127589
800,128540
805,129398
810,130286
815,131122
820,132020
825,132949
830,133781
835,134314
840,135034
845,135761
850,136571
855,137372
860,138183
865,138993
870,139800
875,140640
880,141479
885,142249
890,143087
895,143928
900,144726
905,145555
910,146414
915,147229
920,148006
925,148837
930,149625
935,150449
940,151354
945,152209
950,153102
955,154073
960,154890
965,155778
970,156644
975,157510
980,158352
985,159190
990,160053
995,160877
1000,161717
1005,162634
1010,163494
1015,164352
1020,165175
1025,166077
1030,166949
1035,167873
1040,168781
1045,169637
1050,170437
1055,171308
1060,172208
1065,173025
1070,173832
1075,174732
1080,175592
1085,176706
1094,177774
1099,178571
1104,179865
1109,181042
1114,182599
1119,184168
1125,185772
1130,186489
1135,188163
1140,189854
1145,191566
1150,193188
1155,194934
1160,196723
1165,198437
1170,200221
1175,201970
1180,203636
1185,205389
1190,207171
1195,208863
1200,210599
1205,212347
1210,214102
1215,215866
1220,217592
1225,219234
1230,220977
1235,222650
1240,224397
1245,226115
1250,228035
1255,229887
1260,231689
1265,233593
1270,235377
1275,237193
1280,238993
1285,240777
1290,242541
1295,244409
1300,246196
1305,247957
1310,249667
1315,251445
1320,253368
1325,255122
1330,256993
1335,258779
1340,260683
1345,262470
1350,264269
1355,266063
1360,267835
1365,269652
1370,271438
1375,273193
1380,274998
1385,276894
1390,278635
1395,280391
1400,282171
1405,283896
1410,285703
1415,287471
1420,289199
1425,290995
1430,292777
1435,294492
1440,296271
1445,298001
1450,299889
1455,301604
1460,303475
1465,305274
1470,307025
1475,308767
1480,310568
1485,312423
1490,314224
1495,316027
1500,317771
1505,319623
1510,321370
1515,323030
1520,324895
1525,326692
1530,328488
1535,330322
1540,332113
1545,333952
1550,335810
1561,337121
1566,337397
1571,339478
1576,341522
1581,343637
1586,345655
1591,347764
1596,349877
1601,352039
1606,354086
1611,356054
1616,358017
1621,360068
1626,362227
1631,364303
1636,366578
1641,368860
1646,371018
1651,373185
1656,375376
1661,377614
1666,379742
1671,382016
1676,384067
1681,386262
1686,388442
1691,390549
1696,392804
1701,394992
1706,397207
1711,399483
1716,401754
1721,404054
1726,406375
1731,408685
1736,410929
1741,413212
1746,415528
1751,417841
1756,420010
1761,422275
1766,424576
1771,426734
1776,428941
1781,431129
1786,433450
1791,435745
1796,437905
1801,440165
1806,442507
1811,444804
1816,447107
1821,449431
1826,451757
1831,454104
1836,456551
1841,458818
1846,461129
1851,463342
1856,465471
1861,467641
1866,469823
1871,472042
1876,474131
1881,476204
1886,478379
1891,480615
1896,482938
1901,485072
1906,487325
1911,489558
1916,491616
1921,493812
1926,495952
1931,498203
1936,500377
1941,502624
1946,504838
1951,507055
1956,509197
1961,511410
1966,513538
1971,515557
1976,517671
1981,519951
1986,522195
1991,524538
1996,526922
2002,528856
2007,528874
2012,530975
2017,533114
2022,535360
2027,537551
2032,539818
2037,542013
2042,544215
2047,546457
2052,548558
2057,550797
2062,553107
2067,555420
2072,557528
2077,559586
2082,561693
2087,563839
2092,565956
2097,568073
2102,570181
2107,572373
2112,574582
2117,576667
2122,578648
2127,580701
2132,582669
2137,584739
2142,586790
2147,588883
2152,590943
2157,593033
2162,595094
2167,597242
2172,599338
2177,601577
2182,603576
2187,605661
2192,607674
2197,609678
2202,611688
2207,613781
2212,615894
2217,617960
2222,619942
2227,621977
2232,624139
2237,626476
2242,628653
2247,630878
2252,633175
2257,635449
2262,637438
2267,639661
2272,641931
2277,644113
2282,646323
2287,648493
2292,650666
2297,652884
2302,655092
2307,657192
2312,659380
2317,661591
2322,663934
2327,666223
2332,668421
2337,670650
2342,672700
2347,674895
2352,677018
2357,679194
2362,681366
2367,683484
2372,685715
2377,687834
2382,690077
2387,692277
2392,694505
2397,696706
2402,699027
2407,701150
2412,703360
2417,705609
2422,707826
2427,709957
2432,712055
2437,714201
2442,716352
2447,718467
2452,720603
2457,722770
2462,724857
2467,726937
2472,728977
2477,731050
2482,733291
2487,735517
2492,737716
2497,739869
2502,742094
2507,744219
2512,746340
2517,748519
2522,750711
2527,752931
2532,755058
2537,757138
2542,759163
2547,761219
2552,763278
2557,765368
2562,767428
2567,769553
2572,771547
2577,773569
2582,775744
2587,777804
2592,779874
2597,781904
2602,784047
2607,786173
2612,788184
2617,790242
2622,792279
2627,794285
2632,796299
2637,798406
2642,800563
2647,802892
2652,805254
2657,807491
2662,809670
2667,811793
2672,814043
2677,816300
2682,818545
2687,822958
2692,825134
2697,827353
2702,829548
2707,831729
2712,833898
2717,836131
2722,838406
2727,840521
2732,842754
2737,844830
2742,846746
2747,848908
2752,850904
2757,852932
2762,855016
2767,857277
2772,859429
2777,861537
2782,863700
2787,865916
2792,868122
2797,870387
2802,872520
2807,874732
2812,876905
2817,879076
2822,881254
2827,883387
2832,885604
2837,887782
2842,889809
2847,891901
2852,894127
2857,896341
2862,898473
2867,900581
2872,902640
2877,904620
2882,906726
2887,908960
2892,911071
2897,913277
2904,914241
2909,915683
2914,917782
2919,919907
2924,921966
2929,924138
2934,926188
2939,928440
2944,930646
2949,932944
2954,935088
2959,937200
2964,939314
2969,941374
2974,943479
2979,945638
2984,947698
2989,949715
2994,951833
2999,954066
3004,956179
3009,958372
3014,960398
3019,962581
3024,964683
3029,966897
3034,969090
3039,971143
3044,973382
3049,975579
3054,977658
3059,979904
3064,982052
3069,984127
3074,986173
3079,988173
3084,990296
3089,992466
3094,994675
3099,996831
3104,998960
3109,1000904
3114,1002999
3119,1005237
3124,1007304
3129,1009514
3134,1011614
3139,1013720
3144,1015846
3149,1018003
3154,1020120
3159,1022145
3164,1024395
3169,1026600
3174,1028646
3179,1030924
3184,1032840
3189,1034733
3194,1036319
3199,1037888
3204,1039450
3209,1041013
3214,1042540
3219,1044127
3224,1045751
3229,1047357
3234,1048857
3239,1050385
3244,1051957
3249,1053519
3254,1055028
3259,1056622
3264,1058137
3269,1059637
3274,1061190
3279,1062743
3284,1064360
3289,1065984
3294,1067578
3299,1069094
3304,1070591
3309,1072162
3314,1073798
3319,1075375
3324,1076950
3329,1078560
3334,1080107
3339,1081692
3344,1083245
3349,1084838
3354,1086407
3359,1087964
3364,1089571
3369,1091137
3374,1092705
3379,1094265
3384,1095889
3389,1097512
3394,1099057
3399,1100549
3404,1102248
3409,1103826
3414,1105344
3419,1106918
3424,1108414
3429,1109859
3434,1111444
3439,1112978
3444,1114521
3449,1116156
3454,1117763
3459,1119346
3464,1120913
3469,1122526
3474,1124060
3479,1125544
3484,1127083
3489,1128636
3494,1130158
3499,1131692
3504,1133162
3509,1134656
3514,1136202
3519,1137708
3524,1139219
3529,1140745
3534,1142192
3539,1143688
3544,1145028
3549,1146453
3554,1148041
3559,1149505
3564,1150989
3569,1152528
3574,1154085
3579,1155612
3584,1157213
3589,1158734
3594,1160279
3599,1161759
3604,1163303
3609,1164815
3614,1166419
3619,1167980
3624,1169520
3629,1171125
3634,1172725
3639,1174276
3644,1175846
3649,1177434
3654,1178984
3659,1180426
3664,1182022
3669,1183632
3674,1185103
3679,1186729
3684,1188264
3689,1189737
3694,1191256
3699,1192714
3704,1194255
3709,1195704
3714,1197246
3719,1198825
3724,1200385
3729,1201930
3734,1203489
3739,1205081
3744,1206602
3749,1208072
3754,1209561
3759,1211104
3764,1212676
3769,1214311
3774,1215902
3779,1217450
3784,1219070
3789,1220658
3794,1222193
3799,1223798
3804,1225393
3809,1226944
3814,1228559
3819,1230220
3824,1231785
3829,1233370
3834,1234849
3839,1236339
3844,1237910
3849,1239471
3854,1241017
3859,1242502
3864,1244064
3869,1245589
3874,1247171
3879,1248781
3884,1250269
3889,1251825
3894,1253397
3899,1254900
3904,1256446
3909,1257956
3914,1259512
3919,1261089
3924,1262563
3929,1264164
3934,1265614
3939,1267212
3944,1268810
3949,1270274
3954,1271812
3959,1273344
3964,1274738
3969,1276212
3974,1277760
3979,1279218
3984,1280694
3989,1282120
3994,1283638
3999,1285103
4004,1286583
4009,1287957
4014,1289494
4019,1290986
4024,1292455
4029,1293858
4034,1295257
4039,1296687
4044,1298185
4049,1299701
4054,1301065
4059,1302407
4064,1303881
4069,1305316
4074,1306776
4079,1308243
4084,1309754
4089,1311241
4094,1312787
4099,1314258
4104,1315821
4109,1317334
4114,1318893
4119,1320331
4124,1321799
4129,1323237
4134,1324702
4139,1326225
4144,1327718
4149,1329236
4154,1330763
4159,1332312
4164,1333826
4169,1335392
4174,1336929
4179,1338411
4184,1339921
4189,1341487
4194,1343062
4199,1344531
4204,1345984
4209,1347449
4214,1348995
