"# time","value"
"20","0.0"
"25","5.0"
"30","5.8"
"35","11.6"
"40","13.2"
"45","19.8"
"50","22.8"
"55","32.0"
"64","32.0"
"69","40.0"
"74","40.0"
"80","40.0"
"85","48.0"
"90","48.0"
"95","56.0"
"100","67.2"
"105","67.2"
"110","67.2"
"115","67.2"
"120","67.2"
"125","67.2"
"130","67.2"
"135","67.2"
"140","67.2"
"145","67.2"
"150","67.2"
"155","67.2"
"160","67.2"
"165","67.2"
"170","67.2"
"175","67.2"
"180","67.2"
"185","67.2"
"190","67.2"
"195","67.2"
"200","67.2"
"205","67.2"
"210","67.2"
"215","67.2"
"220","67.2"
"225","67.2"
"230","67.2"
"235","67.2"
"240","67.2"
"245","67.2"
"250","67.2"
"255","67.2"
"260","67.2"
"265","67.2"
"270","67.2"
"275","67.2"
"280","67.2"
"285","67.2"
"290","67.2"
"295","67.2"
"300","67.2"
"305","67.2"
"310","67.2"
"315","67.2"
"320","67.2"
"325","67.2"
"330","67.2"
"335","67.2"
"340","67.2"
"345","67.2"
"350","67.2"
"355","67.2"
"360","67.2"
"365","67.2"
"370","67.2"
"375","67.2"
"380","67.2"
"385","67.2"
"390","67.2"
"395","67.2"
"400","67.2"
"405","67.2"
"410","67.2"
"415","67.2"
"420","67.2"
"425","67.2"
"430","67.2"
"435","67.2"
"440","67.2"
"445","67.2"
"450","67.2"
"455","67.2"
"460","67.2"
"465","67.2"
"470","67.2"
"475","67.2"
"480","67.2"
"485","67.2"
"490","67.2"
"495","67.2"
"500","67.2"
"505","67.2"
"510","67.2"
"515","67.2"
"520","67.2"
"525","67.2"
"530","67.2"
"535","67.2"
"540","67.2"
"545","67.2"
"550","67.2"
"555","67.2"
"560","67.2"
"565","67.2"
"570","67.2"
"575","67.2"
"580","67.2"
"585","67.2"
"590","67.2"
"595","67.2"
"600","67.2"
"605","67.2"
"610","67.2"
"615","67.2"
"620","67.2"
"625","67.2"
"630","67.2"
"635","67.2"
"640","67.2"
"645","67.2"
"650","67.2"
"655","67.2"
"660","67.2"
"665","67.2"
"670","67.2"
"675","67.2"
"680","67.2"
"685","67.2"
"690","67.2"
"695","67.2"
"700","67.2"
"705","67.2"
"710","67.2"
"715","67.2"
"720","67.2"
"725","67.2"
"730","67.2"
"735","67.2"
"740","67.2"
"745","67.2"
"750","67.2"
"755","67.2"
"760","67.2"
"765","67.2"
"770","67.2"
"775","67.2"
"780","67.2"
"785","67.2"
"790","67.2"
"795","67.2"
"800","67.2"
"805","67.2"
"810","67.2"
"815","67.2"
"820","67.2"
"825","67.2"
"830","67.2"
"835","67.2"
"840","67.2"
"845","67.2"
"850","67.2"
"855","67.2"
"860","67.2"
"865","67.2"
"870","67.2"
"875","67.2"
"880","67.2"
"885","67.2"
"890","67.2"
"895","67.2"
"900","67.2"
"905","67.2"
"910","67.2"
"915","67.2"
"920","67.2"
"925","67.2"
"930","67.2"
"935","67.2"
"940","67.2"
"945","67.2"
"950","67.2"
"955","67.2"
"960","67.2"
"965","67.2"
"970","67.2"
"975","67.2"
"980","67.2"
"985","67.2"
"990","67.2"
"995","67.2"
"1000","67.2"
"1005","67.2"
"1010","67.2"
"1015","67.2"
"1020","67.2"
"1025","67.2"
"1030","67.2"
"1035","67.2"
"1040","67.2"
"1045","67.2"
"1050","67.2"
"1055","67.2"
"1060","67.2"
"1065","67.2"
"1070","67.2"
"1075","67.2"
"1080","67.2"
"1085","76.8"
"1094","76.8"
"1099","86.4"
"1104","86.4"
"1109","86.4"
"1114","96.0"
"1119","96.0"
"1125","96.0"
"1130","105.6"
"1135","105.6"
"1140","105.6"
"1145","105.6"
"1150","105.6"
"1155","105.6"
"1160","105.6"
"1165","105.6"
"1170","105.6"
"1175","105.6"
"1180","105.6"
"1185","105.6"
"1190","105.6"
"1195","105.6"
"1200","105.6"
"1205","105.6"
"1210","105.6"
"1215","105.6"
"1220","105.6"
"1225","105.6"
"1230","105.6"
"1235","105.6"
"1240","105.6"
"1245","105.6"
"1250","105.6"
"1255","105.6"
"1260","105.6"
"1265","105.6"
"1270","105.6"
"1275","105.6"
"1280","105.6"
"1285","105.6"
"1290","105.6"
"1295","105.6"
"1300","105.6"
"1305","105.6"
"1310","105.6"
