"# time","value"
"20","0.0"
"25","46.2"
"30","49.8"
"35","49.4"
"40","49.6"
"45","49.6"
"50","49.6"
"55","49.4"
"64","49.6"
"69","33.8"
"74","49.8"
"80","49.4"
"85","49.4"
"90","49.6"
"95","49.6"
"100","49.6"
"105","49.6"
"110","49.6"
"115","49.8"
"120","49.6"
"125","49.6"
"130","49.6"
"135","49.6"
"140","49.6"
"145","49.8"
"150","49.6"
"155","49.6"
"160","49.8"
"165","49.6"
"170","49.8"
"175","49.6"
"180","49.6"
"185","49.8"
"190","49.6"
"195","49.6"
"200","49.8"
"205","49.6"
"210","49.8"
"215","49.6"
"220","49.6"
"225","49.8"
"230","49.6"
"235","49.6"
"240","49.8"
"245","49.6"
"250","49.6"
"255","49.8"
"260","49.6"
"265","49.8"
"270","49.6"
"275","49.6"
"280","49.8"
"285","49.6"
"290","49.6"
"295","49.8"
"300","49.6"
"305","49.6"
"310","49.8"
"315","49.6"
"320","49.8"
"325","49.6"
"330","49.6"
"335","49.6"
"340","49.8"
"345","49.6"
"350","49.6"
"355","49.8"
"360","49.6"
"365","49.6"
"370","49.8"
"375","49.6"
"380","49.6"
"385","49.6"
"390","49.8"
"395","49.6"
"400","49.6"
"405","49.8"
"410","49.6"
"415","49.6"
"420","49.8"
"425","49.6"
"430","49.6"
"435","49.8"
"440","49.6"
"445","49.6"
"450","49.8"
"455","49.6"
"460","49.6"
"465","49.8"
"470","49.6"
"475","49.6"
"480","49.8"
"485","49.6"
"490","49.6"
"495","49.8"
"500","49.6"
"505","49.6"
"510","49.8"
"515","49.6"
"520","49.6"
"525","49.6"
"530","49.8"
"535","49.6"
"540","49.6"
"545","49.8"
"550","49.6"
"555","49.6"
"560","49.8"
"565","49.6"
"570","49.6"
"575","49.8"
"580","49.6"
"585","49.6"
"590","49.8"
"595","49.6"
"600","49.6"
"605","49.8"
"610","49.6"
"615","49.6"
"620","49.8"
"625","49.6"
"630","49.8"
"635","49.6"
"640","49.8"
"645","49.6"
"650","49.6"
"655","49.8"
"660","49.6"
"665","49.8"
"670","49.6"
"675","49.8"
"680","49.6"
"685","49.8"
"690","49.6"
"695","49.8"
"700","49.6"
"705","49.8"
"710","49.6"
"715","49.8"
"720","49.6"
"725","49.6"
"730","49.8"
"735","49.6"
"740","49.8"
"745","49.6"
"750","49.6"
"755","49.8"
"760","49.6"
"765","49.6"
"770","49.8"
"775","49.6"
"780","49.8"
"785","49.6"
"790","49.8"
"795","49.6"
"800","49.6"
"805","49.8"
"810","49.6"
"815","49.8"
"820","49.6"
"825","49.6"
"830","48.4"
"835","50.8"
"840","49.6"
"845","49.8"
"850","49.6"
"855","49.8"
"860","49.6"
"865","49.8"
"870","49.6"
"875","49.8"
"880","49.6"
"885","49.6"
"890","49.8"
"895","49.6"
"900","49.8"
"905","49.6"
"910","49.8"
"915","49.6"
"920","49.8"
"925","49.6"
"930","49.8"
"935","49.6"
"940","49.8"
"945","49.6"
"950","49.8"
"955","49.6"
"960","49.6"
"965","49.8"
"970","49.6"
"975","49.8"
"980","49.6"
"985","49.8"
"990","49.6"
"995","49.8"
"1000","49.6"
"1005","49.8"
"1010","49.6"
"1015","49.8"
"1020","49.6"
"1025","49.6"
"1030","49.8"
"1035","49.6"
"1040","49.8"
"1045","49.6"
"1050","49.8"
"1055","49.6"
"1060","49.8"
"1065","49.6"
"1070","49.6"
"1075","95.4"
"1080","98.8"
"1085","98.8"
"1094","98.8"
"1099","60.6"
"1104","98.8"
"1109","98.8"
"1114","98.6"
"1119","98.6"
"1125","98.8"
"1130","95.8"
"1135","98.6"
"1140","98.6"
"1145","98.8"
"1150","98.6"
"1155","98.8"
"1160","98.6"
"1165","98.8"
"1170","98.8"
"1175","99.0"
"1180","98.8"
"1185","99.0"
"1190","98.8"
"1195","99.0"
"1200","98.8"
"1205","98.8"
"1210","99.0"
"1215","98.8"
"1220","98.8"
"1225","98.8"
"1230","99.0"
"1235","98.8"
"1240","98.8"
"1245","99.0"
"1250","98.8"
"1255","98.8"
"1260","98.8"
"1265","98.8"
"1270","98.8"
"1275","99.0"
"1280","98.8"
"1285","98.8"
"1290","98.8"
"1295","98.8"
"1300","98.8"
"1305","99.0"
"1310","98.8"
"1315","98.8"
"1320","99.0"
"1325","98.8"
"1330","98.8"
"1335","98.8"
"1340","99.0"
"1345","98.8"
"1350","98.8"
"1355","99.0"
"1360","98.8"
"1365","98.8"
"1370","99.0"
"1375","98.8"
"1380","98.8"
"1385","98.8"
"1390","99.0"
"1395","98.8"
"1400","99.0"
"1405","98.8"
"1410","98.8"
"1415","99.0"
"1420","98.8"
"1425","99.0"
"1430","98.8"
"1435","98.8"
"1440","99.0"
"1445","98.8"
"1450","98.8"
"1455","98.8"
"1460","99.0"
"1465","98.8"
"1470","99.0"
"1475","98.8"
"1480","98.8"
"1485","98.8"
"1490","99.0"
"1495","98.8"
"1500","98.8"
"1505","99.0"
"1510","98.8"
"1515","98.8"
"1520","98.8"
"1525","98.8"
"1530","99.0"
"1535","98.8"
