# time,count,1 min rate,mean rate,5 min rate,15 min rate
5,0,0.0,0.0,0.0,0.0
10,0,0.0,0.0,0.0,0.0
15,0,0.0,0.0,0.0,0.0
20,0,0.0,0.0,0.0,0.0
25,226,3.5820102246063166,9.026146529138146,0.7404788687915363,0.2481988093806265
30,474,7.261405534679734,15.77793416462242,1.5480557200623715,0.5216152892087764
35,724,10.64661263892611,20.659334157627068,2.342284500054384,0.7935170001807124
40,972,13.79313576169976,24.271378913291727,3.129997251451451,1.0661283951441762
45,1102,14.801124971561707,24.357818861011545,3.5146165664519238,1.2064818944595084
50,1480,19.438458975301216,29.431135455143743,4.659803226020261,1.6031208666283807
55,1730,21.88202487776096,31.290197239011356,5.4092107621359355,1.8712469331159012
60,1978,24.098231803949435,32.807720534150356,6.13962026271314,2.1356714796431904
65,2228,26.137240608051965,34.12259117419408,6.857957156130926,2.3986310739914822
72,2298,25.422658303636588,31.69654815226485,7.0288960888546255,2.480632907577168
77,2834,29.97831501183439,36.56634429242591,8.274670860365658,2.923398348621645
82,3084,31.547178321022194,37.37937612555656,8.95771847138696,3.181993816385169
87,3332,33.02258448010558,38.076884921776426,9.636087716898816,3.4413726867500802
92,3582,34.34804144193168,38.72064576837237,10.29663308653888,3.69709849795081
97,3830,35.599502950639604,39.27772860244785,10.952872020005287,3.9536236100864577
102,4080,36.71892088770165,39.79974309990419,11.591652859484489,4.206511473312272
107,4328,37.78081734247973,40.25495306172603,12.226486998831845,4.46021436013614
112,4578,38.72582701046471,40.687315097873,12.844216834320031,4.710295633607366
117,4826,39.62726011141328,41.06601932784719,13.45834791216794,4.961207479610473
122,5076,40.42463636695473,41.430112285911136,14.055716877664707,5.20851317505131
127,5326,41.19024017137195,41.76567695637777,14.64982362110108,5.456664820148192
132,5574,41.86264744129671,42.060821900153144,15.227499225322322,5.701225606615361
137,5824,42.513274228495405,42.34894645092697,15.802238110114423,5.9466475499515
142,6072,43.07989753591751,42.60287984777058,16.360865978237374,6.1884937576205825
147,6322,43.63319837925829,42.85313316730795,16.91687195831688,6.4312161613377805
152,6570,44.110277495635394,43.07381458590608,17.457076549407823,6.670377785247727
157,6820,44.58119370614271,43.29326174979227,17.994963762440502,6.910430478207857
162,7070,45.014457535378384,43.49921522854463,18.52396048183381,7.149153242762155
167,7318,45.381097267379296,43.680924514551364,19.03760223605106,7.38433738611809
172,7568,45.75040433913621,43.86364001360436,19.549365657285936,7.620434634371036
177,7818,46.05820101364099,44.036063931302095,20.046058954709174,7.853007807184993
182,8066,46.37336985900887,44.18814533511732,20.54115405250081,8.08650855006962
187,8316,46.66333919485475,44.34277494849229,21.02806594810591,8.318715663347696
192,8566,46.89814162856526,44.489347921057245,21.50031847948834,8.547420253125823
197,8814,47.14615253039027,44.61842732969511,21.97137678156931,8.777073845512646
202,9064,47.34235134123327,44.75101105918801,22.428037756280276,9.003239061293383
207,9312,47.55484519545456,44.86753993675991,22.883762207454215,9.230367348200732
212,9562,47.750348979173914,44.98800839665488,23.33195419599231,9.456237309876224
217,9812,47.89823890927553,45.10291248963403,23.76612680407972,9.678639856834865
222,10060,48.06628644759372,45.20361240013872,24.199734588636318,9.9020263206773
227,10310,48.188915412467296,45.30871481684595,24.619564048431215,10.121959128758355
232,10560,48.333721740819286,45.409320335343274,25.0390657560842,10.342889536451974
237,10808,48.46694999442251,45.49729357315946,25.45163371039033,10.56259595610663
242,11058,48.557543670872704,45.58985850232426,25.850771097740637,10.77886910800406
247,11308,48.67287611103971,45.678706807076495,26.249922742823962,10.996160134565557
252,11556,48.74700484429267,45.756040166622846,26.635865573037993,11.210031275014689
257,11806,48.847188805433866,45.83817986892735,27.02204074783197,11.42493359763641
262,12054,48.939362499317276,45.90948798508394,27.40183300841642,11.638645328726707
267,12304,48.992184157402185,45.98571691719669,27.768736436612258,11.848957003545584
272,12554,49.07276466304293,46.059155449810866,28.136186903023507,12.060319580517662
277,12802,49.11492007303744,46.122727168559955,28.490952528961056,12.268295115889197
282,13052,49.18568715669757,46.19105918429355,28.846465813339144,12.477334495981552
287,13302,49.25079601675867,46.25709984889571,29.196102979979358,12.685215766135233
292,13550,49.2787168256525,46.31403210994387,29.533349734093733,12.889729281657285
297,13800,49.33638744407548,46.37579339521963,29.87163370813057,13.095325822016333
302,14048,49.357464740295484,46.4288939367207,30.197714921409784,13.297567265494084
307,14298,49.40883902310646,46.48674421758472,30.525017904768756,13.500904321433302
