# time,value
5,0
10,0
15,0
20,0
25,22
30,52
35,81
40,115
45,145
50,175
55,205
60,239
65,277
70,311
75,349
80,384
85,417
90,446
95,480
100,520
105,558
110,602
115,640
120,669
125,698
130,728
135,761
140,798
145,835
150,866
155,899
160,932
165,970
170,999
175,1037
180,1069
185,1103
190,1134
195,1171
200,1211
205,1250
210,1288
215,1331
220,1367
225,1404
230,1449
235,1479
240,1509
245,1547
250,1569
255,1607
260,1638
265,1669
270,1700
275,1735
280,1773
285,1799
290,1830
295,1860
300,1888
305,1920
310,1949
315,1983
320,2019
325,2049
330,2075
335,2103
340,2133
345,2163
350,2191
355,2216
360,2248
365,2283
370,2318
375,2351
380,2381
385,2417
390,2451
395,2479
400,2507
405,2538
410,2570
415,2603
420,2633
425,2663
430,2693
435,2725
440,2753
445,2778
450,2804
455,2833
460,2865
465,2895
470,2923
475,2952
480,2978
485,3017
490,3049
495,3080
500,3106
505,3134
510,3163
515,3189
520,3213
525,3245
530,3272
535,3302
540,3332
545,3364
550,3396
555,3420
560,3445
565,3469
570,3496
575,3520
580,3546
585,3573
590,3601
595,3635
600,3662
605,3698
610,3729
615,3759
620,3785
625,3813
630,3845
635,3872
640,3909
645,3936
650,3969
655,4002
660,4028
665,4059
670,4087
675,4111
680,4141
685,4169
690,4200
695,4226
700,4254
705,4281
710,4315
715,4353
720,4386
725,4412
730,4438
735,4469
740,4504
745,4534
750,4565
755,4597
760,4627
765,4655
770,4690
775,4723
780,4761
785,4797
790,4834
795,4869
800,4906
805,4941
810,4977
815,5008
820,5046
825,5074
830,5101
835,5129
840,5163
845,5190
850,5218
855,5251
860,5288
865,5326
870,5357
875,5397
880,5431
885,5467
890,5502
895,5538
900,5572
905,5605
910,5638
915,5671
920,5703
925,5734
930,5770
935,5814
940,5855
945,5890
950,5922
955,5958
960,5990
965,6026
970,6057
975,6086
980,6119
985,6152
990,6188
995,6222
1000,6260
1005,6296
1010,6332
1015,6363
1020,6398
1025,6432
1030,6466
1035,6502
1040,6535
1045,6571
1050,6599
1055,6632
1060,6664
1065,6695
1070,6732
1075,6762
1080,6792
1085,6828
1090,6858
1095,6888
1100,6921
1105,6951
1110,6983
1115,7015
1120,7048
1125,7076
1130,7109
1135,7143
1140,7170
1145,7197
1150,7230
1155,7259
1160,7287
1165,7315
1170,7342
1175,7375
1180,7408
1185,7439
1190,7468
1195,7500
1200,7528
1205,7559
1210,7589
1215,7628
1220,7655
1225,7685
1230,7711
1235,7742
1240,7770
1245,7799
1250,7830
1255,7859
1260,7894
1265,7919
1270,7945
1275,7974
1280,7998
1285,8038
1290,8084
1295,8123
1300,8152
1305,8180
1310,8208
