# time,count,1 min rate,mean rate,5 min rate,15 min rate
5,0,0.0,0.0,0.0,0.0
10,0,0.0,0.0,0.0,0.0
15,0,0.0,0.0,0.0,0.0
20,0,0.0,0.0,0.0,0.0
25,52698,810.541751136698,2093.8141208349234,167.55648402873484,56.162736835159905
30,107852,1627.6924909469767,3574.599536938908,347.1068004202446,116.96278733381828
35,164780,2408.051608996974,4684.7130048003055,529.5901021016167,179.403830573656
40,221756,3125.4409767492707,5519.585628501256,708.9382145718802,241.45905184884745
45,277992,3775.4126450246017,6153.112856444073,883.2426723739325,302.47352664510055
50,334336,4376.22988469367,6662.438450585792,1055.2479357215848,363.3449853273087
55,390031,4912.617535263215,7067.595243404595,1221.0218501645022,422.7434757172575
60,447767,5440.45092560404,7439.433676335852,1391.153120536376,484.19183070886373
65,505186,5923.570482861336,7749.41512423109,1557.9533719995204,545.1257917013212
70,562459,6368.989417904402,8013.095059414006,1722.1883889394594,605.7864350513598
75,620693,6791.651479388521,8254.490354242347,1886.3666300432833,667.0018656579311
80,678085,7162.6092972096685,8455.271452327275,2044.1288491635794,726.6371594275934
85,735691,7508.800247383783,8635.010227638391,2200.2950351860586,786.2811219075992
90,793419,7836.873985497029,8796.06216400288,2355.8568353142978,846.25724994849
95,852554,8155.443104294229,8954.943568349954,2512.3051969060425,907.060100921332
100,909447,8409.858330514646,9075.609484123765,2658.1711838875844,964.845769322818
105,967644,8670.892661782387,9197.210013444483,2807.1996439387976,1024.17943559097
110,1026080,8907.377883364723,9309.969248492886,2953.004567081955,1082.9295373377947
115,1082163,9091.501373704836,9392.513614131787,3089.4840030988703,1139.0361549964632
120,1139731,9284.729927034776,9480.602854045055,3228.633139216338,1196.4828987599124
125,1198529,9483.297230469267,9571.487878469175,3369.779764418186,1255.0518183500149
130,1255644,9640.482137188932,9642.459987290431,3503.320834876558,1311.5289487369614
135,1311988,9767.093234854914,9702.46400669337,3630.9324369857763,1366.4455450080197
140,1369267,9903.474017732813,9764.895255592766,3760.5471071258166,1422.4362848050644
145,1426602,10031.333071726443,9823.420262870888,3888.511985881167,1478.2819239227692
150,1484554,10150.392289632671,9882.148189997091,4014.655999350774,1533.916784417011
155,1542369,10262.266761170255,9936.207398683018,4139.197669217031,1589.4051917661454
160,1600711,10378.948604531774,9990.122667021227,4264.523756284452,1645.5390910477572
165,1660343,10500.341283596283,10048.608135803517,4390.680798043348,1702.3348506856112
170,1719714,10605.727439819264,10102.087799933153,4513.450197872947,1758.37938920518
175,1778808,10707.836523929343,10150.909190931006,4635.254836382058,1814.4702182513395
180,1836616,10770.166977992174,10189.881774851337,4748.510834139897,1868.059719480188
185,1894049,10834.693775680274,10224.771740425547,4861.379138355636,1921.8498323760473
190,1955352,10944.145474163322,10278.141548700853,4982.735374919208,1978.8122910803625
195,2014799,11017.948839105646,10319.255818370144,5096.525566388297,2033.5954619742886
200,2072810,11066.51795225905,10351.151620116829,5204.438368957109,2086.7355170222722
205,2133352,11133.81513308217,10393.821864299902,5315.24180264467,2141.147923072477
210,2193274,11216.807820722488,10431.491021930202,5428.570741434425,2196.719260188654
215,2252835,11272.280380542219,10465.723830977406,5535.709261364253,2250.535635949515
220,2312354,11317.304939349679,10498.237456706789,5639.833990647323,2303.6372413788035
225,2371149,11352.413041957348,10526.076785232766,5740.931934386033,2356.0069838352165
230,2429643,11386.07330062107,10551.384850322995,5840.639861378151,2408.1807725423937
235,2488663,11418.25755849724,10577.92419733537,5938.950995196541,2460.1497208402975
240,2547077,11434.787771428555,10600.869830360856,6032.933118744981,2510.924384399207
245,2604873,11450.492026137945,10620.346919974143,6125.464331410714,2561.4520975468695
250,2663489,11469.178283993879,10642.28107213029,6217.342150602413,2611.993507539469
255,2721991,11485.411004140107,10662.925067849654,6307.503020462694,2662.1884286147224
260,2780709,11508.421341767324,10683.605973971724,6397.843045386022,2712.6648175493415
265,2839073,11514.848064437627,10702.176048393003,6483.642017120355,2761.839955589202
270,2899591,11565.312186903351,10728.02743848577,6577.232562518914,2813.8296285816127
275,2957364,11565.159296880156,10742.99448352426,6659.646661262467,2862.303578331123
280,3014651,11558.638175555681,10755.695662965656,6739.379596784153,2910.0668709020083
285,3073659,11565.671214719401,10773.97225785204,6820.4888158262065,2958.4685923474663
290,3131357,11574.252750573634,10787.095205130647,6900.693771014941,3006.7484209119625
295,3189344,11573.720826007195,10800.745442725954,6977.830946130902,3054.17683986763
