# time,value
5,0
10,0
15,0
20,0
25,0
30,0
35,0
40,1
45,2
50,2
55,2
60,3
65,3
70,4
75,4
80,4
85,4
90,4
95,4
100,4
105,5
110,5
115,5
120,5
125,5
130,5
135,5
140,5
145,5
150,5
155,5
160,5
165,5
170,5
175,5
180,5
185,6
190,6
195,6
200,6
205,7
210,7
215,7
220,7
225,7
230,7
235,7
240,7
245,7
250,7
257,7
262,7
267,7
272,7
277,7
282,7
287,8
292,8
297,9
302,9
307,9
312,9
317,9
322,9
327,9
332,9
337,9
342,9
347,9
352,9
357,9
362,9
367,9
372,9
377,9
382,9
387,9
392,9
397,9
402,9
407,9
412,9
417,9
422,9
427,9
432,9
437,9
442,10
447,10
452,10
457,10
462,10
467,10
472,10
477,10
482,11
487,11
492,11
497,11
502,11
507,11
512,11
517,11
522,11
527,11
532,11
537,11
542,11
547,11
552,11
557,11
562,11
567,11
572,11
577,11
582,11
587,11
592,11
597,11
602,11
607,11
612,11
617,11
622,12
627,12
632,12
637,12
642,12
647,12
652,12
657,12
662,12
667,12
672,12
677,12
682,12
687,12
692,12
697,12
702,12
707,12
712,12
717,12
722,12
727,12
732,12
737,12
742,12
747,12
752,12
757,12
762,12
767,12
772,13
777,13
782,13
787,13
792,13
797,13
802,13
807,13
812,13
817,13
822,13
827,13
832,13
837,13
842,13
847,13
852,13
857,13
862,13
867,13
872,13
877,13
882,13
887,13
892,13
897,13
902,13
907,13
912,13
917,13
922,13
927,13
932,13
937,13
942,13
947,13
952,13
957,13
962,13
967,13
972,14
977,14
982,14
987,14
992,14
997,14
1002,14
1007,14
1012,14
1017,14
1022,14
1027,15
1032,15
1037,15
1042,15
1047,15
1052,15
1057,15
1062,15
1067,15
1072,15
1077,15
1082,15
1087,15
1092,15
1097,15
1102,15
1107,15
1112,15
1117,15
1122,15
1127,15
1132,15
1137,15
1142,15
1147,15
1152,15
1157,15
1162,15
1167,15
1172,15
1177,15
1182,15
1187,15
1192,15
1197,15
1202,15
1207,15
1212,15
1217,15
1222,15
1227,16
1232,16
1237,16
1242,16
1247,16
1252,16
1257,16
1262,16
1267,16
1272,16
1277,17
1282,17
1287,17
1292,17
1297,17
1302,17
1307,17
1312,17
1317,17
1322,17
1327,17
1332,17
1337,17
1342,17
1347,17
1352,17
1357,17
1362,17
1367,17
1372,17
1377,17
1382,17
1387,17
1392,17
1397,17
1402,17
1407,17
1412,17
1417,17
1422,17
1427,17
1432,17
1437,17
1442,17
1447,18
1452,18
1457,18
1462,18
1467,18
1472,18
1477,18
1482,18
1487,18
1492,18
1497,18
1502,18
1507,18
1512,19
1517,19
1522,19
1527,19
1532,19
1537,19
1542,19
