# time,value
20,0
25,26
30,54
35,54
40,165
45,263
50,476
55,688
60,1049
70,1404
75,1404
80,1920
85,2403
90,3058
95,3745
100,4693
110,5570
115,5570
120,6650
125,7623
130,8945
135,10213
140,11497
154,12709
159,12709
164,15639
169,17792
174,19949
179,22252
184,24636
189,27118
194,29596
199,32147
204,34612
209,37194
214,39627
219,43883
235,46032
240,48279
245,50483
250,52835
255,55222
260,57705
265,60012
270,60012
275,62485
280,65048
285,67613
290,70162
295,72749
300,75360
305,77893
310,80407
315,82810
320,85300
325,90109
330,92684
335,95265
340,97877
345,100443
350,103047
355,105554
360,108073
365,110703
370,110703
375,113310
380,115757
385,118333
390,120756
395,123406
400,125989
405,128473
410,131029
415,133610
420,136228
425,138840
430,141308
435,143876
440,146416
445,149026
450,151560
455,154122
460,156702
465,159201
470,161822
475,164346
480,166884
485,169377
490,171976
495,174473
500,177053
505,179502
510,181947
515,184424
520,186886
525,189363
530,191834
535,194394
540,196850
545,199258
550,201867
555,204338
560,206819
565,209380
570,211775
575,214268
580,216692
585,219161
590,221666
595,224071
600,226585
605,229117
610,231681
615,234295
620,236790
625,239361
630,241902
635,244489
640,247057
645,249723
650,252262
655,254924
660,257506
665,260115
670,262680
675,265289
680,267836
685,270465
690,273163
695,275794
700,278489
705,281082
710,283604
715,286164
720,288801
725,291382
730,293944
735,296568
740,299195
745,301778
750,304334
755,306869
760,309356
765,311912
770,314396
775,316977
780,319459
785,322095
790,324608
795,327073
800,329583
805,332222
810,334749
815,337170
820,339814
825,342386
830,344890
835,347444
840,349954
845,352603
850,355201
855,357738
860,360323
865,362877
870,365368
875,367984
880,370544
885,373157
890,375649
895,378242
900,380939
905,383660
910,386368
915,389050
920,391709
925,394351
930,396907
935,399485
940,401913
945,404388
950,407041
955,409683
960,412315
965,414906
970,417284
975,419832
980,422421
985,424911
990,427531
995,430196
1000,432689
1005,435219
1010,437854
1015,440537
1020,443140
1025,445685
1030,448322
1035,450743
1040,453298
1045,455720
1050,458185
1055,460696
1060,463180
1065,468306
1070,468306
1075,470912
1080,473475
1085,475986
1090,478516
1095,481091
1100,483589
1105,486194
1110,488780
1115,491437
1120,493858
1125,496376
1130,498952
1135,501629
1140,504253
1145,509498
1150,512064
1155,514619
1160,517090
1165,519492
1170,519492
1175,521993
1180,524460
1185,527103
1190,529683
1195,532247
1200,534905
1205,537522
1210,542426
1215,544924
1220,547439
1225,549948
1230,552413
1235,554944
1240,557503
1245,560209
1250,562753
1255,565358
1260,567983
1265,570701
1270,570701
1275,573360
1280,575960
1285,578630
1290,581067
1295,583635
1300,586140
1305,588816
1310,594115
1315,596801
1320,599411
1325,601894
1330,604533
1335,607209
1340,609716
1345,612319
1350,614882
1355,617459
1360,620058
1365,622582
1370,622582
1375,625236
1380,627868
1385,630493
1390,633141
1395,638507
1400,641183
1405,643903
1410,646614
1415,649226
1420,651869
1425,654347
1430,656872
1435,659503
1440,661982
1445,664550
1450,667195
1455,669790
1460,672465
1465,675078
1470,675078
1475,677563
1480,680105
1485,682396
1490,684873
1495,685924
1500,688319
1505,690851
1510,693289
1515,695721
1520,698223
1525,700586
1530,703223
1535,708388
1540,710895
1545,713352
1550,715730
1555,718060
1560,720497
1565,723028
1570,723028
1575,725591
1580,728200
1585,730747
1590,733245
1595,735938
1600,738517
1605,741133
1610,743715
1615,746440
1620,749116
1625,751744
1630,757093
1635,759819
1640,762414
1645,764915
1650,767460
1655,769902
1660,772419
1665,774794
1670,774794
1675,777343
1680,779862
1685,782505
1690,785202
1695,787797
1700,790158
1705,795147
1710,797764
1715,800434
1720,802938
1725,805283
1730,807681
1735,810104
1740,812621
1745,815233
1750,817789
1755,820490
1760,822968
1765,825496
1770,825496
1775,827813
1780,830179
1785,832723
1790,835282
1795,840435
1800,843182
1805,845805
1810,848479
1815,851191
1820,853833
1825,856394
1830,859054
1835,861695
1840,864234
1845,866930
1850,869578
1855,872116
1860,874597
1865,877164
1870,877164
1875,879738
1880,882342
1885,887577
1890,890214
1895,892778
1900,895352
1905,897960
1910,900559
1915,903176
1920,905764
1925,908305
1930,910726
1935,913197
1940,915686
1945,918238
1950,920743
1955,923315
1960,925807
1965,928434
1970,931128
1975,933582
1980,936199
1985,938646
1990,941188
1995,943681
2000,946291
2005,948993
2010,951698
2015,954381
2020,956948
2025,959331
2030,961987
2035,964707
2040,967351
2045,969891
2050,972528
2055,975183
2060,977907
2065,980523
2070,983294
2075,985819
2080,988395
2085,990929
2090,993480
2095,996038
2100,998701
2105,1001283
2110,1003905
2115,1006481
2120,1009020
2125,1011663
2130,1014255
2135,1016676
2140,1019180
2145,1021681
2150,1024193
2155,1026701
2160,1029293
2165,1031871
2170,1034409
2175,1036864
2180,1039431
2185,1042055
2190,1044560
2195,1047108
2200,1049607
2205,1052091
2210,1054637
2215,1057239
2220,1059873
2225,1062426
2230,1065057
2235,1067602
2240,1070277
2245,1072850
2250,1075449
2255,1078083
2260,1080626
2265,1083201
2270,1085839
2275,1088449
2280,1091020
2285,1093541
2290,1096047
2295,1098632
2300,1101319
2305,1103907
2310,1106513
2315,1108966
2320,1111366
2325,1113749
2330,1116328
2335,1118844
2340,1121361
2345,1123956
2350,1126350
2355,1128756
2360,1131328
2365,1133812
2370,1136401
2375,1138958
2380,1141502
2385,1144015
2390,1146550
2395,1148979
2400,1151484
2405,1154063
2410,1156550
2415,1159107
2420,1161645
2425,1164144
2430,1166662
2435,1169037
2440,1171582
2445,1174067
2450,1176522
2455,1179045
2460,1181665
2465,1184306
2470,1186968
2475,1189719
2480,1192364
2485,1195030
2490,1197635
2495,1200112
2500,1202479
2505,1204927
2510,1207353
2515,1209718
2520,1212243
2525,1214680
2530,1217116
2535,1219497
2540,1222022
2545,1224463
2550,1226922
2555,1229443
2560,1232044
2565,1234615
2570,1237111
2575,1239688
2580,1242393
2585,1244972
2590,1247455
2595,1250080
2600,1252574
2605,1254522
2610,1257202
2615,1259828
2620,1262371
2625,1264942
2630,1267469
2635,1270051
2640,1272612
2645,1275210
2650,1277839
2655,1280326
2660,1282809
2665,1285362
2670,1287854
2675,1290424
2680,1293017
2685,1295508
2690,1298046
2695,1300625
2700,1303142
2705,1305692
2710,1308250
2715,1310760
2720,1313386
2725,1315834
2730,1318413
2735,1320972
2740,1323497
2745,1326118
2750,1328713
2755,1331394
2760,1334006
2765,1336534
2770,1339072
2775,1341608
2780,1344150
2785,1346710
2790,1349387
2795,1351960
2800,1354329
2805,1357014
2810,1359547
2815,1362272
2820,1364938
2825,1367647
2830,1370271
2835,1372961
2840,1375682
2845,1378361
2850,1380990
2855,1383694
2860,1386345
2865,1388981
2870,1391517
2875,1394093
2880,1396676
2885,1399170
2890,1401686
2895,1404257
2900,1406867
2905,1409452
2910,1412035
2915,1414577
2920,1417174
2925,1419826
2930,1422532
2935,1425226
2940,1427883
2945,1430563
2950,1433016
2955,1435694
2960,1438184
2965,1440834
2970,1443511
2975,1446124
2980,1448719
2985,1451402
2990,1454037
2995,1456631
3000,1459289
3005,1461926
3010,1464566
3015,1467131
3020,1469745
3025,1472333
3030,1474872
3035,1477391
3040,1479986
3045,1482662
3050,1485390
3055,1488053
3060,1490747
3065,1493390
3070,1496107
3075,1498714
3080,1501182
3085,1503688
3090,1506285
3095,1508923
3100,1511501
3105,1514115
3110,1516616
3115,1519029
3120,1521484
3125,1524092
3130,1526817
3135,1529454
3140,1532102
3145,1534624
3150,1537221
3155,1539846
3160,1542455
3165,1545175
3170,1547791
3175,1550416
3180,1553055
3185,1555723
3190,1558391
3195,1561002
3200,1563649
3205,1566336
3210,1569031
3215,1571744
3220,1574253
3225,1576679
3230,1579349
3235,1581959
3240,1584504
3245,1587041
3250,1589648
3255,1592269
3260,1594868
3265,1597611
3270,1600196
3275,1602762
3280,1605261
3285,1607769
3290,1610382
3295,1612973
3300,1615544
3305,1618226
3310,1620871
3316,1623581
3321,1626150
3326,1628700
3331,1631335
3336,1633782
3341,1636298
3346,1638892
3351,1641462
3356,1644066
3361,1646734
3366,1649328
3371,1651882
3376,1654426
3381,1657130
3386,1659681
3391,1662208
3396,1664802
3401,1667314
3406,1669842
3411,1672446
3416,1675177
3421,1677872
3426,1680507
3431,1683123
3436,1685652
3441,1688127
3446,1690399
3451,1693023
3456,1695493
3461,1698068
3466,1700516
3471,1703216
3476,1705805
3481,1708480
3486,1711143
3491,1713663
3496,1716218
3501,1718697
3506,1721326
3511,1723959
3516,1726448
3521,1729116
3526,1731683
3531,1734217
3536,1736759
3541,1739372
3546,1742090
3551,1744714
3556,1747341
3561,1749972
3566,1752559
3571,1755195
3576,1757706
3581,1760375
3586,1763045
