"# time","value"
"20","0.0"
"25","90.8"
"30","98.8"
"35","98.8"
"40","149.0"
"45","98.8"
"50","153.8"
"55","98.8"
"60","115.2"
"70","98.8"
"75","98.8"
"80","219.6"
"85","98.8"
"90","135.4"
"95","98.8"
"100","102.6"
"110","98.8"
"115","98.8"
"120","253.2"
"125","98.6"
"130","103.4"
"135","98.6"
"140","98.6"
"154","98.6"
"159","98.6"
"164","388.2"
"169","98.0"
"174","98.0"
"179","98.2"
"184","98.4"
"189","98.4"
"194","98.2"
"199","98.2"
"204","98.2"
"209","98.2"
"214","98.2"
"219","82.6"
"235","82.6"
"240","298.6"
"245","98.6"
"250","98.4"
"255","98.2"
"260","98.6"
"265","98.6"
"270","98.6"
"275","98.6"
"280","98.2"
"285","98.0"
"290","98.6"
"295","98.4"
"300","98.4"
"305","98.6"
"310","98.4"
"315","98.6"
"320","98.6"
"325","98.6"
"330","98.4"
"335","98.4"
"340","98.4"
"345","98.6"
"350","98.4"
"355","98.4"
"360","98.4"
"365","98.6"
"370","98.6"
"375","98.6"
"380","98.6"
"385","98.6"
"390","98.4"
"395","98.6"
"400","98.4"
"405","98.6"
"410","98.6"
"415","98.6"
"420","98.6"
"425","98.4"
"430","98.6"
"435","98.4"
"440","98.4"
"445","98.6"
"450","98.4"
"455","98.4"
"460","98.6"
"465","98.4"
"470","98.4"
"475","98.8"
"480","98.6"
"485","98.4"
"490","98.6"
"495","98.4"
"500","98.6"
"505","98.4"
"510","98.4"
"515","98.6"
"520","98.4"
"525","98.4"
"530","98.4"
"535","98.4"
"540","98.6"
"545","98.4"
"550","98.6"
"555","98.2"
"560","98.4"
"565","98.6"
"570","98.4"
"575","98.6"
"580","98.4"
"585","98.4"
"590","98.4"
"595","98.4"
"600","98.4"
"605","98.6"
"610","98.6"
"615","98.6"
"620","98.4"
"625","98.4"
"630","98.6"
"635","98.6"
"640","98.6"
"645","98.6"
"650","98.6"
"655","98.6"
"660","98.2"
"665","98.6"
"670","98.8"
"675","98.8"
"680","98.6"
"685","98.4"
"690","98.8"
"695","98.6"
"700","98.8"
"705","98.6"
"710","98.8"
"715","98.6"
"720","98.6"
"725","98.8"
"730","98.8"
"735","98.6"
"740","98.8"
"745","98.6"
"750","98.6"
"755","98.6"
"760","98.8"
"765","98.6"
"770","98.8"
"775","98.8"
"780","98.8"
"785","98.6"
"790","98.6"
"795","98.8"
"800","98.6"
"805","98.8"
"810","98.8"
"815","98.6"
"820","98.8"
"825","98.6"
"830","98.6"
"835","98.6"
"840","98.8"
"845","98.6"
"850","98.8"
"855","98.6"
"860","98.6"
"865","98.8"
"870","98.8"
"875","98.8"
"880","98.6"
"885","98.8"
"890","98.8"
"895","98.8"
"900","98.6"
"905","98.6"
"910","98.8"
"915","98.6"
"920","98.8"
"925","98.6"
"930","98.8"
"935","98.6"
"940","99.0"
"945","98.6"
"950","98.8"
"955","98.8"
"960","98.6"
"965","98.8"
"970","98.6"
"975","99.0"
"980","98.2"
"985","98.4"
"990","98.8"
"995","98.8"
"1000","98.6"
"1005","98.6"
"1010","98.2"
"1015","98.6"
"1020","98.6"
"1025","98.8"
"1030","98.6"
"1035","98.8"
"1040","98.8"
"1045","98.6"
"1050","98.8"
"1055","98.8"
"1060","98.8"
"1065","98.6"
"1070","98.6"
"1075","99.0"
"1080","98.8"
"1085","98.6"
"1090","98.6"
"1095","98.8"
"1100","98.6"
"1105","98.6"
"1110","98.6"
"1115","98.6"
"1120","98.8"
"1125","98.8"
"1130","98.6"
"1135","98.8"
"1140","98.2"
"1145","98.6"
"1150","98.8"
"1155","98.8"
"1160","98.8"
"1165","98.8"
"1170","98.8"
"1175","99.0"
"1180","98.8"
"1185","98.8"
"1190","98.8"
"1195","98.8"
"1200","98.8"
"1205","98.8"
"1210","98.8"
"1215","98.8"
"1220","98.6"
"1225","98.8"
"1230","98.8"
"1235","98.6"
"1240","98.8"
"1245","98.8"
"1250","98.8"
"1255","98.8"
"1260","98.8"
"1265","98.8"
"1270","98.8"
"1275","99.0"
"1280","98.6"
"1285","98.8"
"1290","98.8"
"1295","98.8"
"1300","98.8"
"1305","98.8"
"1310","98.6"
"1315","98.8"
"1320","98.8"
"1325","98.8"
"1330","98.8"
"1335","98.6"
"1340","98.8"
"1345","98.8"
"1350","98.8"
"1355","98.8"
"1360","98.8"
"1365","98.8"
"1370","98.8"
"1375","98.8"
"1380","98.8"
"1385","98.8"
"1390","98.8"
"1395","98.8"
"1400","98.6"
"1405","98.8"
"1410","98.8"
"1415","99.0"
"1420","98.6"
"1425","98.8"
"1430","98.8"
"1435","98.8"
"1440","98.8"
"1445","98.8"
"1450","98.6"
"1455","98.6"
"1460","98.8"
"1465","98.8"
"1470","98.8"
"1475","99.0"
"1480","98.8"
"1485","98.8"
"1490","98.6"
"1495","98.6"
"1500","98.8"
"1505","98.8"
"1510","98.8"
"1515","98.8"
"1520","98.8"
"1525","99.0"
"1530","98.8"
"1535","98.8"
"1540","99.0"
"1545","98.8"
"1550","98.8"
"1555","98.8"
"1560","98.8"
"1565","98.8"
"1570","98.8"
"1575","99.0"
"1580","98.8"
"1585","98.8"
"1590","98.8"
"1595","98.8"
"1600","98.8"
"1605","98.8"
"1610","98.8"
"1615","98.6"
"1620","98.8"
"1625","98.8"
"1630","98.8"
"1635","98.8"
"1640","98.8"
"1645","98.8"
"1650","98.8"
"1655","98.8"
"1660","98.8"
"1665","98.8"
"1670","98.8"
"1675","99.0"
"1680","98.8"
"1685","98.8"
"1690","99.0"
"1695","98.8"
"1700","99.0"
"1705","98.8"
"1710","98.8"
"1715","98.8"
"1720","98.8"
"1725","98.8"
"1730","98.8"
"1735","98.8"
"1740","99.0"
"1745","98.8"
"1750","98.8"
"1755","98.8"
"1760","99.0"
"1765","98.8"
"1770","98.8"
"1775","99.0"
"1780","98.8"
"1785","99.0"
"1790","98.8"
"1795","98.8"
"1800","98.8"
"1805","98.8"
"1810","98.8"
"1815","98.8"
"1820","98.8"
"1825","98.8"
"1830","98.6"
"1835","98.8"
"1840","98.8"
"1845","98.8"
"1850","98.6"
"1855","98.8"
"1860","98.8"
"1865","98.8"
"1870","98.8"
"1875","99.0"
"1880","98.8"
"1885","98.8"
"1890","98.8"
"1895","98.8"
"1900","98.8"
"1905","98.8"
"1910","98.8"
"1915","98.8"
"1920","98.8"
"1925","98.8"
"1930","98.8"
"1935","98.8"
"1940","98.8"
"1945","98.8"
"1950","98.8"
"1955","98.8"
"1960","98.8"
"1965","98.6"
"1970","99.0"
"1975","98.8"
"1980","98.8"
"1985","98.8"
"1990","98.8"
"1995","98.8"
"2000","98.8"
"2005","98.8"
"2010","98.6"
"2015","98.8"
"2020","98.8"
"2025","98.6"
"2030","98.8"
"2035","98.8"
"2040","98.8"
"2045","98.8"
"2050","98.8"
"2055","98.8"
"2060","98.8"
"2065","98.8"
"2070","99.0"
"2075","98.8"
"2080","98.6"
"2085","99.0"
"2090","98.8"
"2095","99.0"
"2100","98.8"
"2105","99.0"
"2110","98.8"
"2115","98.8"
"2120","98.8"
"2125","98.8"
"2130","98.8"
"2135","99.0"
"2140","98.8"
"2145","98.8"
"2150","99.0"
"2155","98.8"
"2160","98.8"
"2165","98.8"
"2170","99.0"
"2175","98.8"
"2180","98.8"
"2185","98.8"
"2190","98.6"
"2195","98.8"
"2200","98.8"
"2205","98.8"
"2210","98.8"
"2215","98.8"
"2220","98.8"
"2225","98.8"
"2230","98.8"
"2235","98.8"
"2240","98.8"
"2245","98.8"
"2250","98.8"
"2255","98.8"
"2260","98.8"
"2265","98.8"
"2270","99.0"
"2275","98.8"
"2280","98.8"
"2285","98.8"
"2290","98.8"
"2295","98.8"
"2300","98.8"
"2305","98.8"
"2310","98.8"
"2315","98.8"
"2320","98.8"
"2325","98.8"
"2330","98.8"
"2335","98.8"
"2340","98.6"
"2345","98.6"
"2350","98.8"
"2355","98.8"
"2360","98.6"
"2365","98.8"
"2370","99.0"
"2375","98.8"
"2380","98.6"
"2385","98.8"
"2390","98.8"
"2395","98.8"
"2400","99.0"
"2405","98.6"
"2410","98.8"
"2415","98.8"
"2420","98.8"
"2425","98.8"
"2430","98.8"
"2435","98.6"
"2440","98.8"
"2445","98.8"
"2450","98.8"
"2455","98.8"
"2460","99.0"
"2465","98.8"
"2470","99.0"
"2475","98.8"
"2480","98.8"
"2485","98.6"
"2490","98.8"
"2495","98.8"
"2500","98.8"
"2505","98.8"
"2510","99.0"
"2515","98.8"
"2520","98.8"
"2525","98.8"
"2530","98.8"
"2535","98.8"
"2540","98.8"
"2545","98.8"
"2550","98.8"
"2555","98.8"
"2560","98.8"
"2565","98.8"
"2570","99.0"
"2575","98.8"
"2580","98.8"
"2585","98.8"
"2590","98.8"
"2595","98.8"
