# time,count,1 min rate,mean rate,5 min rate,15 min rate
5,0,0.0,0.0,0.0,0.0
10,0,0.0,0.0,0.0,0.0
15,0,0.0,0.0,0.0,0.0
20,35944,527.3550588708353,1783.8936358918581,109.01567917413966,36.54062649890313
25,147345,2258.0292797475704,5857.878032822473,473.6979571907818,159.1788680311287
30,232711,3253.3460475965453,7620.876355367008,708.943830148513,239.7726842086145
35,379162,5377.418460115795,10661.762102905497,1190.0907378072118,403.64609943580933
40,492965,6755.675373629081,12152.237011870693,1544.2166456242562,526.7014840923639
45,606604,8040.107852715146,13312.147155580542,1895.8744132783177,650.2097463427024
50,719984,9210.217238953877,14237.487679074251,2239.3165386663854,772.2282159474349
55,835048,10312.435587172155,15026.449539571722,2582.387728348635,895.3490734747754
60,950588,11332.93786009907,15692.914879814998,2921.114039433255,1018.2321429276543
70,1060339,11199.9954014415,15028.088264912027,3179.8101937039783,1127.0861567581173
75,1291099,14017.598615350436,17087.263522211724,3894.831627184463,1378.1243707298984
80,1405421,14717.242080288472,17445.340005110804,4206.777662166932,1496.62753287241
85,1518755,15353.685175284962,17750.107519398593,4512.066890712034,1613.9711236835963
90,1635686,15988.893508581072,18060.806852477974,4822.574359322141,1734.1050475549966
95,1754157,16595.828880596542,18355.119405525023,5132.604029502425,1855.1335180302024
100,1868763,17118.624161936244,18581.843211867454,5430.147545494615,1973.0238886846214
110,1926931,15536.457980903111,17419.93290682363,5483.231743495163,2029.5518191865306
115,2223431,18802.974820856765,19230.054190751547,6324.656530542727,2330.7202887213693
120,2340859,19176.62527562415,19406.065397978447,6608.146608808186,2447.869460331225
125,2457222,19503.70556333119,19559.677540555545,6883.499847781876,2563.2128239876843
130,2572629,19792.7045818341,19694.18121526686,7151.835838940007,2677.0905772001915
135,2688824,20068.4630338758,19824.615335608465,7417.7762488753715,2791.0210851072356
140,2804679,20311.363062321478,19943.20050503288,7677.086391021103,2903.571372133858
154,2960684,19034.09393576323,19109.10050245711,7830.366197506413,3008.6444417972975
159,3247913,21046.42458880056,20305.077408007844,8431.539732103382,3236.8630008084715
164,3360027,21183.050727070033,20368.964387474934,8668.289012284775,3344.9975544756408
169,3474345,21276.978492850925,20442.159402997615,8894.5567268047,3450.331369876717
174,3590121,21409.722475300016,20519.3317332767,9126.661204612261,3558.2915839962097
179,3704511,21545.733124548304,20584.667577948698,9357.798688456738,3666.6154525064067
184,3815866,21652.175346859636,20630.063280439586,9581.25143162943,3773.0439027839043
189,3930078,21698.727459818714,20688.03155128741,9790.389582043677,3875.322621598208
194,4045425,21788.315497660675,20748.866694476426,10005.73687668626,3980.274581651153
199,4160556,21891.28905693504,20805.51750250578,10221.772629992796,4086.068910955962
204,4275594,21980.848183067897,20859.034386705833,10433.166576582265,4190.9181217469195
209,4392187,22060.448111357546,20917.371722236672,10640.487989447456,4294.9925466537
214,4505948,22159.909012786913,20959.8971278171,10849.804043912847,4400.307553282088
219,4625852,18835.33959182349,20089.377934670363,10871.618406162355,4552.260414000649
235,4969515,22820.778547947208,21123.003290080116,11827.123439379835,4907.543378561481
240,5085308,22842.30430674043,21165.21100948986,12013.282414713469,5008.276951888623
245,5200550,22860.42989359601,21203.43044217321,12196.017353357032,5108.336102716626
250,5316699,22889.371425340225,21243.749556840765,12378.267428112586,5208.690769956588
255,5430097,22863.596029320368,21271.69183647631,12546.672364926217,5304.858441469033
260,5546286,22900.02411149326,21309.358599697192,12724.726585400436,5404.660631795
265,5663553,22932.324240134458,21349.65988490929,12899.58659456738,5503.825692506791
270,5782277,22996.262783621245,21393.791363501998,13078.630639762401,5604.81254876354
275,5898628,23029.679198405,21427.748249557568,13249.462575212965,5703.479262183075
280,6015198,23047.918730631754,21461.27792133313,13414.88584250739,5800.732867241373
285,6131004,23062.589082928647,21490.959110764266,13577.138550070253,5897.301412532907
290,6248989,23096.187292782237,21527.101383306468,13740.86473277284,5994.727747617148
295,6366901,23139.556218300328,21561.74260358482,13904.459907198609,6092.477481677534
300,6482328,23129.869101944827,21586.967319099058,14055.100086889488,6186.249665086382
305,6598438,23142.44858599572,21613.55417541079,14207.693276626776,6280.991529202516
310,6714203,23144.075795215555,21638.26554791404,14355.708171636394,6374.519314082956
315,6829355,23134.39510913487,21660.2528004958,14498.96590486302,6466.754427570477
320,6944868,23121.45868647388,21682.679671280366,14639.022757303206,6558.199320849439
