# time,value
5,0
14,0
20,0
28,0
42,0
47,0
52,0
57,0
62,0
67,0
72,0
77,13
82,13
87,27
92,28
97,41
102,41
107,54
112,54
117,68
122,68
127,78
132,81
137,94
142,94
147,108
152,108
157,121
162,121
167,134
172,134
177,148
182,148
187,162
192,162
197,176
202,176
207,189
212,189
217,199
222,203
227,215
232,215
237,229
242,229
247,243
252,243
257,257
262,257
267,271
272,271
277,284
282,284
287,297
292,297
297,306
304,310
309,311
314,316
319,330
324,336
329,350
334,350
339,362
344,364
349,370
354,376
359,378
364,387
369,389
374,392
379,396
384,401
389,401
394,406
399,415
404,429
409,434
414,442
419,453
424,458
429,461
434,468
439,469
444,474
449,485
454,494
459,499
464,513
469,520
474,528
479,530
484,530
489,541
494,543
499,549
504,554
509,560
514,565
519,572
524,583
529,590
534,596
539,602
544,611
549,623
554,630
559,635
564,639
569,653
574,663
579,671
584,685
589,689
594,698
599,706
604,719
609,730
614,731
619,734
624,737
629,745
634,749
639,762
644,771
649,775
654,784
659,789
664,793
669,800
674,806
679,806
684,814
689,814
694,819
699,832
704,835
709,841
714,844
719,851
724,856
729,859
734,864
739,873
744,885
749,895
754,899
759,901
764,910
769,913
774,914
779,920
784,924
789,928
794,935
799,941
804,950
809,956
814,960
819,971
824,981
829,987
834,994
839,997
844,1005
849,1008
854,1013
859,1017
864,1019
869,1022
874,1026
879,1026
884,1033
889,1036
894,1044
899,1052
904,1062
909,1063
914,1074
919,1077
924,1081
929,1089
934,1097
939,1100
944,1106
949,1113
954,1122
959,1134
964,1139
969,1142
974,1154
979,1160
984,1172
989,1175
994,1182
999,1184
1004,1189
1009,1194
1014,1198
1019,1208
1024,1211
1029,1219
1034,1224
1039,1228
1044,1238
1049,1245
1054,1251
1059,1252
1064,1257
1069,1262
1074,1271
1079,1277
1084,1281
1089,1289
1094,1297
1105,1309
1110,1315
1115,1319
1120,1327
1125,1330
1130,1335
1135,1346
1140,1353
1145,1359
1150,1371
1155,1374
1160,1381
1165,1387
1170,1389
1175,1399
1180,1404
1185,1415
1190,1417
1195,1419
1200,1427
1205,1436
1210,1441
1215,1443
1220,1450
1225,1455
1230,1460
1235,1463
1240,1471
1245,1474
1250,1478
1255,1486
1260,1488
1265,1499
1270,1509
1275,1516
1280,1521
1285,1523
1290,1529
1295,1533
1300,1539
1305,1541
1310,1543
1315,1546
1320,1555
1325,1561
1330,1569
1335,1583
1340,1591
1345,1598
1350,1605
1355,1607
1360,1607
1365,1610
1370,1614
1375,1622
1380,1631
1385,1639
1390,1648
1395,1656
1400,1663
1405,1670
1410,1672
1415,1676
1420,1676
1425,1684
1430,1689
1435,1695
1440,1700
1445,1705
1450,1709
1455,1714
1460,1722
1465,1729
1470,1734
1475,1737
1480,1743
1485,1756
1490,1758
1495,1764
1500,1770
1505,1778
1510,1786
1515,1792
1520,1798
1525,1805
1530,1816
1535,1823
1540,1826
1545,1833
1550,1840
1555,1849
1560,1850
1565,1856
1570,1864
1575,1873
1580,1882
1585,1884
1590,1890
1595,1894
1600,1901
1605,1907
1610,1909
1615,1913
1620,1915
1625,1920
1630,1925
1635,1930
1640,1939
1645,1943
1650,1948
1655,1959
1660,1964
1665,1969
1670,1975
1675,1983
1680,1987
1685,2000
1690,2003
1695,2009
1700,2013
1705,2018
1710,2020
1715,2025
1720,2030
1725,2033
1730,2037
1735,2039
1740,2044
1745,2048
1750,2053
1755,2059
1760,2061
1765,2065
1770,2069
1775,2073
1780,2078
1785,2085
1790,2086
1795,2088
1800,2098
1805,2104
1810,2107
1815,2111
1820,2122
1825,2128
1830,2133
1835,2135
1840,2143
1845,2145
1850,2148
1855,2152
1860,2160
1865,2161
1870,2164
1875,2174
1880,2177
1885,2179
1890,2185
1895,2188
1900,2191
1905,2192
1910,2197
1915,2204
1920,2207
1925,2212
1930,2220
1935,2222
1940,2225
1945,2225
1950,2231
1955,2237
1960,2242
1965,2248
1970,2257
