# time,value
5,0
14,0
20,0
28,0
42,0
47,0
52,0
57,0
62,0
67,0
72,0
77,14
82,0
87,14
92,1
97,13
102,0
107,14
112,0
117,14
122,0
127,11
132,3
137,14
142,0
147,14
152,0
157,14
162,0
167,14
172,0
177,14
182,0
187,14
192,0
197,14
202,1
207,13
212,0
217,10
222,4
227,14
232,0
237,14
242,0
247,14
252,0
257,14
262,0
267,14
272,0
277,14
282,0
287,14
292,0
297,10
304,4
309,2
314,5
319,15
324,6
329,14
334,0
339,12
344,2
349,6
354,6
359,2
364,10
369,2
374,3
379,4
384,5
389,0
394,5
399,9
404,14
409,5
414,9
419,11
424,5
429,3
434,7
439,1
444,6
449,11
454,9
459,5
464,14
469,7
474,10
479,2
484,0
489,12
494,2
499,6
504,6
509,6
514,5
519,7
524,11
529,7
534,6
539,6
544,9
549,13
554,7
559,5
564,4
569,14
574,10
579,8
584,14
589,5
594,9
599,8
604,13
609,11
614,1
619,3
624,3
629,8
634,4
639,13
644,9
649,5
654,9
659,5
664,4
669,7
674,6
679,0
684,8
689,0
694,5
699,13
704,3
709,6
714,3
719,7
724,5
729,3
734,5
739,9
744,12
749,11
754,5
759,2
764,9
769,3
774,1
779,6
784,4
789,4
794,7
799,6
804,11
809,6
814,4
819,12
824,10
829,6
834,7
839,3
844,8
849,3
854,5
859,4
864,2
869,3
874,4
879,0
884,7
889,3
894,9
899,8
904,10
909,1
914,11
919,3
924,4
929,8
934,8
939,3
944,6
949,8
954,10
959,13
964,6
969,3
974,12
979,6
984,12
989,3
994,9
999,2
1004,5
1009,5
1014,4
1019,10
1024,3
1029,8
1034,5
1039,4
1044,11
1049,8
1054,6
1059,1
1064,5
1069,5
1074,9
1079,6
1084,4
1089,9
1094,8
1105,6
1110,6
1115,4
1120,8
1125,3
1130,6
1135,12
1140,7
1145,6
1150,12
1155,3
1160,7
1165,6
1170,2
1175,10
1180,5
1185,11
1190,2
1195,2
1200,8
1205,9
1210,5
1215,2
1220,7
1225,5
1230,5
1235,3
1240,8
1245,3
1250,4
1255,9
1260,2
1265,12
1270,10
1275,7
1280,5
1285,2
1290,6
1295,4
1300,6
1305,2
1310,2
1315,3
1320,9
1325,6
1330,8
1335,14
1340,8
1345,7
1350,7
1355,2
1360,0
1365,3
1370,4
1375,8
1380,10
1385,8
1390,9
1395,8
1400,7
1405,7
1410,2
1415,4
1420,0
1425,9
1430,5
1435,6
1440,6
1445,5
1450,4
1455,5
1460,8
1465,7
1470,5
1475,3
1480,6
1485,14
1490,2
1495,7
1500,6
1505,8
1510,8
1515,6
1520,6
1525,7
1530,11
1535,7
1540,3
1545,7
1550,8
1555,10
1560,1
1565,7
1570,8
1575,9
1580,9
1585,2
1590,6
1595,4
1600,7
1605,6
1610,2
1615,4
1620,2
1625,5
1630,5
1635,5
1640,10
1645,4
1650,5
1655,11
1660,6
1665,5
1670,6
1675,8
1680,4
1685,13
1690,3
1695,6
1700,5
1705,5
1710,2
1715,5
1720,5
1725,3
1730,4
1735,2
1740,5
1745,5
1750,6
1755,6
1760,2
1765,4
1770,4
1775,4
1780,5
1785,7
1790,3
1795,2
1800,11
1805,6
1810,3
1815,5
1820,11
1825,6
1830,6
1835,2
1840,9
1845,3
1850,3
1855,4
1860,8
1865,1
1870,4
1875,10
1880,3
1885,2
1890,6
1895,3
1900,3
1905,2
1910,6
1915,8
1920,4
1925,5
1930,8
1935,3
1940,3
1945,0
1950,6
1955,8
1960,5
1965,6
1970,9
1976,4
1981,7
1986,2
1991,8
1996,4
2001,0
2006,0
2011,6
2016,2
2021,3
2026,9
2031,9
2036,5
2041,5
2046,11
2051,4
2056,3
2061,1
2066,4
2071,0
2076,0
2081,2
2086,8
2091,4
2096,8
2101,9
2106,5
2111,4
2116,7
2121,5
2126,4
2131,0
2136,6
2141,4
2146,9
2151,9
2156,10
2161,8
2166,4
2171,2
2176,4
2181,4
2186,5
2191,5
2196,4
