# time,value
5,0
14,0
20,0
28,0
42,0
47,0
52,0
57,0
62,0
67,143
72,488
77,488
82,490
87,489
92,491
97,489
102,491
107,490
112,492
117,492
122,491
127,492
132,491
137,493
142,492
147,493
152,493
157,492
162,493
167,493
172,493
177,493
182,492
187,493
192,493
197,493
202,493
207,492
212,493
217,493
222,493
227,492
232,493
237,493
242,492
247,493
252,494
257,493
262,492
267,493
272,493
277,493
282,493
287,492
292,490
297,493
304,492
309,490
314,492
319,491
324,493
329,492
334,493
339,493
344,492
349,491
354,493
359,493
364,492
369,493
374,493
379,493
384,492
389,494
394,491
399,493
404,491
409,493
414,492
419,493
424,493
429,491
434,493
439,493
444,493
449,491
454,493
459,492
464,493
469,493
474,492
479,493
484,493
489,492
494,493
499,493
504,492
509,493
514,493
519,493
524,493
529,493
534,493
539,492
544,493
549,492
554,492
559,493
564,493
569,493
574,492
579,493
584,492
589,493
594,493
599,492
604,493
609,492
614,493
619,492
624,493
629,493
634,492
639,493
644,493
649,493
654,493
659,493
664,492
669,492
674,492
679,493
684,492
689,493
694,492
699,494
704,493
709,493
714,493
719,493
724,493
729,494
734,493
739,494
744,493
749,493
754,494
759,494
764,493
769,494
774,493
779,493
784,493
789,494
794,493
799,493
804,494
809,493
814,494
819,493
824,494
829,494
834,493
839,494
844,493
849,493
854,493
859,493
864,494
869,493
874,493
879,494
884,493
889,491
894,493
899,493
904,492
909,493
914,493
919,494
924,493
929,493
934,493
939,493
944,493
949,492
954,493
959,493
964,492
969,493
974,493
979,493
984,493
989,494
994,493
999,493
1004,494
1009,493
1014,493
1019,492
1024,493
1029,493
1034,494
1039,493
1044,493
1049,493
1054,493
1059,493
1064,493
1069,493
1074,493
1079,494
1084,493
1089,494
1094,493
1105,1018
1110,493
1115,493
1120,493
1125,493
1130,493
1135,493
1140,493
1145,493
1150,493
1155,493
1160,493
1165,493
1170,493
1175,493
1180,491
1185,490
1190,493
1195,493
1200,493
1205,491
1210,493
1215,494
1220,492
1225,492
1230,494
1235,492
1240,493
1245,493
1250,494
1255,492
1260,493
1265,493
1270,492
1275,493
1280,493
1285,493
1290,494
1295,493
1300,493
1305,493
1310,493
1315,493
1320,493
1325,493
1330,493
1335,493
1340,493
1345,493
1350,493
1355,493
1360,493
1365,491
1370,493
1375,493
1380,493
1385,493
1390,493
1395,493
1400,493
1405,494
1410,492
1415,494
1420,493
1425,493
1430,492
1435,493
1440,493
1445,493
1450,491
1455,492
1460,492
1465,493
1470,493
1475,494
1480,493
1485,492
1490,493
1495,492
1500,492
1505,493
1510,494
1515,493
1520,494
1525,494
1530,493
1535,494
1540,492
1545,493
1550,493
1555,493
1560,493
1565,493
1570,491
1575,493
1580,493
1585,494
1590,494
1595,493
1600,493
1605,493
1610,493
1615,491
1620,494
1625,492
1630,493
1635,490
1640,492
1645,492
1650,492
1655,494
1660,493
1665,493
1670,492
1675,493
1680,492
1685,494
1690,493
1695,493
1700,494
1705,494
1710,493
1715,493
1720,493
1725,494
1730,493
1735,493
1740,493
1745,493
1750,494
1755,494
1760,493
1765,494
1770,494
1775,494
1780,493
1785,495
1790,493
1795,494
1800,494
1805,495
1810,494
1815,494
1820,494
1825,494
1830,493
1835,495
1840,493
1845,495
1850,494
1855,494
1860,495
1865,494
1870,494
1875,494
1880,494
1885,494
1890,494
1895,495
1900,494
1905,495
1910,494
1915,495
1920,494
1925,494
1930,495
1935,494
1940,494
1945,495
1950,494
1955,494
1960,494
1965,495
1970,494
1976,495
1981,494
1986,494
1991,490
1996,494
2001,494
2006,494
2011,495
2016,494
2021,494
2026,495
2031,494
2036,494
2041,493
2046,494
2051,494
2056,495
2061,494
2066,495
2071,493
2076,494
2081,495
2086,494
2091,494
2096,493
2101,494
2106,494
2111,471
2116,518
2121,494
2126,494
2131,494
2136,495
2141,494
2146,495
2151,493
2156,495
2161,494
2166,494
2171,495
2176,494
2181,494
2186,494
2191,494
2196,495
