# time,value
5,0
14,0
20,0
28,0
42,0
47,0
52,0
57,0
62,0
67,0
72,0
77,1
82,1
87,1
92,1
97,1
102,1
107,2
112,2
117,2
122,2
127,3
132,3
137,4
142,4
147,4
152,4
157,5
162,5
167,6
172,6
177,6
182,6
187,6
192,6
197,6
202,7
207,7
212,7
217,7
222,7
227,9
232,9
237,9
242,9
247,9
252,9
257,9
262,9
267,9
272,9
277,10
282,10
287,11
292,11
297,12
304,12
309,13
314,13
319,14
324,14
329,14
334,14
339,14
344,14
349,14
354,14
359,14
364,15
369,15
374,15
379,15
384,15
389,15
394,15
399,15
404,15
409,15
414,16
419,16
424,16
429,16
434,16
439,16
444,17
449,17
454,17
459,17
464,17
469,17
474,19
479,19
484,19
489,20
494,20
499,20
504,21
509,21
514,21
519,21
524,21
529,21
534,21
539,21
544,21
549,22
554,22
559,22
564,22
569,22
574,22
579,22
584,22
589,23
594,23
599,23
604,23
609,23
614,23
619,23
624,23
629,23
634,23
639,23
644,23
649,24
654,24
659,24
664,24
669,24
674,24
679,24
684,24
689,24
694,24
699,24
704,24
709,24
714,24
719,24
724,24
729,24
734,24
739,24
744,24
749,25
754,26
759,26
764,26
769,26
774,26
779,26
784,26
789,26
794,26
799,26
804,28
809,28
814,28
819,29
824,29
829,29
834,29
839,29
844,29
849,29
854,29
859,29
864,29
869,29
874,29
879,29
884,29
889,29
894,30
899,30
904,30
909,30
914,30
919,30
924,30
929,30
934,30
939,30
944,30
949,31
954,32
959,33
964,34
969,34
974,34
979,34
984,34
989,34
994,36
999,36
1004,36
1009,36
1014,36
1019,36
1024,36
1029,36
1034,36
1039,36
1044,37
1049,38
1054,38
1059,38
1064,38
1069,38
1074,38
1079,38
1084,38
1089,39
1094,39
1105,39
1110,39
1115,39
1120,39
1125,39
1130,40
1135,41
1140,41
1145,41
1150,41
1155,41
1160,41
1165,41
1170,41
1175,41
1180,41
1185,41
1190,41
1195,41
1200,41
1205,41
1210,41
1215,41
1220,41
1225,41
1230,41
1235,41
1240,41
1245,41
1250,41
1255,42
1260,42
1265,43
1270,43
1275,43
1280,43
1285,43
1290,43
1295,43
1300,43
1305,43
1310,43
1315,43
1320,43
1325,43
1330,43
1335,43
1340,43
1345,43
1350,43
1355,43
1360,43
1365,43
1370,43
1375,43
1380,44
1385,44
1390,44
1395,44
1400,44
1405,44
1410,44
1415,44
1420,44
1425,45
1430,45
1435,45
1440,46
1445,46
1450,46
1455,46
1460,46
1465,46
1470,46
1475,46
1480,46
1485,47
1490,47
1495,48
1500,48
1505,48
1510,48
1515,48
1520,48
1525,48
1530,48
1535,48
1540,48
1545,48
1550,49
1555,50
1560,50
1565,51
1570,51
1575,51
1580,51
1585,51
1590,51
1595,51
1600,51
1605,51
1610,51
1615,51
1620,51
1625,51
1630,51
1635,51
1640,52
1645,52
1650,52
1655,52
1660,53
1665,53
1670,53
1675,53
1680,53
1685,53
1690,53
1695,53
1700,54
1705,54
1710,54
1715,54
1720,54
1725,54
1730,54
1735,54
1740,54
1745,55
1750,56
1755,56
1760,56
1765,56
1770,56
1775,56
1780,56
1785,56
1790,58
1795,58
1800,59
1805,59
1810,59
1815,60
1820,60
1825,60
1830,61
1835,61
1840,62
1845,63
1850,63
1855,63
1860,63
1865,63
1870,64
1875,64
1880,64
1885,64
1890,64
1895,64
1900,64
1905,65
1910,66
1915,67
1920,68
1925,68
1930,68
1935,69
1940,69
1945,69
1950,69
1955,71
1960,71
1965,71
1970,71
1976,71
1981,72
1986,72
1991,72
1996,72
2001,72
2006,72
2011,73
2016,73
2021,73
2026,73
2031,73
2036,73
2041,73
2046,73
2051,73
2056,73
2061,73
2066,74
2071,74
2076,74
2081,74
2086,74
2091,74
2096,75
2101,76
2106,77
2111,77
2116,77
2121,79
2126,79
2131,79
2136,79
2141,80
2146,80
2151,80
2156,80
2161,80
2166,80
2171,80
2176,80
2181,81
2186,81
2191,81
2196,81
