# time,value
5,0
14,0
20,0
28,0
42,0
47,0
52,0
57,0
62,0
67,0
72,0
77,0
82,0
87,0
92,0
97,0
102,0
107,0
112,0
117,0
122,0
127,0
132,0
137,0
142,0
147,0
152,0
157,0
162,0
167,0
172,0
177,0
182,0
187,0
192,0
197,0
202,0
207,0
212,0
217,0
222,0
227,0
232,0
237,0
242,0
247,0
252,0
257,0
262,0
267,0
272,0
277,0
282,0
287,0
292,0
297,0
304,0
309,0
314,0
319,0
324,0
329,0
334,0
339,0
344,0
349,0
354,0
359,0
364,0
369,0
374,0
379,0
384,0
389,0
394,0
399,0
404,0
409,0
414,0
419,0
424,0
429,0
434,0
439,0
444,0
449,0
454,0
459,0
464,0
469,0
474,0
479,0
484,0
489,0
494,0
499,0
504,0
509,0
514,0
519,0
524,0
529,0
534,0
539,0
544,0
549,0
554,0
559,0
564,0
569,0
574,0
579,0
584,0
589,0
594,0
599,0
604,0
609,0
614,0
619,0
624,0
629,0
634,0
639,0
644,0
649,0
654,0
659,0
664,0
669,0
674,0
679,0
684,0
689,0
694,0
699,0
704,0
709,0
714,0
719,0
724,0
729,0
734,0
739,0
744,0
749,0
754,0
759,0
764,0
769,0
774,0
779,0
784,0
789,0
794,0
799,0
804,0
809,0
814,0
819,0
824,0
829,0
834,0
839,0
844,0
849,0
854,0
859,0
864,0
869,0
874,0
879,0
884,0
889,0
894,0
899,0
904,0
909,0
914,0
919,0
924,0
929,0
934,0
939,0
944,0
949,0
954,0
959,0
964,0
969,0
974,0
979,0
984,0
989,0
994,0
999,0
1004,0
1009,0
1014,0
1019,0
1024,0
1029,1
1034,0
1039,0
1044,0
1049,0
1054,0
1059,0
1064,0
1069,0
1074,0
1079,0
1084,0
1089,0
1094,0
1105,0
1110,0
1115,0
1120,0
1125,0
1130,0
1135,0
1140,0
1145,0
1150,0
1155,0
1160,0
1165,0
1170,0
1175,0
1180,0
1185,0
1190,0
1195,0
1200,0
1205,0
1210,1
1215,0
1220,0
1225,0
1230,0
1235,0
1240,0
1245,0
1250,0
1255,0
1260,0
1265,0
1270,0
1275,0
1280,0
1285,0
1290,0
1295,0
1300,0
1305,0
1310,0
1315,0
1320,0
1325,0
1330,0
1335,0
1340,0
1345,0
1350,0
1355,0
1360,0
1365,0
1370,0
1375,0
1380,0
1385,0
1390,0
1395,0
1400,0
1405,0
1410,0
1415,0
1420,0
1425,0
1430,0
1435,0
1440,0
1445,0
1450,0
1455,0
1460,0
1465,0
1470,0
1475,0
1480,0
1485,0
1490,0
1495,0
1500,0
1505,0
1510,0
1515,0
1520,0
1525,0
1530,0
1535,0
1540,0
1545,0
1550,0
1555,0
1560,0
1565,0
1570,0
1575,0
1580,0
1585,0
1590,0
1595,0
1600,0
1605,0
1610,0
1615,0
1620,0
1625,0
1630,0
1635,0
1640,0
1645,0
1650,0
1655,0
1660,0
1665,0
1670,0
1675,0
1680,0
1685,0
1690,0
1695,0
1700,0
1705,0
1710,0
1715,0
1720,0
1725,0
1730,0
1735,0
1740,0
1745,0
1750,0
1755,0
1760,0
1765,0
1770,0
1775,0
1780,0
1785,0
1790,0
1795,0
1800,0
1805,0
1810,0
1815,0
1820,0
1825,0
1830,0
1835,0
1840,0
1845,0
1850,0
1855,0
1860,0
1865,0
1870,0
1875,0
1880,0
1885,0
1890,0
1895,0
1900,0
1905,0
1910,0
1915,0
1920,0
1925,0
1930,0
1935,0
1940,0
1945,0
1950,0
1955,0
1960,0
1965,0
1970,0
1976,0
1981,0
1986,0
1991,0
1996,0
2001,0
2006,0
2011,0
2016,0
2021,0
2026,0
2031,0
2036,0
2041,0
2046,0
2051,0
2056,0
2061,0
2066,0
2071,0
2076,0
2081,0
2086,0
2091,0
2096,0
2101,0
2106,0
2111,0
2116,0
2121,0
2126,0
2131,0
2136,0
2141,0
2146,0
2151,0
2156,0
2161,0
2166,0
2171,0
2176,0
2181,0
2186,0
2191,0
2196,0
