# time,count,1 min rate,mean rate,5 min rate,15 min rate
5,0,0.0,0.0,0.0,0.0
14,0,0.0,0.0,0.0,0.0
20,0,0.0,0.0,0.0,0.0
28,0,0.0,0.0,0.0,0.0
42,0,0.0,0.0,0.0,0.0
47,0,0.0,0.0,0.0,0.0
52,0,0.0,0.0,0.0,0.0
57,0,0.0,0.0,0.0,0.0
62,0,0.0,0.0,0.0,0.0
67,0,0.0,0.0,0.0,0.0
72,0,0.0,0.0,0.0,0.0
77,0,0.0,0.0,0.0,0.0
82,0,0.0,0.0,0.0,0.0
87,0,0.0,0.0,0.0,0.0
92,0,0.0,0.0,0.0,0.0
97,0,0.0,0.0,0.0,0.0
102,0,0.0,0.0,0.0,0.0
107,0,0.0,0.0,0.0,0.0
112,0,0.0,0.0,0.0,0.0
117,0,0.0,0.0,0.0,0.0
122,0,0.0,0.0,0.0,0.0
127,0,0.0,0.0,0.0,0.0
132,0,0.0,0.0,0.0,0.0
137,0,0.0,0.0,0.0,0.0
142,0,0.0,0.0,0.0,0.0
147,0,0.0,0.0,0.0,0.0
152,0,0.0,0.0,0.0,0.0
157,0,0.0,0.0,0.0,0.0
162,0,0.0,0.0,0.0,0.0
167,0,0.0,0.0,0.0,0.0
172,0,0.0,0.0,0.0,0.0
177,0,0.0,0.0,0.0,0.0
182,0,0.0,0.0,0.0,0.0
187,0,0.0,0.0,0.0,0.0
192,0,0.0,0.0,0.0,0.0
197,0,0.0,0.0,0.0,0.0
202,0,0.0,0.0,0.0,0.0
207,0,0.0,0.0,0.0,0.0
212,0,0.0,0.0,0.0,0.0
217,0,0.0,0.0,0.0,0.0
222,0,0.0,0.0,0.0,0.0
227,0,0.0,0.0,0.0,0.0
232,0,0.0,0.0,0.0,0.0
237,0,0.0,0.0,0.0,0.0
242,0,0.0,0.0,0.0,0.0
247,0,0.0,0.0,0.0,0.0
252,0,0.0,0.0,0.0,0.0
257,0,0.0,0.0,0.0,0.0
262,0,0.0,0.0,0.0,0.0
267,0,0.0,0.0,0.0,0.0
272,0,0.0,0.0,0.0,0.0
277,0,0.0,0.0,0.0,0.0
282,0,0.0,0.0,0.0,0.0
287,0,0.0,0.0,0.0,0.0
292,0,0.0,0.0,0.0,0.0
297,0,0.0,0.0,0.0,0.0
304,0,0.0,0.0,0.0,0.0
309,0,0.0,0.0,0.0,0.0
314,0,0.0,0.0,0.0,0.0
319,0,0.0,0.0,0.0,0.0
324,0,0.0,0.0,0.0,0.0
329,0,0.0,0.0,0.0,0.0
334,0,0.0,0.0,0.0,0.0
339,0,0.0,0.0,0.0,0.0
344,0,0.0,0.0,0.0,0.0
349,0,0.0,0.0,0.0,0.0
354,0,0.0,0.0,0.0,0.0
359,0,0.0,0.0,0.0,0.0
364,0,0.0,0.0,0.0,0.0
369,0,0.0,0.0,0.0,0.0
374,0,0.0,0.0,0.0,0.0
379,0,0.0,0.0,0.0,0.0
384,0,0.0,0.0,0.0,0.0
389,0,0.0,0.0,0.0,0.0
394,0,0.0,0.0,0.0,0.0
399,0,0.0,0.0,0.0,0.0
404,0,0.0,0.0,0.0,0.0
409,0,0.0,0.0,0.0,0.0
414,0,0.0,0.0,0.0,0.0
419,0,0.0,0.0,0.0,0.0
424,0,0.0,0.0,0.0,0.0
429,0,0.0,0.0,0.0,0.0
434,0,0.0,0.0,0.0,0.0
439,0,0.0,0.0,0.0,0.0
444,0,0.0,0.0,0.0,0.0
449,0,0.0,0.0,0.0,0.0
454,0,0.0,0.0,0.0,0.0
459,0,0.0,0.0,0.0,0.0
464,0,0.0,0.0,0.0,0.0
469,0,0.0,0.0,0.0,0.0
474,0,0.0,0.0,0.0,0.0
479,0,0.0,0.0,0.0,0.0
484,0,0.0,0.0,0.0,0.0
489,0,0.0,0.0,0.0,0.0
494,0,0.0,0.0,0.0,0.0
499,0,0.0,0.0,0.0,0.0
504,0,0.0,0.0,0.0,0.0
509,0,0.0,0.0,0.0,0.0
514,0,0.0,0.0,0.0,0.0
519,0,0.0,0.0,0.0,0.0
524,0,0.0,0.0,0.0,0.0
529,0,0.0,0.0,0.0,0.0
534,0,0.0,0.0,0.0,0.0
539,0,0.0,0.0,0.0,0.0
544,0,0.0,0.0,0.0,0.0
549,0,0.0,0.0,0.0,0.0
554,0,0.0,0.0,0.0,0.0
559,0,0.0,0.0,0.0,0.0
564,0,0.0,0.0,0.0,0.0
569,0,0.0,0.0,0.0,0.0
574,0,0.0,0.0,0.0,0.0
579,0,0.0,0.0,0.0,0.0
584,0,0.0,0.0,0.0,0.0
589,0,0.0,0.0,0.0,0.0
594,0,0.0,0.0,0.0,0.0
599,0,0.0,0.0,0.0,0.0
604,0,0.0,0.0,0.0,0.0
609,0,0.0,0.0,0.0,0.0
614,0,0.0,0.0,0.0,0.0
619,0,0.0,0.0,0.0,0.0
624,0,0.0,0.0,0.0,0.0
629,0,0.0,0.0,0.0,0.0
634,0,0.0,0.0,0.0,0.0
639,0,0.0,0.0,0.0,0.0
644,0,0.0,0.0,0.0,0.0
649,0,0.0,0.0,0.0,0.0
654,0,0.0,0.0,0.0,0.0
659,0,0.0,0.0,0.0,0.0
664,0,0.0,0.0,0.0,0.0
669,0,0.0,0.0,0.0,0.0
674,0,0.0,0.0,0.0,0.0
679,0,0.0,0.0,0.0,0.0
684,0,0.0,0.0,0.0,0.0
689,0,0.0,0.0,0.0,0.0
694,0,0.0,0.0,0.0,0.0
699,0,0.0,0.0,0.0,0.0
704,0,0.0,0.0,0.0,0.0
709,0,0.0,0.0,0.0,0.0
714,0,0.0,0.0,0.0,0.0
719,0,0.0,0.0,0.0,0.0
724,0,0.0,0.0,0.0,0.0
729,0,0.0,0.0,0.0,0.0
734,0,0.0,0.0,0.0,0.0
739,0,0.0,0.0,0.0,0.0
744,0,0.0,0.0,0.0,0.0
749,0,0.0,0.0,0.0,0.0
754,0,0.0,0.0,0.0,0.0
759,0,0.0,0.0,0.0,0.0
764,0,0.0,0.0,0.0,0.0
769,0,0.0,0.0,0.0,0.0
774,0,0.0,0.0,0.0,0.0
779,0,0.0,0.0,0.0,0.0
784,0,0.0,0.0,0.0,0.0
789,0,0.0,0.0,0.0,0.0
794,0,0.0,0.0,0.0,0.0
799,0,0.0,0.0,0.0,0.0
804,0,0.0,0.0,0.0,0.0
809,0,0.0,0.0,0.0,0.0
814,0,0.0,0.0,0.0,0.0
819,0,0.0,0.0,0.0,0.0
824,0,0.0,0.0,0.0,0.0
829,0,0.0,0.0,0.0,0.0
834,0,0.0,0.0,0.0,0.0
839,0,0.0,0.0,0.0,0.0
844,0,0.0,0.0,0.0,0.0
849,0,0.0,0.0,0.0,0.0
854,0,0.0,0.0,0.0,0.0
859,0,0.0,0.0,0.0,0.0
864,0,0.0,0.0,0.0,0.0
869,0,0.0,0.0,0.0,0.0
874,0,0.0,0.0,0.0,0.0
879,0,0.0,0.0,0.0,0.0
884,0,0.0,0.0,0.0,0.0
889,0,0.0,0.0,0.0,0.0
894,0,0.0,0.0,0.0,0.0
899,0,0.0,0.0,0.0,0.0
904,0,0.0,0.0,0.0,0.0
909,0,0.0,0.0,0.0,0.0
914,0,0.0,0.0,0.0,0.0
919,0,0.0,0.0,0.0,0.0
924,0,0.0,0.0,0.0,0.0
929,0,0.0,0.0,0.0,0.0
934,0,0.0,0.0,0.0,0.0
939,0,0.0,0.0,0.0,0.0
944,0,0.0,0.0,0.0,0.0
949,0,0.0,0.0,0.0,0.0
954,0,0.0,0.0,0.0,0.0
959,0,0.0,0.0,0.0,0.0
964,0,0.0,0.0,0.0,0.0
969,0,0.0,0.0,0.0,0.0
974,0,0.0,0.0,0.0,0.0
979,0,0.0,0.0,0.0,0.0
984,0,0.0,0.0,0.0,0.0
989,0,0.0,0.0,0.0,0.0
994,0,0.0,0.0,0.0,0.0
999,0,0.0,0.0,0.0,0.0
1004,0,0.0,0.0,0.0,0.0
1009,0,0.0,0.0,0.0,0.0
1014,0,0.0,0.0,0.0,0.0
1019,0,0.0,0.0,0.0,0.0
1024,0,0.0,0.0,0.0,0.0
1029,0,0.0,0.0,0.0,0.0
1034,0,0.0,0.0,0.0,0.0
1039,0,0.0,0.0,0.0,0.0
1044,0,0.0,0.0,0.0,0.0
1049,0,0.0,0.0,0.0,0.0
1054,0,0.0,0.0,0.0,0.0
1059,0,0.0,0.0,0.0,0.0
1064,0,0.0,0.0,0.0,0.0
1069,0,0.0,0.0,0.0,0.0
1074,0,0.0,0.0,0.0,0.0
1079,0,0.0,0.0,0.0,0.0
1084,0,0.0,0.0,0.0,0.0
1089,0,0.0,0.0,0.0,0.0
1094,0,0.0,0.0,0.0,0.0
1105,0,0.0,0.0,0.0,0.0
1110,0,0.0,0.0,0.0,0.0
1115,0,0.0,0.0,0.0,0.0
1120,0,0.0,0.0,0.0,0.0
1125,0,0.0,0.0,0.0,0.0
1130,0,0.0,0.0,0.0,0.0
1135,0,0.0,0.0,0.0,0.0
1140,0,0.0,0.0,0.0,0.0
1145,0,0.0,0.0,0.0,0.0
1150,0,0.0,0.0,0.0,0.0
1155,0,0.0,0.0,0.0,0.0
1160,0,0.0,0.0,0.0,0.0
1165,0,0.0,0.0,0.0,0.0
1170,0,0.0,0.0,0.0,0.0
1175,0,0.0,0.0,0.0,0.0
1180,0,0.0,0.0,0.0,0.0
1185,0,0.0,0.0,0.0,0.0
1190,0,0.0,0.0,0.0,0.0
1195,0,0.0,0.0,0.0,0.0
1200,0,0.0,0.0,0.0,0.0
1205,0,0.0,0.0,0.0,0.0
1210,0,0.0,0.0,0.0,0.0
1215,0,0.0,0.0,0.0,0.0
1220,0,0.0,0.0,0.0,0.0
1225,0,0.0,0.0,0.0,0.0
1230,0,0.0,0.0,0.0,0.0
1235,0,0.0,0.0,0.0,0.0
1240,0,0.0,0.0,0.0,0.0
1245,0,0.0,0.0,0.0,0.0
1250,0,0.0,0.0,0.0,0.0
1255,0,0.0,0.0,0.0,0.0
1260,0,0.0,0.0,0.0,0.0
1265,0,0.0,0.0,0.0,0.0
1270,0,0.0,0.0,0.0,0.0
1275,0,0.0,0.0,0.0,0.0
1280,0,0.0,0.0,0.0,0.0
1285,0,0.0,0.0,0.0,0.0
1290,0,0.0,0.0,0.0,0.0
1295,0,0.0,0.0,0.0,0.0
1300,0,0.0,0.0,0.0,0.0
1305,0,0.0,0.0,0.0,0.0
1310,0,0.0,0.0,0.0,0.0
1315,0,0.0,0.0,0.0,0.0
1320,0,0.0,0.0,0.0,0.0
1325,0,0.0,0.0,0.0,0.0
1330,0,0.0,0.0,0.0,0.0
1335,0,0.0,0.0,0.0,0.0
1340,0,0.0,0.0,0.0,0.0
1345,0,0.0,0.0,0.0,0.0
1350,0,0.0,0.0,0.0,0.0
1355,0,0.0,0.0,0.0,0.0
1360,0,0.0,0.0,0.0,0.0
1365,0,0.0,0.0,0.0,0.0
1370,0,0.0,0.0,0.0,0.0
1375,0,0.0,0.0,0.0,0.0
1380,0,0.0,0.0,0.0,0.0
1385,0,0.0,0.0,0.0,0.0
1390,0,0.0,0.0,0.0,0.0
1395,0,0.0,0.0,0.0,0.0
1400,0,0.0,0.0,0.0,0.0
1405,0,0.0,0.0,0.0,0.0
1410,0,0.0,0.0,0.0,0.0
1415,0,0.0,0.0,0.0,0.0
1420,0,0.0,0.0,0.0,0.0
1425,0,0.0,0.0,0.0,0.0
1430,0,0.0,0.0,0.0,0.0
1435,0,0.0,0.0,0.0,0.0
1440,0,0.0,0.0,0.0,0.0
1445,0,0.0,0.0,0.0,0.0
1450,0,0.0,0.0,0.0,0.0
1455,0,0.0,0.0,0.0,0.0
1460,0,0.0,0.0,0.0,0.0
1465,0,0.0,0.0,0.0,0.0
1470,0,0.0,0.0,0.0,0.0
1475,0,0.0,0.0,0.0,0.0
1480,0,0.0,0.0,0.0,0.0
1485,0,0.0,0.0,0.0,0.0
1490,0,0.0,0.0,0.0,0.0
1495,0,0.0,0.0,0.0,0.0
1500,0,0.0,0.0,0.0,0.0
1505,0,0.0,0.0,0.0,0.0
1510,0,0.0,0.0,0.0,0.0
1515,0,0.0,0.0,0.0,0.0
1520,0,0.0,0.0,0.0,0.0
1525,0,0.0,0.0,0.0,0.0
1530,0,0.0,0.0,0.0,0.0
1535,0,0.0,0.0,0.0,0.0
1540,0,0.0,0.0,0.0,0.0
1545,0,0.0,0.0,0.0,0.0
1550,0,0.0,0.0,0.0,0.0
1555,0,0.0,0.0,0.0,0.0
1560,0,0.0,0.0,0.0,0.0
1565,0,0.0,0.0,0.0,0.0
1570,0,0.0,0.0,0.0,0.0
1575,0,0.0,0.0,0.0,0.0
1580,0,0.0,0.0,0.0,0.0
1585,0,0.0,0.0,0.0,0.0
1590,0,0.0,0.0,0.0,0.0
1595,0,0.0,0.0,0.0,0.0
1600,0,0.0,0.0,0.0,0.0
1605,0,0.0,0.0,0.0,0.0
1610,0,0.0,0.0,0.0,0.0
1615,0,0.0,0.0,0.0,0.0
1620,0,0.0,0.0,0.0,0.0
1625,0,0.0,0.0,0.0,0.0
1630,0,0.0,0.0,0.0,0.0
1635,0,0.0,0.0,0.0,0.0
1640,0,0.0,0.0,0.0,0.0
1645,0,0.0,0.0,0.0,0.0
1650,0,0.0,0.0,0.0,0.0
1655,0,0.0,0.0,0.0,0.0
1660,0,0.0,0.0,0.0,0.0
1665,0,0.0,0.0,0.0,0.0
1670,0,0.0,0.0,0.0,0.0
1675,0,0.0,0.0,0.0,0.0
1680,0,0.0,0.0,0.0,0.0
1685,0,0.0,0.0,0.0,0.0
1690,0,0.0,0.0,0.0,0.0
1695,0,0.0,0.0,0.0,0.0
1700,0,0.0,0.0,0.0,0.0
1705,0,0.0,0.0,0.0,0.0
1710,0,0.0,0.0,0.0,0.0
1715,0,0.0,0.0,0.0,0.0
1720,0,0.0,0.0,0.0,0.0
1725,0,0.0,0.0,0.0,0.0
1730,0,0.0,0.0,0.0,0.0
1735,0,0.0,0.0,0.0,0.0
1740,0,0.0,0.0,0.0,0.0
1745,0,0.0,0.0,0.0,0.0
1750,0,0.0,0.0,0.0,0.0
