# time,value
5,2
14,0
20,0
28,4
42,0
47,0
52,0
57,0
62,0
67,1
72,1
77,2
82,1
87,1
92,1
97,1
102,1
107,1
112,1
117,1
122,1
127,1
132,1
137,1
142,1
147,1
152,1
157,1
162,1
167,1
172,1
177,1
182,1
187,1
192,1
197,1
202,1
207,1
212,1
217,1
222,1
227,1
232,1
237,1
242,1
247,1
252,1
257,1
262,1
267,1
272,1
277,1
282,1
287,1
292,1
297,1
304,1
309,1
314,1
319,1
324,1
329,1
334,1
339,1
344,1
349,1
354,1
359,1
364,1
369,1
374,1
379,1
384,1
389,1
394,1
399,1
404,1
409,1
414,1
419,1
424,1
429,1
434,1
439,1
444,1
449,1
454,1
459,1
464,1
469,1
474,1
479,1
484,1
489,1
494,1
499,1
504,1
509,1
514,1
519,1
524,1
529,1
534,1
539,1
544,1
549,1
554,1
559,1
564,1
569,1
574,1
579,1
584,1
589,1
594,1
599,1
604,1
609,1
614,1
619,0
624,1
629,1
634,1
639,1
644,1
649,1
654,1
659,0
664,1
669,1
674,1
679,0
684,1
689,0
694,0
699,1
704,0
709,1
714,1
719,1
724,1
729,0
734,1
739,1
744,0
749,1
754,1
759,1
764,0
769,1
774,0
779,1
784,1
789,0
794,0
799,1
804,0
809,1
814,1
819,1
824,1
829,0
834,1
839,0
844,1
849,1
854,0
859,1
864,0
869,1
874,1
879,0
884,0
889,1
894,1
899,0
904,1
909,0
914,0
919,1
924,0
929,0
934,1
939,0
944,1
949,0
954,0
959,1
964,1
969,1
974,1
979,0
984,1
989,1
994,0
999,1
1004,0
1009,1
1014,1
1019,1
1024,1
1029,1
1034,1
1039,1
1044,1
1049,1
1054,0
1059,0
1064,1
1069,0
1074,0
1079,1
1084,0
1089,0
1094,0
1105,1
1110,0
1115,0
1120,0
1125,1
1130,1
1135,0
1140,1
1145,1
1150,0
1155,1
1160,1
1165,0
1170,1
1175,0
1180,1
1185,1
1190,0
1195,1
1200,1
1205,0
1210,1
1215,0
1220,1
1225,1
1230,1
1235,1
1240,0
1245,0
1250,1
1255,1
1260,0
1265,1
1270,0
1275,1
1280,0
1285,1
1290,1
1295,0
1300,1
1305,0
1310,1
1315,1
1320,1
1325,1
1330,0
1335,1
1340,0
1345,0
1350,1
1355,1
1360,0
1365,1
1370,1
1375,1
1380,1
1385,0
1390,0
1395,1
1400,1
1405,0
1410,1
1415,1
1420,0
1425,0
1430,0
1435,1
1440,0
1445,1
1450,0
1455,0
1460,1
1465,0
1470,1
1475,1
1480,0
1485,1
1490,1
1495,1
1500,0
1505,0
1510,1
1515,1
1520,0
1525,1
1530,1
1535,0
1540,1
1545,0
1550,0
1555,0
1560,1
1565,1
1570,1
1575,1
1580,0
1585,1
1590,0
1595,1
1600,1
1605,1
1610,0
1615,1
1620,0
1625,0
1630,1
1635,0
1640,0
1645,1
1650,0
1655,0
1660,1
1665,1
1670,0
1675,1
1680,0
1685,1
1690,1
1695,0
1700,0
1705,0
1710,1
1715,0
1720,1
1725,0
1730,0
1735,1
1740,0
1745,0
1750,0
1755,0
1760,1
1765,1
1770,1
1775,0
1780,0
1785,0
1790,1
1795,1
1800,0
1805,1
1810,0
1815,1
1820,0
1825,1
1830,0
1835,1
1840,0
1845,0
1850,1
1855,1
1860,1
1865,0
1870,0
1875,1
1880,1
1885,0
1890,1
1895,1
1900,0
1905,0
1910,1
1915,0
1920,1
1925,0
1930,1
1935,1
1940,1
1945,0
1950,1
1955,1
1960,1
1965,0
1970,1
1976,0
1981,1
1986,0
1991,1
1996,0
2001,1
2006,0
2011,0
2016,0
2021,1
2026,0
2031,1
2036,1
2041,1
2046,1
2051,0
2056,1
2061,0
2066,1
2071,0
2076,1
2081,1
2086,0
2091,0
2096,0
2101,1
2106,0
2111,0
2116,0
2121,1
2126,1
2131,1
2136,1
2141,0
2146,0
2151,0
2156,1
2161,0
2166,0
2171,0
2176,0
2181,0
2186,1
2191,0
2196,1
2201,0
2206,0
2211,1
2216,0
2221,0
2226,1
2231,0
2236,1
2241,1
2246,0
2251,0
2256,1
2261,0
2266,0
2271,1
2276,1
2281,1
2286,0
2291,1
2296,0
2301,1
2306,0
2311,0
2316,0
2321,1
2326,0
2331,1
2336,0
2341,1
2346,1
2351,1
2356,1
2361,1
2366,0
2371,0
2376,0
2381,0
2386,1
2391,1
2396,0
2401,0
2406,1
2411,1
2416,0
2421,1
2426,0
2431,0
2436,1
2441,0
2446,1
2451,0
2456,1
2461,0
2466,1
2471,0
2476,0
2481,1
2486,1
2491,0
2496,0
2501,1
2506,0
2511,0
2516,1
2521,0
2526,0
2531,1
2536,0
2541,0
2546,1
2551,0
2556,0
2561,1
2566,0
2571,0
2576,0
2581,1
2586,0
2591,0
2596,0
2601,1
2606,1
2611,1
2616,1
2621,1
2626,0
2631,1
2636,0
2641,0
2646,0
2651,1
2656,0
2661,0
2666,1
2671,1
2676,1
2681,0
2686,0
2691,1
2696,1
2701,1
2706,1
2711,0
2716,0
2721,0
2726,1
2731,0
2736,0
2741,1
2746,1
2751,0
2756,1
2761,1
2766,1
2771,1
2776,0
2781,0
2786,0
2791,1
2796,0
2801,1
2806,0
2811,1
2816,0
2821,0
2826,0
2831,1
2836,0
2841,1
2846,1
2851,1
2856,1
2861,0
2866,1
2871,0
2876,0
2881,1
2886,1
2891,0
2896,1
2901,1
2906,0
2911,0
2916,0
2921,0
2926,1
2931,0
2936,1
2941,0
2946,1
2951,0
2956,1
2961,1
2966,1
2971,1
2976,0
2981,1
2986,0
2991,0
2996,1
3001,0
3006,1
3011,0
3016,0
3021,1
3026,1
3031,0
3036,1
3041,0
3046,0
3051,1
3056,1
3061,1
3066,0
3071,1
3076,0
3081,0
3086,0
3091,1
3096,0
3101,0
3106,1
3111,0
3116,0
3121,1
3126,0
3131,0
3136,1
3141,0
3146,0
3151,0
3156,1
3161,0
3166,0
3171,0
3176,1
3181,0
3186,1
3191,0
3196,0
3201,1
3206,0
3211,0
3216,1
3221,1
3226,0
3231,0
3236,0
3241,0
3246,1
3251,0
3256,0
3261,1
3266,0
3271,0
3276,0
3281,1
3286,1
3291,0
3296,0
3301,0
3306,1
3311,1
3316,1
3321,1
3326,1
3331,0
3336,1
3341,0
3346,1
3351,1
3356,0
3361,0
3366,0
3371,1
3376,1
3381,0
3386,1
3391,1
3396,0
3401,1
3406,1
3411,0
3416,1
3421,0
3426,0
3431,1
3436,3
3441,1
3446,1
3451,1
3456,1
3461,1
3466,1
3471,1
3476,0
3481,1
3486,1
3491,2
3496,0
3501,1
3506,1
3511,0
3516,1
3521,0
3526,0
3531,0
3536,1
3541,0
3546,1
3551,1
3556,0
3561,1
3566,0
3571,1
3576,1
3581,1
3586,0
3591,1
3596,0
3601,0
3606,1
3611,1
3616,0
3621,0
3626,1
3631,0
3636,1
3641,1
3646,0
3651,1
3656,0
3661,0
3666,1
3671,0
3676,1
3681,1
3686,1
3691,0
3696,1
3701,1
3706,0
3711,0
3716,0
3721,0
3726,1
3731,0
3736,1
3741,0
3746,0
3751,0
3756,0
3761,0
3766,1
3771,0
3776,0
3781,1
3786,0
3791,1
3796,0
3801,0
3806,1
3811,0
3816,0
3821,1
3826,0
3831,0
3836,1
3841,0
3846,0
3851,1
3856,0
3861,1
3866,1
3871,0
3876,1
3881,0
3886,0
3891,0
3896,1
3901,1
3906,0
3911,1
3916,0
3921,0
3926,1
3931,1
3936,0
3941,0
3946,0
3951,0
3956,0
3961,1
3966,0
3971,0
3976,0
3981,0
3986,0
3991,1
3996,0
4001,0
4006,0
4011,0
4016,1
4021,0
4026,0
4031,0
4036,0
4041,0
4046,0
4051,0
4056,0
4061,1
4066,1
4071,0
4076,0
4081,0
4086,0
4091,1
4096,0
4101,0
4106,0
4111,0
4116,0
4121,0
4126,1
4131,1
4136,0
4141,0
4146,0
4151,0
4156,0
4161,0
4166,0
4171,1
4176,0
4181,0
4186,0
4191,0
4196,1
4201,0
4206,1
4211,0
4216,0
4221,0
4226,0
4231,0
4236,0
4241,0
