# time,value
10,0
15,151
20,166
25,329
30,332
35,497
40,498
45,498
50,498
55,498
60,498
65,498
70,498
75,492
80,497
85,498
90,497
95,498
100,497
105,498
110,498
115,498
120,497
125,498
130,498
135,496
140,496
145,497
150,497
155,498
160,498
165,498
170,498
175,498
180,498
185,498
190,498
195,494
200,496
205,496
210,497
215,493
220,490
225,491
230,479
235,495
240,489
245,495
250,494
255,493
260,496
265,493
270,498
275,498
280,498
285,498
290,498
295,496
300,498
305,498
310,497
315,498
320,498
325,495
330,498
335,494
340,497
345,497
350,498
355,499
360,498
365,499
370,499
375,498
380,498
385,498
390,498
395,498
400,498
405,498
410,498
415,498
420,498
425,498
430,498
435,498
440,498
445,497
450,498
455,498
460,498
465,498
470,498
475,497
480,498
485,496
490,495
495,486
500,480
505,492
510,494
515,493
520,484
525,492
530,490
535,492
540,487
545,497
550,495
555,498
560,498
565,493
570,498
575,498
580,498
585,498
590,498
595,497
600,492
605,496
610,492
615,498
620,498
625,493
630,498
635,498
640,498
645,498
650,498
655,495
660,500
665,498
670,498
675,498
680,499
685,498
690,498
695,498
700,498
705,498
710,498
715,498
720,498
725,498
730,498
735,498
740,498
745,498
750,498
755,498
760,497
765,498
770,498
775,498
780,496
785,497
790,498
795,495
800,497
805,498
810,495
815,497
820,499
825,495
830,496
835,496
840,496
845,490
850,497
855,497
860,495
865,496
870,493
875,493
880,492
885,495
890,494
895,498
900,497
