# time,value
10,0
15,227
20,248
25,594
30,594
35,594
40,594
45,594
50,594
55,594
60,594
65,594
70,594
75,594
80,594
85,594
90,594
95,594
100,594
105,594
110,594
115,594
120,594
125,594
130,594
135,594
140,594
145,594
150,594
155,594
160,594
165,594
170,594
175,594
180,594
185,594
190,594
195,594
200,594
205,594
210,594
215,594
220,594
225,594
230,594
235,594
240,594
245,594
250,594
255,594
260,594
265,594
270,594
275,594
280,594
285,594
290,594
295,594
300,594
305,594
310,594
315,594
320,594
325,594
330,594
335,594
340,594
345,594
350,594
355,594
360,594
365,594
370,594
375,594
380,594
385,594
390,594
395,594
400,594
405,594
410,594
415,594
420,594
425,594
430,594
435,594
440,594
445,594
450,594
455,594
460,594
465,594
470,594
475,594
480,594
485,594
490,594
495,594
500,594
505,594
510,594
515,594
520,594
525,594
530,594
535,594
540,594
545,594
550,594
555,594
560,594
565,594
570,594
575,594
580,594
585,594
590,594
595,594
600,594
605,594
610,594
615,594
620,594
625,594
630,594
635,594
640,594
645,594
650,594
655,594
660,594
665,594
670,594
675,594
680,594
685,594
690,594
695,594
700,594
705,594
710,594
715,594
720,594
725,594
730,594
735,594
740,594
745,594
750,594
755,594
760,594
765,594
770,594
775,594
780,594
785,594
790,594
795,594
800,594
805,594
810,594
815,594
820,594
825,594
830,594
835,594
840,594
845,594
850,594
855,594
860,594
865,594
870,594
875,594
880,594
885,594
890,594
895,594
900,594
