# time,value
10,0
15,151
20,166
25,396
30,396
35,597
40,597
45,597
50,597
55,597
60,597
65,597
70,597
75,597
80,597
85,597
90,597
95,597
100,597
105,597
110,597
115,597
120,597
125,597
130,597
135,597
140,597
145,597
150,597
155,597
160,597
165,597
170,597
175,597
180,597
185,597
190,597
195,597
200,597
205,597
210,597
215,597
220,597
225,597
230,597
235,597
240,597
245,597
250,597
255,597
260,597
265,597
270,597
275,597
280,597
285,597
290,597
295,597
300,597
305,597
310,597
315,597
320,597
325,597
330,597
335,597
340,597
345,597
350,597
355,597
360,597
365,597
370,597
375,597
380,597
385,597
390,597
395,597
400,597
405,597
410,597
415,597
420,597
425,597
430,597
435,597
440,597
445,597
450,597
455,597
460,597
465,597
470,597
475,597
480,597
485,597
490,597
495,597
500,597
505,597
510,597
515,597
520,597
525,597
530,597
535,597
540,597
545,597
550,597
555,597
560,597
565,597
570,597
575,597
580,597
585,597
590,597
595,597
600,597
605,597
610,597
615,597
620,597
625,597
630,597
635,597
640,597
645,597
650,597
655,597
660,597
665,597
670,597
675,597
680,597
685,597
690,597
695,597
700,597
705,597
710,597
715,597
720,597
725,597
730,597
735,597
740,597
745,597
750,597
755,597
760,597
765,597
770,597
775,597
780,597
785,597
790,597
795,597
800,597
805,597
810,597
815,597
820,597
825,597
830,597
835,597
840,597
845,597
850,597
855,597
860,597
865,597
870,597
875,597
880,597
885,597
890,597
895,597
900,597
