# time,value
10,0
15,0
20,1
25,2
30,4
35,170
40,338
45,143
50,0
55,0
60,0
65,0
70,1
75,0
80,0
85,0
90,0
95,0
100,0
105,0
110,0
115,0
120,0
125,0
130,0
135,0
140,0
145,0
150,0
155,0
160,0
165,0
170,0
175,0
180,0
185,0
190,0
195,0
200,0
205,0
210,0
215,0
220,0
225,0
230,0
235,0
240,0
245,0
250,0
255,0
260,0
265,0
270,0
275,0
280,1
285,1
290,1
295,0
300,0
305,0
310,0
315,1
320,1
325,0
330,0
335,0
340,0
345,0
350,0
355,1
360,1
365,2
370,3
375,3
380,3
385,3
390,2
395,3
400,3
405,2
410,3
415,3
420,2
425,2
430,2
435,2
440,2
445,0
450,0
455,0
460,0
465,0
470,0
475,0
480,1
485,0
490,0
495,0
500,0
505,0
510,0
515,0
520,0
525,0
530,0
535,0
540,0
545,0
550,0
555,0
560,0
565,0
570,0
575,0
580,1
585,0
590,0
595,0
600,0
605,0
610,0
615,0
620,0
625,0
630,1
635,1
640,0
645,1
650,0
655,0
660,3
665,2
670,2
675,2
680,3
685,3
690,2
695,3
700,3
705,2
710,3
715,1
720,1
725,2
730,1
735,1
740,2
745,1
750,1
755,1
760,0
765,0
770,0
775,1
780,0
785,0
790,1
795,0
800,0
805,0
810,0
815,0
820,1
825,0
830,0
835,0
840,0
845,0
850,0
855,0
860,0
865,0
870,0
875,0
880,0
885,0
890,0
895,1
900,0
