# time,value
10,0
15,230
20,475
25,424
30,422
35,419
40,415
45,412
50,410
55,406
60,404
65,400
70,398
75,394
80,391
85,389
90,385
95,384
100,380
105,375
110,373
115,369
120,368
125,364
130,362
135,358
140,354
145,353
150,349
155,347
160,343
165,342
170,338
175,334
180,332
185,328
190,324
195,326
200,322
205,318
210,316
215,312
220,311
225,307
230,303
235,301
240,297
245,295
250,292
255,288
260,286
265,282
270,280
275,277
280,273
285,270
290,268
295,265
300,262
305,259
310,256
315,253
320,250
325,247
330,244
335,240
340,239
345,235
350,233
355,229
360,226
365,224
370,221
375,217
380,216
385,212
390,209
395,207
400,204
405,202
410,198
415,195
420,193
425,190
430,186
435,185
440,181
445,178
450,176
455,173
460,169
465,168
470,164
475,161
480,159
485,158
490,154
495,151
500,149
505,146
510,142
515,141
520,137
525,134
530,133
535,129
540,127
545,124
550,121
555,116
560,113
565,110
570,108
575,105
580,101
585,100
590,96
595,93
600,91
605,87
610,85
615,82
620,79
625,76
630,74
635,70
640,68
645,66
650,63
655,61
660,59
665,57
670,54
675,52
680,49
685,46
690,44
695,42
700,39
705,37
710,35
715,32
720,30
725,28
730,24
735,23
740,20
745,17
750,16
755,13
760,10
765,9
770,6
775,3
780,2
785,0
790,0
795,0
800,0
805,0
810,0
815,0
820,0
825,0
830,0
835,0
840,0
845,0
850,0
855,0
860,0
865,0
870,0
875,0
880,0
885,0
890,0
895,0
900,0
