# time,value
10,0
15,76
20,158
25,250
30,380
35,345
40,317
45,300
50,298
55,297
60,295
65,295
70,293
75,293
80,294
85,292
90,292
95,289
100,289
105,287
110,284
115,284
120,282
125,281
130,277
135,277
140,276
145,274
150,265
155,263
160,257
165,251
170,249
175,249
180,247
185,247
190,247
195,240
200,239
205,239
210,212
215,212
220,210
225,210
230,210
235,208
240,208
245,207
250,206
255,206
260,205
265,204
270,203
275,202
280,202
285,201
290,200
295,199
300,198
305,197
310,197
315,196
320,195
325,194
330,193
335,193
340,191
345,191
350,189
355,188
360,188
365,185
370,183
375,183
380,181
385,181
390,181
395,179
400,179
405,179
410,177
415,177
420,175
425,175
430,175
435,173
440,170
445,170
450,168
455,168
460,168
465,166
470,165
475,165
480,163
485,161
490,161
495,161
500,159
505,159
510,159
515,157
520,157
525,157
530,152
535,152
540,151
545,150
550,150
555,149
560,148
565,148
570,147
575,146
580,146
585,144
590,144
595,143
600,142
605,142
610,141
615,140
620,140
625,139
630,138
635,138
640,137
645,136
650,136
655,135
660,132
665,131
670,131
675,130
680,128
685,128
690,127
695,126
700,126
705,125
710,124
715,124
720,123
725,122
730,122
735,121
740,120
745,120
750,118
755,118
760,118
765,116
770,114
775,114
780,114
785,114
790,111
795,109
800,109
805,107
810,107
815,107
820,102
825,102
830,100
835,98
840,97
845,96
850,94
855,92
860,91
865,90
870,88
875,86
880,85
885,84
890,82
895,80
900,79
