# time,value
10,0
15,227
20,475
25,723
30,971
35,1219
40,1467
45,1715
50,1963
55,2211
60,2459
65,2707
70,2955
75,3203
80,3451
85,3699
90,3948
95,4196
100,4444
105,4692
110,4939
115,5188
120,5436
125,5684
130,5932
135,6180
140,6428
145,6676
150,6924
155,7172
160,7420
165,7668
170,7916
175,8164
180,8412
185,8660
190,8908
195,9156
200,9404
205,9652
210,9900
215,10148
220,10396
225,10644
230,10892
235,11140
240,11388
245,11636
250,11884
255,12133
260,12381
265,12629
270,12877
275,13125
280,13373
285,13622
290,13870
295,14118
300,14366
305,14614
310,14862
315,15111
320,15359
325,16204
330,16948
335,17692
340,18439
345,19183
350,19930
355,20677
360,21421
365,22168
370,22912
375,23659
380,24403
385,25150
390,25896
395,26641
400,27388
405,28132
410,28879
415,29623
420,30370
425,31116
430,31861
435,32607
440,33352
445,34098
450,34845
455,35590
460,36336
465,37081
470,37827
475,38574
480,39318
485,40065
490,40810
495,41556
500,42301
505,43047
510,43794
515,44539
520,45285
525,46030
530,46776
535,47523
540,48268
545,49014
550,49761
555,50505
560,51252
565,51997
570,52743
575,53490
580,54234
585,54981
590,55726
595,56472
600,57219
605,57963
610,58710
615,59455
620,60042
625,60288
630,60536
635,60785
640,61033
645,61281
650,61529
655,61777
660,62025
665,62273
670,62521
675,62769
680,63017
685,63265
690,63513
695,63761
700,64010
705,64258
710,64506
715,64754
720,65002
725,65250
730,65498
735,65746
740,65994
745,66242
750,66490
755,66738
760,66986
765,67234
770,67482
775,67730
780,67978
785,68227
790,68475
795,68723
800,68971
805,69219
810,69467
815,69715
820,69964
825,70212
830,70460
835,70708
840,70956
845,71205
850,71453
855,71701
860,71949
865,72197
870,72445
875,72693
880,72941
885,73190
890,73438
895,73686
900,73934
905,74182
