# time,value
10,0
15,227
20,248
25,248
30,248
35,248
40,248
45,248
50,248
55,248
60,248
65,248
70,248
75,248
80,248
85,248
90,249
95,248
100,248
105,248
110,247
115,249
120,248
125,248
130,248
135,248
140,248
145,248
150,248
155,248
160,248
165,248
170,248
175,248
180,248
185,248
190,248
195,248
200,248
205,248
210,248
215,248
220,248
225,248
230,248
235,248
240,248
245,248
250,248
255,249
260,248
265,248
270,248
275,248
280,248
285,249
290,248
295,248
300,248
305,248
310,248
315,249
320,248
325,596
330,596
335,596
340,596
345,596
350,596
355,596
360,596
365,596
370,596
375,596
380,596
385,596
390,596
395,596
400,596
405,596
410,596
415,596
420,596
425,596
430,596
435,596
440,596
445,596
450,596
455,596
460,596
465,596
470,596
475,596
480,596
485,596
490,596
495,596
500,596
505,596
510,596
515,596
520,596
525,596
530,596
535,596
540,596
545,596
550,596
555,596
560,596
565,596
570,596
575,596
580,596
585,596
590,596
595,596
600,596
605,596
610,596
615,596
620,596
625,246
630,248
635,249
640,248
645,248
650,248
655,248
660,248
665,248
670,248
675,248
680,248
685,248
690,248
695,248
700,249
705,248
710,248
715,248
720,248
725,248
730,248
735,248
740,248
745,248
750,248
755,248
760,248
765,248
770,248
775,248
780,248
785,249
790,248
795,248
800,248
805,248
810,248
815,248
820,249
825,248
830,248
835,248
840,248
845,249
850,248
855,248
860,248
865,248
870,248
875,248
880,248
885,249
890,248
895,248
900,248
905,248
