# time,value
10,0
15,4
20,4
25,5
30,5
35,5
40,6
45,6
50,6
55,7
60,7
65,8
70,8
75,8
80,9
85,9
90,9
95,9
100,10
105,10
110,11
115,11
120,11
125,12
130,12
135,13
140,13
145,14
150,14
155,15
160,15
165,16
170,17
175,17
180,18
185,18
190,19
195,19
200,20
205,20
210,21
215,22
220,22
225,23
230,23
235,24
240,24
245,25
250,25
255,25
260,26
265,26
270,27
275,27
280,28
285,28
290,28
295,29
300,29
305,30
310,30
315,258
320,504
325,451
330,449
335,447
340,444
345,442
350,438
355,434
360,433
365,429
370,427
375,423
380,422
385,418
390,415
395,412
400,409
405,407
410,403
415,401
420,397
425,394
430,392
435,389
440,386
445,383
450,380
455,377
460,374
465,371
470,369
475,365
480,363
485,359
490,357
495,354
500,351
505,348
510,345
515,342
520,339
525,336
530,334
535,330
540,327
545,325
550,321
555,319
560,315
565,313
570,310
575,307
580,305
585,301
590,299
595,296
600,292
605,290
610,287
615,56
620,0
625,3
630,3
635,3
640,3
645,4
650,4
655,5
660,6
665,6
670,7
675,7
680,8
685,8
690,9
695,9
700,9
705,9
710,10
715,11
720,11
725,12
730,12
735,13
740,13
745,14
750,14
755,15
760,15
765,16
770,15
775,16
780,16
785,16
790,16
795,17
800,17
805,18
810,18
815,19
820,19
825,19
830,20
835,20
840,21
845,20
850,21
855,21
860,22
865,23
870,23
875,24
880,24
885,24
890,25
895,25
900,26
905,26
