# time,count
10,1
15,1
20,2
25,2
30,2
35,2
40,2
45,2
50,2
55,2
60,2
65,2
70,2
75,2
80,2
85,2
90,2
95,2
100,2
105,2
110,2
115,2
120,2
125,2
130,2
135,2
140,2
145,2
150,2
155,2
160,2
165,2
170,2
175,2
180,2
185,2
190,2
195,2
200,2
205,2
210,2
215,2
220,2
225,2
230,2
235,2
240,2
245,2
250,2
255,2
260,2
265,2
270,2
275,2
280,2
285,2
290,2
295,2
300,2
305,2
310,2
315,2
320,2
325,2
330,3
335,3
340,3
345,3
350,3
355,3
360,3
365,3
370,3
375,3
380,3
385,3
390,3
395,3
400,3
405,3
410,3
415,3
420,3
425,3
430,3
435,3
440,3
445,3
450,3
455,3
460,3
465,3
470,3
475,3
480,3
485,3
490,3
495,3
500,3
505,3
510,3
515,3
520,3
525,3
530,3
535,3
540,3
545,3
550,3
555,3
560,3
565,3
570,3
575,3
580,3
585,3
590,3
595,3
600,3
605,3
610,3
615,3
620,3
625,3
630,2
635,2
640,2
645,2
650,2
655,2
660,2
665,2
670,2
675,2
680,2
685,2
690,2
695,2
700,2
705,2
710,2
715,2
720,2
725,2
730,2
735,2
740,2
745,2
750,2
755,2
760,2
765,2
770,2
775,2
780,2
785,2
790,2
795,2
800,2
805,2
810,2
815,2
820,2
825,2
830,2
835,2
840,2
845,2
850,2
855,2
860,2
865,2
870,2
875,2
880,2
885,2
890,2
895,2
900,2
905,2
