# time,value
10,0
15,151
20,316
25,644
30,968
35,1216
40,1464
45,1712
50,1960
55,2208
60,2456
65,2704
70,2952
75,3200
80,3448
85,3696
90,3944
95,4192
100,4440
105,4688
110,4936
115,5184
120,5432
125,5680
130,5928
135,6176
140,6424
145,6672
150,6920
155,7168
160,7416
165,7664
170,7912
175,8160
180,8408
185,8656
190,8904
195,9152
200,9400
205,9648
210,9896
215,10144
220,10392
225,10640
230,10888
235,11137
240,11385
245,11633
250,11881
255,12129
260,12377
265,12625
270,12873
275,13121
280,13369
285,13617
290,13865
295,14113
300,14361
305,14610
310,14858
315,15107
320,15355
325,15684
330,16015
335,16345
340,16675
345,17732
350,18725
355,19514
360,20289
365,21064
370,21839
375,22614
380,23398
385,24178
390,24952
395,25700
400,26439
405,27168
410,27890
415,28574
420,29247
425,29919
430,30589
435,31260
440,31928
445,32596
450,33264
455,33932
460,34599
465,35266
470,35933
475,36599
480,37265
485,37931
490,38597
495,39267
500,39982
505,40701
510,41420
515,42139
520,42857
525,43576
530,44295
535,45013
540,45731
545,46451
550,47171
555,47890
560,48609
565,49327
570,50044
575,50764
580,51487
585,52230
590,52973
595,53718
600,54462
605,55205
610,55949
615,56686
620,57399
625,57931
630,58260
635,58522
640,58770
645,59018
650,59266
655,59514
660,59762
665,60010
670,60258
675,60506
680,60754
685,61002
690,61251
695,61499
700,61747
705,61995
710,62243
715,62491
720,62739
725,62987
730,63235
735,63483
740,63731
745,63980
750,64228
755,64476
760,64724
765,64972
770,65220
775,65468
780,65716
785,65964
790,66212
795,66460
800,66708
805,66956
810,67204
815,67453
820,67701
825,67949
830,68197
835,68445
840,68693
845,68941
850,69189
855,69437
860,69686
865,69934
870,70182
875,70430
880,70678
885,70926
890,71174
895,71422
900,71670
905,71918
