# time,value
10,0
15,227
20,248
25,247
30,248
35,248
40,248
45,248
50,248
55,248
60,248
65,248
70,248
75,248
80,248
85,248
90,248
95,248
100,248
105,248
110,248
115,248
120,248
125,248
130,248
135,248
140,248
145,249
150,248
155,248
160,248
165,248
170,248
175,248
180,248
185,247
190,249
195,248
200,248
205,248
210,248
215,248
220,248
225,248
230,248
235,248
240,248
245,248
250,248
255,248
260,248
265,248
270,248
275,248
280,248
285,249
290,248
295,248
300,248
305,248
310,249
315,248
320,249
325,495
330,498
335,496
340,496
345,498
350,498
355,496
360,495
365,496
370,498
375,497
380,497
385,498
390,496
395,498
400,497
405,497
410,498
415,496
420,498
425,497
430,497
435,498
440,496
445,498
450,498
455,496
460,498
465,496
470,498
475,497
480,497
485,497
490,497
495,498
500,497
505,497
510,498
515,496
520,498
525,497
530,497
535,497
540,497
545,498
550,497
555,497
560,498
565,496
570,498
575,497
580,497
585,498
590,496
595,498
600,497
605,497
610,498
615,497
620,357
625,248
630,248
635,248
640,248
645,248
650,248
655,249
660,248
665,248
670,248
675,248
680,248
685,248
690,248
695,248
700,248
705,249
710,248
715,248
720,248
725,248
730,248
735,248
740,248
745,248
750,248
755,248
760,248
765,248
770,248
775,248
780,248
785,248
790,249
795,248
800,248
805,248
810,248
815,248
820,248
825,248
830,248
835,248
840,248
845,248
850,249
855,248
860,248
865,248
870,248
875,248
880,248
885,248
890,248
895,248
900,248
905,248
