# time,value
10,0
15,151
20,165
25,328
30,324
35,248
40,248
45,248
50,248
55,248
60,248
65,248
70,248
75,248
80,248
85,248
90,248
95,248
100,248
105,248
110,248
115,248
120,248
125,248
130,248
135,248
140,248
145,248
150,248
155,248
160,248
165,248
170,248
175,248
180,248
185,248
190,248
195,248
200,248
205,248
210,248
215,248
220,248
225,248
230,248
235,249
240,248
245,248
250,248
255,248
260,248
265,248
270,248
275,248
280,248
285,248
290,248
295,248
300,248
305,249
310,248
315,249
320,248
325,329
330,331
335,330
340,330
345,726
350,726
355,726
360,726
365,726
370,726
375,726
380,726
385,726
390,726
395,726
400,726
405,726
410,726
415,726
420,726
425,726
430,726
435,726
440,726
445,726
450,726
455,726
460,726
465,726
470,726
475,726
480,726
485,726
490,726
495,726
500,726
505,726
510,726
515,726
520,726
525,726
530,726
535,726
540,726
545,726
550,726
555,726
560,726
565,726
570,726
575,726
580,726
585,726
590,726
595,726
600,726
605,726
610,726
615,726
620,726
625,726
630,726
635,726
640,248
645,248
650,248
655,248
660,248
665,248
670,248
675,248
680,248
685,248
690,249
695,248
700,248
705,248
710,248
715,248
720,248
725,248
730,248
735,248
740,248
745,249
750,248
755,248
760,248
765,248
770,248
775,248
780,248
785,248
790,248
795,248
800,248
805,248
810,248
815,249
820,248
825,248
830,248
835,248
840,248
845,248
850,248
855,248
860,249
865,248
870,248
875,248
880,248
885,248
890,248
895,248
900,248
905,248
