# time,value
10,0
15,151
20,166
25,396
30,396
35,396
40,396
45,396
50,396
55,396
60,396
65,396
70,396
75,396
80,396
85,396
90,396
95,396
100,396
105,396
110,396
115,396
120,396
125,396
130,396
135,396
140,396
145,396
150,396
155,396
160,396
165,396
170,396
175,396
180,396
185,396
190,396
195,396
200,396
205,396
210,396
215,396
220,396
225,396
230,396
235,396
240,396
245,396
250,396
255,396
260,396
265,396
270,396
275,396
280,396
285,396
290,396
295,396
300,396
305,396
310,396
315,396
320,396
325,396
330,396
335,594
340,594
345,594
350,594
355,594
360,594
365,594
370,594
375,594
380,594
385,594
390,594
395,594
400,594
405,594
410,594
415,594
420,594
425,594
430,594
435,594
440,594
445,594
450,594
455,594
460,594
465,594
470,594
475,594
480,594
485,594
490,594
495,594
500,594
505,594
510,594
515,594
520,594
525,594
530,594
535,594
540,594
545,594
550,594
555,594
560,594
565,594
570,594
575,594
580,594
585,594
590,594
595,594
600,594
605,594
610,594
615,594
620,594
625,594
630,594
635,396
640,396
645,396
650,396
655,396
660,396
665,396
670,396
675,396
680,396
685,396
690,396
695,396
700,396
705,396
710,396
715,396
720,396
725,396
730,396
735,396
740,396
745,396
750,396
755,396
760,396
765,396
770,396
775,396
780,396
785,396
790,396
795,396
800,396
805,396
810,396
815,396
820,396
825,396
830,396
835,396
840,396
845,396
850,396
855,396
860,396
865,396
870,396
875,396
880,396
885,396
890,396
895,396
900,396
905,396
