# time,count,1 min rate,mean rate,5 min rate,15 min rate
5,0,0.0,0.0,0.0,0.0
10,151,2.206774156230677,14.865983735023823,0.45618787452335724,0.1529081950648503
15,565,8.634661588406269,37.24816487298804,1.813905666507675,0.6096776152184243
20,1053,15.635999479286646,52.19550789425673,3.3739705852959703,1.1392625304910367
25,1633,23.660661891063185,64.85971577568165,5.235515113364773,1.77560847434177
30,2165,30.324107453967976,71.73629549835651,6.917534101132832,2.3585675969861732
35,2661,35.8311197604138,75.62931640613621,8.442829100197267,2.895083851922389
40,3157,40.88182455718008,78.55560728638733,9.939607481198335,3.427519694859394
45,3653,45.54468841246057,80.83381107199952,11.414952000845895,3.9581137926979073
50,4149,49.83473025868834,82.65944939952237,12.86591122047144,4.485768318586691
55,4646,53.78175929783627,84.17247602375713,14.292888193632454,5.010499558201146
60,5142,57.413201319684056,85.41644064038054,15.696279311997085,5.532323706991559
65,5638,60.75428926893534,86.46968251506146,17.076474415455497,6.051256870682957
70,6134,63.82823857542932,87.37261746968154,18.433856900411214,6.567315065772204
75,6630,66.65640846572279,88.15594751629872,19.768803826282618,7.08051422002234
80,7127,69.25845037691012,88.85422132542288,21.081686020244067,7.59087017295417
85,7623,71.65244450392943,89.4584948222022,22.372868180235844,8.098398676335153
90,8119,73.85502542914895,89.99567906957284,23.642708976271496,8.603115394665556
95,8616,75.88149770716626,90.48717038316582,24.89156115007068,9.105035905661941
100,9112,77.74594220795726,90.91990925530914,26.11977161304525,9.604175700737946
105,9608,79.46131395729635,91.31146851996193,27.327681542665772,10.100550185482424
110,10104,81.03953215428874,91.66715874530121,28.515626477235234,10.594174680134927
115,10600,82.49156299149793,91.9920469688305,29.68393640909629,11.085064420058549
120,11096,83.8274958531418,92.2898984551906,30.832935876297913,11.573234556210158
125,11593,85.056613420817,92.57216802383002,31.96294405274696,12.058700155608017
130,12090,86.20344729095348,92.8330434860403,33.077580546105295,12.542584232195837
135,12586,87.24259427060615,93.06676619778469,34.17048800947537,13.022679487052333
140,13083,88.19865564521452,93.29074276596803,35.24533130136844,13.500114941224794
145,13579,89.07827457296578,93.49278915470946,36.302408996276924,13.97490533041329
150,14076,89.90355417151969,93.68822656323495,37.345320442926656,14.448173339078886
155,14572,90.64685693960263,93.86478079443621,38.36768837033479,14.917711340643034
160,15068,91.3147373826817,94.02990162135428,39.36985233300779,15.38353999991202
165,15564,91.9452081710509,94.1847536885649,40.358757691581125,15.847895928004
170,16060,92.52526929847693,94.3306101351212,41.33131788226922,16.309679253674524
175,16556,93.05895129890882,94.46854552359852,42.28780306693427,16.76890422953203
180,17053,93.5499624425944,94.60398420184542,43.228478942055645,17.225585029223335
185,17549,94.00171450286307,94.72702714817497,44.15360681253619,17.67973574787111
190,18045,94.41734646271055,94.84348238206056,45.063443664288585,18.131370402508885
195,18541,94.79974632590967,94.953997798494,45.958242235621995,18.580502932513713
200,19038,95.15157118420103,95.064103978104,46.838251087448775,19.02714720003637
205,19534,95.47526567999975,95.16419602259731,47.70371467233075,19.471316990429212
210,20030,95.77307899290562,95.25914838858417,48.554873402384295,19.91302601267164
215,20526,96.04708046804693,95.34967305981317,49.39196371606301,20.35228789979324
220,21023,96.31516511192501,95.44054145128587,50.2185238530723,20.790224239693547
225,21519,96.52983265702467,95.52300422257596,51.02481073421646,21.22351828490859
230,22015,96.75931856704406,95.6019629590594,51.824382283883956,21.656627876052607
235,22512,96.95446467971941,95.68182784649053,52.60743236903418,22.08622994383213
240,23008,97.13400777072297,95.7540894682073,53.377539774692,22.513451950858745
245,23504,97.29919538878607,95.82347789384698,54.1349184245331,22.93830708303078
250,24001,97.45117533415096,95.89412425313306,54.87977870638578,23.360808453194675
255,24497,97.59100363401961,95.95811468613829,55.61232753067342,23.78096910154973
260,24993,97.71965188032087,96.01966917330097,56.332768387890894,24.19880199605053
265,25490,97.85400509785633,96.08263511099923,57.044607114366734,24.615428063206267
270,25986,97.96162490816317,96.13955491102436,57.74137447234478,25.02863792822582
275,26482,98.06063991353946,96.19438348380923,58.426625278870894,25.439558547787286
280,26979,98.15173811620039,96.25089080706937,59.10054988579757,25.848202604658457
285,27475,98.23555250874136,96.30189504074316,59.76333549873791,26.25458271134267
290,27972,98.32865658953837,96.35454388237223,60.41847193830407,26.659819440867086
295,28468,98.38233424490657,96.40200874986151,61.056168506504385,27.060595036517896
300,28964,98.46370230606676,96.44795500068226,61.689936296000745,27.461366335250915
305,29462,98.5385645362664,96.49884069628584,62.31322882532204,27.85991730007368
310,29959,98.60744111302829,96.5449465688252,62.92621923528981,28.25626023197353
315,30456,98.67081062277684,96.58959026708456,63.52907780495953,28.65040736378847
320,31110,100.91989642543534,97.12292195119518,64.5748541642091,29.19417102525055
325,31940,106.09143196857565,98.1808629257721,66.2446529523338,29.949880050788725
330,32849,111.98484367236253,99.44585874257483,68.1215577498134,30.780072491791813
335,33845,118.95818254973386,100.9325768987545,70.28809383553606,31.713144489191563
340,34839,125.30999956688035,102.36973465266028,72.405597392576,32.63661500430726
345,35835,131.21791780454998,103.7711660641182,74.50132453123322,33.5594014740023
350,36831,136.65346498120465,105.13256207976275,76.56241234710188,34.47707556639621
355,37827,141.6224275673917,106.45563345091111,78.58282195935688,35.38744954403824
360,38821,146.22607607546345,107.73640954084162,80.57644855650784,36.294995972269795
365,39817,150.4296549380832,108.9875961090847,82.53051198591398,37.19529839454829
370,40813,154.32911642623864,110.2049758500878,84.45888900616305,38.092829065363844
375,41807,157.91679418847818,111.38459169234537,86.3553927577836,38.98538727984281
380,42803,161.18563484096828,112.53840188288008,88.21393864109666,39.87078452535105
