18:48:38,CPU,%user,%nice,%system,%iowait,%steal,%idle,%real
18:48:39,all,0.13,0,0.19,0,0,99.69,0.31
18:48:40,all,0.13,0,0.22,0,0,99.66,0.34
18:48:41,all,0,0,0.13,0,0,99.87,0.13
18:48:42,all,0.06,0,0.31,0,0,99.62,0.38
18:48:43,all,0.06,0,0.22,0,0,99.72,0.28
18:48:44,all,0.03,0,0.16,0,0,99.81,0.19
18:48:45,all,0.03,0,0.22,0,0,99.75,0.25
18:48:46,all,0.13,0,0.16,0,0,99.72,0.28
18:48:47,all,0.09,0,0.06,0,0,99.84,0.16
18:48:48,all,0.13,0,0.22,0,0,99.66,0.34
18:48:49,all,0.06,0,0.06,0,0,99.87,0.13
18:48:50,all,2,0,0.53,0,0,97.46,2.54
18:48:51,all,8.39,0,0.66,0,0,90.95,9.05
18:48:52,all,6.38,0,0.38,0,0,93.25,6.75
18:48:53,all,6.04,0,1.07,0,0,92.89,7.11
18:48:54,all,3.17,0,0.85,0,0,95.98,4.02
18:48:55,all,3.96,0,0.69,0,0,95.35,4.65
18:48:56,all,4.8,0,0.82,0,0,94.38,5.62
18:48:57,all,7.7,0,0.69,0,0,91.61,8.39
18:48:58,all,30.19,0,0.85,0,0,68.96,31.04
18:48:59,all,14.73,0,1.89,0,0,83.38,16.62
18:49:00,all,6.92,0,0.85,0,0,92.23,7.77
18:49:01,all,3.4,0,0.69,0,0,95.91,4.09
18:49:02,all,1.19,0,0.6,0,0,98.21,1.79
18:49:03,all,0.69,0,0.22,0,0,99.09,0.91
18:49:04,all,0.75,0,0.5,0,0,98.75,1.25
18:49:05,all,0.5,0,0.34,0,0,99.15,0.85
18:49:06,all,0.63,0,0.31,0,0,99.06,0.94
18:49:07,all,0.47,0,0.44,0,0,99.09,0.91
18:49:08,all,0.28,0,0.31,0,0,99.4,0.6
18:49:09,all,0.81,0,0.16,0,0,99.03,0.97
18:49:10,all,1.35,0,0.94,0,0,97.71,2.29
18:49:11,all,1.35,0,0.38,0,0,98.27,1.73
18:49:12,all,0.94,0,0.13,0,0,98.93,1.07
18:49:13,all,0.53,0,0.38,0,0,99.09,0.91
18:49:14,all,0.34,0,0.28,0,0,99.37,0.63
18:49:15,all,0.41,0,0.31,0,0,99.28,0.72
18:49:16,all,0.34,0,0.41,0,0,99.25,0.75
18:49:17,all,0.41,0,0.13,0,0,99.47,0.53
18:49:18,all,0.16,0,0.19,0,0,99.66,0.34
18:49:19,all,0.5,0,0.13,0,0,99.37,0.63
18:49:20,all,0.44,0,0.19,0,0,99.37,0.63
18:49:21,all,0.25,0,0.09,0,0,99.65,0.35
18:49:22,all,0.22,0,0.19,0,0,99.59,0.41
18:49:23,all,0.22,0,0.34,0,0,99.44,0.56
18:49:24,all,0.31,0,0.13,0,0,99.56,0.44
18:49:25,all,0.19,0,0.22,0,0,99.59,0.41
18:49:26,all,0.25,0,0.19,0,0,99.56,0.44
18:49:27,all,0.31,0,0.16,0,0,99.53,0.47
18:49:28,all,0.25,0,0.16,0,0,99.59,0.41
18:49:29,all,0.25,0,0.19,0,0,99.56,0.44
18:49:30,all,0.38,0,0.22,0,0,99.4,0.6
18:49:31,all,0.19,0,0.25,0,0,99.56,0.44
18:49:32,all,0.28,0,0.28,0,0,99.44,0.56
18:49:33,all,0.28,0,0.31,0,0,99.4,0.6
18:49:34,all,0.56,0,0.22,0,0,99.22,0.78
18:49:35,all,0.13,0,0.09,0,0,99.78,0.22
18:49:36,all,0.16,0,0.25,0,0,99.59,0.41
18:49:37,all,0.19,0,0.16,0,0,99.65,0.35
18:49:38,all,0.16,0,0.16,0,0,99.69,0.31
18:49:39,all,0.28,0,0.28,0,0,99.44,0.56
18:49:40,all,0.19,0,0.19,0,0,99.62,0.38
18:49:41,all,0.16,0,0.25,0,0,99.59,0.41
18:49:42,all,0.19,0,0.28,0,0,99.53,0.47
18:49:43,all,0.16,0,0.16,0,0,99.69,0.31
18:49:44,all,0.22,0,0.38,0,0,99.41,0.59
18:49:45,all,0.25,0,0.16,0,0,99.59,0.41
18:49:46,all,0.16,0,0.19,0,0,99.66,0.34
18:49:47,all,0.19,0,0.19,0,0,99.62,0.38
18:49:48,all,0.22,0,0.19,0,0,99.59,0.41
18:49:49,all,0.28,0,0.28,0,0,99.44,0.56
18:49:50,all,0.31,0,0.22,0,0,99.47,0.53
18:49:51,all,0.25,0,0.22,0,0,99.53,0.47
18:49:52,all,0.22,0,0.13,0,0,99.65,0.35
18:49:53,all,0.25,0,0.19,0,0,99.56,0.44
18:49:54,all,0.34,0,0.19,0,0,99.47,0.53
18:49:55,all,0.56,0,0.28,0,0,99.15,0.85
18:49:56,all,0.22,0,0.22,0,0,99.56,0.44
