# time,value
5,0
10,514
15,1057
20,1948
25,2747
30,3571
35,4335
40,5186
45,5969
50,6718
55,7513
60,8337
65,9153
70,9929
75,10729
80,11588
85,12378
90,13174
95,13992
100,14817
105,15667
110,16472
115,17264
120,18057
125,18890
130,19721
135,20573
140,21396
145,22157
150,22992
155,23830
160,24664
165,25528
170,26337
175,27116
180,27949
185,28793
190,29620
195,30466
200,31240
205,32064
210,32898
215,33739
220,34572
225,35370
230,36202
235,37037
240,37866
245,38686
250,39517
255,40368
260,41193
265,42001
270,42839
275,43687
280,44509
285,45309
290,46141
295,46979
300,47815
305,48638
310,49469
315,50301
320,51132
325,51922
330,52746
335,53572
340,54396
345,55208
350,56037
355,56869
360,57712
365,58523
370,59354
375,60175
380,61009
385,61845
390,62679
395,63509
400,64339
405,65173
410,65988
415,66819
420,67649
425,68484
430,69317
435,70146
440,70956
445,71790
450,72636
455,73489
460,74319
465,75149
470,75979
475,76809
480,77641
485,78484
490,79317
495,80147
500,80985
505,81833
510,82842
515,83844
520,84843
525,85840
530,86837
535,87838
540,88841
545,89840
550,90848
555,91854
560,92858
565,93865
570,94866
575,95871
580,97000
585,98169
590,99332
595,100494
600,101656
605,102818
610,103981
615,105146
620,106320
625,107482
630,108644
635,109814
640,110991
645,112170
650,113345
655,114507
660,115669
665,116837
670,118003
675,119183
680,120348
685,121518
690,122684
695,124003
700,125336
705,126664
710,127992
715,129320
720,130657
725,131985
730,133315
735,134645
740,135973
745,137315
750,138649
755,139979
760,141312
765,142642
770,143970
775,145299
780,146632
785,147964
790,149294
795,150623
800,151968
805,153298
810,154633
815,155963
820,157293
825,158621
830,159957
835,161288
840,162617
845,163947
850,165280
855,166615
860,167953
865,169283
870,170622
875,171952
880,173286
885,174614
890,175942
895,177274
