# time,value
5,0
10,74
15,240
20,405
25,571
30,737
35,903
40,1068
45,1234
50,1400
55,1566
60,1732
65,1898
70,2064
75,2229
80,2395
85,2561
90,2727
95,2893
100,3059
105,3225
110,3391
115,3557
120,3723
125,3889
130,4055
135,4221
140,4387
145,4553
150,4719
155,4885
160,5051
165,5217
170,5383
175,5549
180,5714
185,5880
190,6046
195,6212
200,6378
205,6544
210,6710
215,6876
220,7042
225,7208
230,7374
235,7540
240,7706
245,7872
250,8038
255,8204
260,8370
265,8536
270,8702
275,8868
280,9034
285,9200
290,9366
295,9532
300,9698
305,9864
310,10030
315,10196
320,10362
325,10528
330,10694
335,10860
340,11026
345,11192
350,11358
355,11524
360,11690
365,11856
370,12022
375,12186
380,12352
385,12518
390,12684
395,12850
400,13016
405,13182
410,13348
415,13514
420,13680
425,13846
430,14012
435,14178
440,14344
445,14510
450,14676
455,14842
460,15008
465,15174
470,15340
475,15506
480,15672
485,15838
490,16004
495,16170
500,16336
505,16502
510,16668
515,16834
520,17000
525,17166
530,17332
535,17498
540,17664
545,17830
550,17996
555,18162
560,18328
565,18494
570,18660
575,18826
580,18992
585,19158
590,19324
595,19490
600,19656
605,19822
610,19988
615,20154
620,20320
625,20486
630,20652
635,20818
640,20984
645,21150
650,21316
655,21482
660,21648
665,21814
670,21980
675,22146
680,22312
685,22478
690,22644
695,22810
700,22976
705,23142
710,23308
715,23475
720,23641
725,23807
730,23973
735,24139
740,24305
745,24471
750,24637
755,24803
760,24969
765,25135
770,25301
775,25467
780,25633
785,25799
790,25965
795,26131
800,26297
805,26463
810,26629
815,26795
820,26961
825,27127
830,27293
835,27459
840,27625
845,27791
850,27957
855,28123
860,28289
865,28455
870,28621
875,28785
880,28951
885,29117
890,29283
895,29449
