# time,value
5,0
10,123
15,248
20,248
25,249
30,248
35,248
40,249
45,248
50,248
55,249
60,248
65,249
70,248
75,248
80,249
85,248
90,249
95,248
100,248
105,249
110,248
115,249
120,248
125,249
130,248
135,249
140,248
145,249
150,248
155,249
160,249
165,248
170,249
175,248
180,249
185,248
190,249
195,248
200,249
205,249
210,248
215,249
220,248
225,249
230,248
235,249
240,249
245,248
250,249
255,248
260,249
265,248
270,249
275,249
280,248
285,249
290,248
295,249
300,248
305,249
310,371
315,495
320,494
325,494
330,494
335,495
340,494
345,494
350,495
355,494
360,494
365,495
370,494
375,494
380,494
385,495
390,494
395,494
400,495
405,494
410,494
415,494
420,495
425,494
430,494
435,495
440,494
445,494
450,495
455,494
460,494
465,495
470,494
475,494
480,495
485,494
490,494
495,494
500,495
505,494
510,494
515,494
520,495
525,494
530,494
535,494
540,495
545,494
550,494
555,494
560,495
565,494
570,494
575,495
580,495
585,494
590,494
595,495
600,494
605,494
610,371
615,249
620,248
625,249
630,248
635,249
640,249
645,248
650,249
655,248
660,249
665,248
670,249
675,249
680,248
685,249
690,248
695,249
700,249
705,248
710,249
715,248
720,249
725,248
730,249
735,248
740,249
745,249
750,248
755,249
760,248
765,249
770,248
775,249
780,248
785,249
790,249
795,248
800,249
805,248
810,249
815,248
820,249
825,249
830,248
835,249
840,248
845,249
850,248
855,249
860,248
865,249
870,248
875,249
880,249
885,248
890,249
895,248
