# time,value
5,157
10,323
15,489
20,654
25,820
30,986
35,1152
40,1318
45,1484
50,1650
55,1816
60,1982
65,2148
70,2314
75,2479
80,2645
85,2811
90,2977
95,3143
100,3309
105,3475
110,3641
115,3807
120,3973
125,4139
130,4305
135,4471
140,4637
145,4803
150,4969
155,5135
160,5301
165,5467
170,5633
175,5799
180,5965
185,6131
190,6297
195,6463
200,6629
205,6795
210,6961
215,7127
220,7293
225,7459
230,7625
235,7791
240,7957
245,8123
250,8289
255,8454
260,8620
265,8786
270,8952
275,9118
280,9284
285,9450
290,9616
295,9782
300,9948
305,10114
310,10280
315,10446
320,10612
325,10778
330,10944
335,11110
340,11276
345,11442
350,11608
355,11774
360,11940
365,12106
370,12272
375,12438
380,12604
385,12770
390,12936
395,13102
400,13268
405,13434
410,13600
415,13766
420,13932
425,14098
430,14264
435,14430
440,14596
445,14762
450,14928
455,15094
460,15260
465,15426
470,15593
475,15759
480,15925
485,16091
490,16257
495,16423
500,16589
505,16755
510,16921
515,17087
520,17253
525,17419
530,17585
535,17751
540,17917
545,18083
550,18249
555,18415
560,18581
565,18747
570,18913
575,19079
580,19245
585,19411
590,19577
595,19743
600,19909
605,20075
610,20241
615,20407
620,20573
625,20739
630,20905
635,21071
640,21237
645,21403
650,21569
655,21732
660,21898
665,22064
670,22230
675,22396
680,22562
685,22728
690,22894
695,23060
700,23226
705,23392
710,23558
715,23724
720,23890
725,24056
730,24222
735,24388
740,24554
745,24720
750,24886
755,25052
760,25218
765,25384
770,25550
775,25716
780,25882
785,26048
790,26214
795,26381
800,26547
805,26713
810,26879
815,27045
820,27211
825,27377
830,27543
835,27709
840,27875
845,28041
850,28207
855,28373
860,28539
865,28705
870,28871
875,29037
880,29203
885,29369
890,29535
895,29701
