# time,value
5,79
10,161
15,243
20,326
25,408
30,490
35,572
40,655
45,737
50,820
55,902
60,984
65,1067
70,1149
75,1233
80,1315
85,1398
90,1480
95,1562
100,1645
105,1727
110,1810
115,1892
120,1975
125,2057
130,2140
135,2222
140,2305
145,2387
150,2470
155,2553
160,2635
165,2718
170,2800
175,2883
180,2965
185,3048
190,3130
195,3213
200,3295
205,3378
210,3461
215,3543
220,3626
225,3708
230,3791
235,3873
240,3956
245,4039
250,4121
255,4202
260,4285
265,4367
270,4450
275,4532
280,4615
285,4698
290,4780
295,4863
300,4945
305,5028
310,5110
315,5193
320,5275
325,5358
330,5440
335,5523
340,5605
345,5688
350,5770
355,5853
360,5935
365,6018
370,6100
375,6183
380,6266
385,6348
390,6431
395,6513
400,6596
405,6678
410,6761
415,6843
420,6926
425,7009
430,7091
435,7174
440,7256
445,7339
450,7421
455,7504
460,7587
465,7669
470,7751
475,7833
480,7916
485,7999
490,8081
495,8164
500,8246
505,8329
510,8411
515,8494
520,8577
525,8659
530,8742
535,8824
540,8907
545,8989
550,9072
555,9155
560,9237
565,9320
570,9403
575,9485
580,9568
585,9650
590,9733
595,9815
600,9898
605,9981
610,10063
615,10146
620,10229
625,10311
630,10394
635,10476
640,10559
645,10641
650,10724
655,10805
660,10887
665,10970
670,11053
675,11135
680,11218
685,11301
690,11383
695,11466
700,11548
705,11631
710,11714
715,11796
720,11879
725,11962
730,12044
735,12127
740,12209
745,12292
750,12375
755,12457
760,12540
765,12622
770,12705
775,12787
780,12870
785,12953
790,13035
795,13117
800,13199
805,13282
810,13364
815,13447
820,13530
825,13612
830,13695
835,13777
840,13860
845,13943
850,14025
855,14108
860,14190
865,14273
870,14356
875,14438
880,14521
885,14603
890,14686
895,14769
