# time,value
10,0
15,227
20,475
25,1317
30,2061
35,2805
40,3552
45,4296
50,5040
55,5787
60,6531
65,7278
70,8022
75,8769
80,9516
85,10260
90,11007
95,11751
100,12498
105,13989
110,14733
115,15480
120,16224
125,16971
130,17715
135,18462
140,19209
145,19953
150,20700
155,21444
160,22191
165,22935
170,23682
175,24429
180,25173
185,25920
190,26667
195,27407
200,28154
205,28901
210,29645
215,30392
220,31136
225,31883
230,32630
235,33374
240,34121
245,34867
250,35612
255,36359
260,37103
265,37850
270,38596
275,39341
280,40088
285,40834
290,41579
295,42325
300,43070
305,43816
310,44563
315,45308
320,46054
325,46799
330,47545
335,48292
340,49036
345,49783
350,50527
355,51274
360,52021
365,52765
370,53512
375,54259
380,55003
385,55750
390,56497
395,57241
400,57988
405,58732
410,59479
415,60226
420,60970
425,61717
430,62464
435,63208
440,63955
445,64702
450,65446
455,66193
460,66940
465,67684
470,68431
475,69178
480,69922
485,70666
490,71413
495,72160
500,72904
505,73651
510,74398
515,75142
520,75889
525,76636
530,77380
535,78127
540,78873
545,79618
550,80365
555,81111
560,81856
565,82603
570,83347
575,84094
580,84841
585,85585
590,86332
595,87078
600,87823
605,88570
610,89316
615,90061
620,90808
625,91554
630,92299
635,93046
640,93792
645,94537
650,95284
655,96030
660,96775
665,97521
670,98268
675,99013
680,99759
685,100506
690,101251
695,101997
700,102744
705,103489
710,104235
715,104982
720,105727
725,106473
730,107220
735,107964
740,108711
745,109458
750,110202
755,110949
760,111696
765,112440
770,113187
775,113934
780,114678
785,115425
790,116169
795,116916
800,117663
805,118407
810,119154
815,119901
820,120645
825,121392
830,122136
835,122880
840,123626
845,124371
850,125115
855,125859
860,126605
865,127350
870,128094
875,128838
880,129584
885,130329
890,131073
895,131817
900,132563
