"# time","value"
"10","0.0"
"15","45.4"
"20","49.6"
"25","91.0"
"30","92.4"
"35","99.2"
"40","94.0"
"45","96.2"
"50","99.2"
"55","99.4"
"60","99.2"
"65","99.6"
"70","99.2"
"75","99.6"
"80","99.6"
"85","99.2"
"90","99.6"
"95","99.0"
"100","99.6"
"105","99.2"
"110","99.2"
"115","99.6"
"120","99.2"
"125","99.4"
"130","98.8"
"135","99.6"
"140","99.4"
"145","99.2"
"150","97.8"
"155","99.2"
"160","98.4"
"165","98.4"
"170","99.2"
"175","99.6"
"180","99.2"
"185","99.6"
"190","99.6"
"195","97.8"
"200","99.4"
"205","99.6"
"210","94.2"
"215","99.6"
"220","99.2"
"225","99.6"
"230","99.6"
"235","99.2"
"240","99.6"
"245","99.4"
"250","99.4"
"255","99.6"
"260","99.4"
"265","99.4"
"270","99.4"
"275","99.4"
"280","99.6"
"285","99.4"
"290","99.4"
"295","99.4"
"300","99.4"
"305","99.4"
"310","99.6"
"315","99.4"
"320","99.4"
"325","99.4"
"330","99.4"
"335","99.6"
"340","99.2"
"345","99.6"
"350","99.2"
"355","99.6"
"360","99.6"
"365","99.2"
"370","99.4"
"375","99.6"
"380","99.2"
"385","99.6"
"390","99.6"
"395","99.2"
"400","99.6"
"405","99.6"
"410","99.2"
"415","99.6"
"420","99.2"
"425","99.6"
"430","99.6"
"435","99.2"
"440","99.0"
"445","99.6"
"450","99.2"
"455","99.6"
"460","99.6"
"465","99.2"
"470","99.4"
"475","99.6"
"480","99.2"
"485","99.2"
"490","99.6"
"495","99.6"
"500","99.2"
"505","99.6"
"510","99.6"
"515","99.2"
"520","99.6"
"525","99.6"
"530","99.2"
"535","99.6"
"540","99.4"
"545","99.4"
"550","99.6"
"555","99.4"
"560","99.4"
"565","99.6"
"570","99.4"
"575","99.4"
"580","99.6"
"585","99.2"
"590","99.6"
"595","99.4"
"600","99.4"
"605","99.6"
"610","99.4"
"615","99.4"
"620","99.6"
"625","99.4"
"630","99.4"
"635","99.6"
"640","99.4"
"645","99.4"
"650","99.6"
"655","99.4"
"660","99.4"
"665","99.4"
"670","99.6"
"675","99.4"
"680","99.4"
"685","99.6"
"690","99.4"
"695","99.4"
"700","99.6"
"705","99.4"
"710","99.4"
"715","99.6"
"720","99.4"
"725","99.4"
"730","99.6"
"735","99.4"
"740","99.4"
"745","99.6"
"750","99.2"
"755","99.6"
"760","99.6"
"765","99.2"
"770","99.6"
"775","99.6"
"780","99.2"
"785","99.6"
"790","99.0"
"795","99.2"
"800","99.6"
"805","99.2"
"810","99.6"
"815","99.6"
"820","99.2"
"825","99.6"
"830","99.2"
"835","99.2"
"840","99.4"
"845","99.4"
"850","99.2"
"855","99.2"
"860","99.4"
"865","99.4"
"870","99.2"
"875","99.2"
"880","99.4"
"885","99.4"
"890","99.2"
"895","99.2"
"900","99.4"
