# time,count,1 min rate,mean rate,5 min rate,15 min rate
5,158,31.400000000000002,31.43821424633153,31.400000000000002,31.400000000000002
10,324,31.54392005366722,32.29476899693026,31.42975138312109,31.40997227359119
15,490,31.66034177812276,32.585729618827706,31.455705309896715,31.418781268871925
20,656,31.78344605252373,32.730658040546174,31.48453596523079,31.428649491378902
25,821,31.89670745260334,32.77848511914329,31.512890091746826,31.438463042433266
30,988,32.00091297113968,32.877039715232534,31.540775565773394,31.448222224923175
35,1154,32.09678667644259,32.919913608535445,31.568200133454813,31.457927340058742
40,1320,32.184994743516356,32.95192206899728,31.595171412902882,31.46757868738133
45,1486,32.26615008295281,32.97686904189367,31.621696896313104,31.477176564772797
50,1652,32.32482548264455,32.9970083080854,31.6444782428102,31.485613238065664
55,1818,32.394800573481206,33.01424358740293,31.67018875600539,31.49511120130517
60,1984,32.45918076496865,33.02809173042021,31.695474311795962,31.504556544384695
65,2150,32.51841340055944,33.04039150396629,31.720341934110007,31.51394955882791
70,2316,32.572910056098515,33.050266087316245,31.744798530780287,31.523290534543413
75,2482,32.62304939964323,33.059145076958856,31.76885089546313,31.532579759833666
80,2648,32.66917982262471,33.066762576142196,31.79250570952562,31.5418175214039
85,2814,32.71162186063332,33.07354738767154,31.815769543901535,31.55100410437094
90,2980,32.750670420648625,33.0797138451116,31.83864886091668,31.56013979227203
95,3146,32.78659683019003,33.0851398723533,31.861150016084014,31.56922486707356
100,3312,32.81965072262627,33.089890338391676,31.883279259869102,31.57825960917981
105,3478,32.850061771744,33.09419649229339,31.905042739426392,31.58724429744155
110,3644,32.87804128762779,33.09813619756519,31.926446500306813,31.596179209164696
115,3810,32.90378368494069,33.101848165848274,31.947496488137133,31.605064620118828
120,3976,32.927467833807604,33.105278838882036,31.96819855027155,31.613900804545736
125,4142,32.94925830268786,33.10840439338358,31.988558437415982,31.622688035167865
130,4308,32.96930650187329,33.11128858170481,32.00858180522556,31.631426583196735
135,4474,32.98775173555722,33.11398446419518,32.028274215875655,31.6401167183413
140,4640,33.00472216978465,33.11644838496607,32.04764113960696,31.64875870881631
145,4806,33.02033572300944,33.11880006552575,32.066687956245026,31.657352821350546
150,4972,33.03470088544641,33.121038193554874,32.08541995669475,31.665899321195084
155,5139,33.047917472911806,33.12951422067349,32.103842344410026,31.67439847213145
160,5305,33.060077320389794,33.1312449060572,32.121960236839236,31.682850536479805
165,5471,33.071264920144664,33.13287927021913,32.139778666846766,31.691255775106992
170,5637,33.081558008812245,33.13447932086334,32.1573025841111,31.699614447434634
175,5803,33.09102810755012,33.1359209442337,32.1745368564997,31.707926811447106
180,5969,33.09974101899991,33.13720663625031,32.191486271421276,31.71619312369951
185,6135,33.107757284514435,33.13854346421563,32.208155537155626,31.724413639325594
190,6301,33.11513260482726,33.13974012958625,32.22454928416152,31.73258861204563
195,6467,33.12191822708718,33.14093656032066,32.24067206636299,31.74071829417424
200,6633,33.128161300947205,33.14208397712379,32.25652836241433,31.748802936628188
205,6799,33.13390520618224,33.14317887186517,32.272122576944156,31.75684278893411
210,6965,33.13918985411189,33.14422136965185,32.287459041779016,31.764838099236243
215,7131,33.14405196492286,33.14514523996806,32.302542017146635,31.772789114304057
220,7297,33.14852532281779,33.14604168189288,32.317375692859386,31.780696079539876
225,7464,33.15264101076366,33.15136575791581,32.33196418947812,31.788559238986473
230,7630,33.15642762647062,33.15214492221628,32.34631155945682,31.796378835334572
235,7796,33.15991148110214,33.15289083351228,32.3604217882683,31.804155109930363
240,7962,33.16311678209726,33.15361196505663,32.374298795511265,31.811888302782936
245,8128,33.166065801375034,33.154307183736144,32.387946435999204,31.8195786525717
250,8294,33.16877903009017,33.15496231106911,32.40136850083111,31.82722639665374
255,8459,33.155284203941015,33.15165650129352,32.41126300920896,31.833723740672124
260,8625,33.15885948159023,33.15227531652006,32.42429968498385,31.8412931188161
265,8791,33.162148895822135,33.15291612269268,32.43712088346118,31.848820561454655
270,8957,33.165175303013605,33.15354276579197,32.44973016616742,31.856306300916856
275,9123,33.167959732046505,33.1541636317747,32.46213103576217,31.86375056824464
280,9290,33.17052153042616,33.15831859378827,32.47432693701117,31.87115359319993
285,9456,33.17287849871676,33.15881514389371,32.48632125774319,31.878515604271747
290,9622,33.175047014228,33.15929838249223,32.498117329791114,31.885836828683242
295,9788,33.17704214481215,33.159736343819965,32.50971842991746,31.8931174923987
300,9954,33.17887775356255,33.160185501110945,32.521127780724655,31.90035782013056
305,10120,33.180566595140796,33.160633943832764,32.53234855155017,31.907558035346284
310,10286,33.18212040440206,33.16105465455969,32.54338385934694,31.914718360275312
315,10452,33.183549977934284,33.16147921038424,32.55423676954919,31.921839015915907
320,10618,33.18486524907791,33.161869902595846,32.564910296924,31.92892022204194
325,10784,33.18607535694733,33.162214677520375,32.5754074064087,31.93596219720973
330,10950,33.18718870993368,33.16259964043103,32.585731013934556,31.942965158764743
335,11116,33.188213044130286,33.16297983424496,32.59588398723669,31.949929322848327
340,11282,33.18915547708659,33.16334040972674,32.60586914665075,31.956854904404366
345,11448,33.19002255726419,33.16367608100093,32.61568926589633,31.963742117185934
350,11614,33.19082030953864,33.16400127900115,32.62534707284748,31.970591173761868
355,11781,33.191554277063,33.1671492338429,32.63484525029047,31.97740228552335
360,11947,33.19222955978431,33.167427667210575,32.644186436668974,31.98417566269042
365,12113,33.192850849880344,33.167682180870216,32.65337322681707,31.99091151431846
370,12279,33.19342246436306,33.16795333515957,32.66240817267996,31.99761004830466
375,12445,33.19394837507521,33.16822374800792,32.67129378402294,32.00427147139444
380,12611,33.19443223628851,33.168461289637634,32.68003252912852,32.010895989187794
385,12777,33.19487741009527,33.168707019433,32.688626835482076,32.017483806145684
390,12943,33.19528698976972,33.16893214789153,32.697079090446195,32.024035125596306
395,13109,33.19566382126153,33.1691700947144,32.705391641923825,32.03055014974141
400,13275,33.196010522970845,33.169401168659974,32.7135667990105,32.037029079662496
405,13441,33.19632950394204,33.16961761839189,32.72160683263575,32.04347211532705
410,13607,33.19662298060295,33.16983923895315,32.72951397619396,32.049879455594706
415,13774,33.19689299216565,33.17246851433911,32.73729042616471,32.0562512982234
420,13940,33.197141414795794,33.17264696231486,32.74493834272303,32.06258783987544
425,14106,33.197369974649135,33.172801952294385,32.75245985033934,32.06888927612361
430,14272,33.1975802598656,33.17286545987598,32.759857038369695,32.07515580145718
435,14438,33.19777373160449,33.17302096394681,32.76713196163609,32.081387609287916
440,14604,33.19795173419725,33.17319135386853,32.77428664099734,32.08758489195606
