# time,value
5,253
10,499
15,744
20,990
25,1235
30,1481
35,1727
40,1971
45,2217
50,2462
55,2707
60,2953
65,3199
70,3445
75,3690
80,3936
85,4181
90,4428
95,4674
100,4919
105,5165
110,5410
115,5657
120,5902
125,6148
130,6394
135,6640
140,6885
145,7132
150,7377
155,7622
160,7868
165,8114
170,8360
175,8606
180,8852
185,9097
190,9344
195,9589
200,9835
205,10081
210,10326
215,10572
220,10818
225,11064
230,11309
235,11556
240,11801
245,12046
250,12293
255,12541
260,12786
265,13032
270,13278
275,13524
280,13769
285,14014
290,14261
295,14506
300,14752
305,14998
310,15244
315,15490
320,15736
325,15981
330,16227
335,16473
340,16719
345,16964
350,17211
355,17456
360,17703
365,17948
370,18194
375,18440
380,18685
385,18931
390,19177
395,19423
400,19668
405,19915
410,20160
415,20406
420,20651
425,20897
430,21143
435,21388
440,21635
445,21880
450,22126
455,22372
460,22618
465,22863
470,23109
475,23356
480,23601
485,23846
490,24093
495,24338
500,24584
505,24830
510,25076
515,25321
520,25567
525,25813
530,26058
535,26305
540,26549
545,26796
550,27041
555,27286
560,27533
565,27778
570,28023
575,28270
580,28515
585,28762
590,29007
595,29254
600,29499
605,29745
610,29991
615,30236
620,30483
625,30728
630,30974
635,31221
640,31467
645,31714
650,31960
655,32210
660,32457
665,32703
670,32948
675,33195
680,33441
685,33687
690,33934
695,34180
700,34426
705,34672
710,34918
715,35165
720,35410
725,35657
730,35903
735,36149
740,36395
745,36641
750,36887
755,37134
760,37379
765,37626
770,37872
775,38119
780,38365
785,38611
790,38858
795,39103
800,39350
805,39596
810,39843
815,40088
820,40334
825,40581
830,40827
835,41073
840,41319
845,41565
850,41812
855,42057
860,42304
865,42550
870,42796
875,43042
880,43288
885,43535
890,43780
895,44026
