"time","total"
"5","3"
"10","3"
"15","3"
"20","3"
"25","3"
"30","3"
"35","3"
"40","3"
"45","3"
"50","3"
"55","3"
"60","3"
"65","3"
"70","3"
"75","3"
"80","3"
"85","3"
"90","3"
"95","3"
"100","3"
"105","3"
"110","3"
"115","3"
"120","3"
"125","3"
"130","3"
"135","3"
"140","3"
"145","3"
"150","3"
"155","3"
"160","3"
"165","3"
"170","3"
"175","3"
"180","3"
"185","3"
"190","3"
"195","3"
"200","3"
"205","3"
"210","3"
"215","3"
"220","3"
"225","3"
"230","3"
"235","3"
"240","3"
"245","3"
"250","3"
"255","3"
"260","3"
"265","3"
"270","3"
"275","3"
"280","3"
"285","3"
"290","3"
"295","3"
"300","3"
"305","3"
"310","3"
"315","3"
"320","3"
"325","3"
"330","3"
"335","3"
"340","3"
"345","3"
"350","3"
"355","3"
"360","3"
"365","3"
"370","3"
"375","3"
"380","3"
"385","3"
"390","3"
"395","3"
"400","3"
"405","3"
"410","3"
"415","3"
"420","3"
"425","3"
"430","3"
"435","3"
"440","3"
"445","3"
"450","3"
"455","3"
"460","3"
"465","3"
"470","3"
"475","3"
"480","3"
"485","3"
"490","3"
"495","3"
"500","3"
"505","3"
"510","3"
"515","3"
"520","3"
"525","3"
"530","3"
"535","3"
"540","3"
"545","3"
"550","3"
"555","3"
"560","3"
"565","3"
"570","3"
"575","3"
"580","3"
"585","3"
"590","3"
"595","3"
"600","3"
"605","3"
"610","3"
"615","3"
"620","3"
"625","3"
"630","3"
"635","3"
"640","3"
"645","3"
"650","3"
"655","3"
"660","3"
"665","3"
"670","3"
"675","3"
"680","3"
"685","3"
"690","3"
"695","3"
"700","3"
"705","3"
"710","3"
"715","3"
"720","3"
"725","3"
"730","3"
"735","3"
"740","3"
"745","3"
"750","3"
"755","3"
"760","3"
"765","3"
"770","3"
"775","3"
"780","3"
"785","3"
"790","3"
"795","3"
"800","3"
"805","3"
"810","3"
"815","3"
"820","3"
"825","3"
"830","3"
"835","3"
"840","3"
"845","3"
"850","3"
"855","3"
"860","3"
"865","3"
"870","3"
"875","3"
"880","3"
"885","3"
"890","3"
"895","3"
