# time,value
5,2
10,1
15,1
20,1
25,1
30,1
35,1
40,1
45,2
50,0
55,1
60,0
65,0
70,1
75,0
80,0
85,0
90,0
95,1
100,2
105,1
110,0
115,1
120,0
125,0
130,1
135,1
140,1
145,1
150,1
155,1
160,1
165,1
170,0
175,1
180,1
185,0
190,1
195,1
200,0
205,0
210,0
215,1
220,0
225,1
230,0
235,1
240,0
245,0
250,0
255,1
260,1
265,0
270,1
275,0
280,0
285,1
290,0
295,1
300,1
305,0
310,0
315,0
320,1
325,1
330,0
335,0
340,0
345,0
350,0
355,0
360,0
365,1
370,1
375,0
380,0
385,1
390,0
395,0
400,0
405,0
410,0
415,0
420,0
425,0
430,1
435,1
440,0
445,1
450,0
455,0
460,0
465,0
470,0
475,0
480,0
485,0
490,0
495,0
500,0
505,0
510,0
515,0
520,1
525,0
530,0
535,0
540,0
545,0
550,0
555,0
560,0
565,0
570,0
575,0
580,0
585,1
590,1
595,0
600,0
605,0
610,0
615,0
620,0
625,0
630,0
635,0
640,0
645,0
650,0
655,0
660,0
665,0
670,0
675,0
680,0
685,0
690,0
695,0
700,0
705,0
710,0
715,0
720,0
725,0
730,0
735,0
740,0
745,0
750,0
755,0
760,0
765,0
770,0
775,0
780,0
785,0
790,0
795,0
800,0
805,0
810,0
815,1
820,0
825,0
830,0
835,0
840,0
845,0
850,0
855,0
860,0
865,0
870,0
875,0
880,0
885,0
890,0
895,0
