total kB         7182372   80696   66816
total kB         7182372   80696   66816
total kB         7182372   80696   66816
total kB         7182372   80696   66816
total kB         7248976   81744   67804
total kB         9651860  136732  122576
total kB         9651860  136732  122576
total kB         9651860  136768  122612
total kB         9651860  136772  122616
total kB         9651860  136060  121904
total kB         9651860  136216  122060
total kB         9651860  136216  122060
total kB         9853600  139920  125764
total kB         9853600  139920  125764
total kB         9853600  139424  125268
total kB         9853600  139492  125336
total kB         9853600  139492  125336
total kB         9853600  139492  125336
total kB         9853600  139492  125336
total kB         9853600  139492  125336
total kB         9853600  139616  125460
total kB         9853600  139616  125460
total kB         9853600  139616  125460
total kB         9853600  139616  125460
total kB         9959456  156388  142188
total kB         11731732  397320  368612
total kB         21940984 1196752 1139584
total kB         16651380 1902756 1875180
total kB         16674216 1928004 1900156
total kB         16955480 2131464 2100184
total kB         17307988 2233372 2201656
total kB         17519860 2279384 2245624
total kB         17764512 2317672 2283784
total kB         17740716 2330792 2299372
total kB         17297728 2289124 2272180
total kB         17297728 2291200 2274256
total kB         17297728 2294416 2277472
total kB         17297732 2299680 2282736
total kB         17297728 2304792 2287848
total kB         17297728 2310332 2293380
total kB         17297728 2314468 2297516
total kB         17297728 2319328 2302376
total kB         17297728 2325624 2308668
total kB         17297728 2344820 2327864
total kB         17297728 2354128 2337172
total kB         17297728 2360128 2343172
total kB         17297728 2372208 2355252
total kB         17297728 2376796 2359836
total kB         8193780 1756840 1756836
total kB         20703592 1033832  999908
total kB         16940564 1933492 1903668
total kB         17025728 1949604 1919708
total kB         17103856 1980716 1950804
total kB         17469644 2198684 2166828
total kB         17635016 2229296 2197416
total kB         17803756 2263016 2231132
total kB         17976316 2302544 2270532
total kB         17848304 2314620 2282884
total kB         17295352 2293072 2276124
total kB         17297252 2291536 2274592
total kB         17297252 2286380 2269436
total kB         17297252 2288580 2271636
total kB         17297252 2299168 2282224
total kB         17297252 2301872 2284928
total kB         17297252 2306500 2289556
total kB         17297252 2309032 2292088
total kB         5579352 1527840 1527836
