Linux 3.13.0-55-generic (hp13-HP-EliteDesk-800-G1-SFF) 	25/06/15 	_x86_64_	(8 CPU)

13:31:05        CPU     %user     %nice   %system   %iowait    %steal     %idle
13:31:06        all      2,24      0,00      0,62      0,25      0,00     96,89
13:31:07        all      0,25      0,00      0,13      0,00      0,00     99,62
13:31:08        all      0,75      0,00      0,25      0,00      0,00     99,00
13:31:09        all      0,38      0,00      0,25      0,00      0,00     99,37
13:31:10        all      1,50      0,00      0,38      0,00      0,00     98,12
13:31:11        all      0,38      0,00      0,38      0,25      0,00     99,00
13:31:12        all      0,50      0,00      0,25      0,00      0,00     99,25
13:31:13        all      0,75      0,00      0,38      0,25      0,00     98,62
13:31:14        all      0,63      0,00      0,50      0,00      0,00     98,87
13:31:15        all      0,63      0,00      0,00      0,13      0,00     99,25
13:31:16        all      0,38      0,00      0,38      0,00      0,00     99,25
13:31:17        all      0,63      0,00      0,25      0,25      0,00     98,87
13:31:18        all      0,88      0,00      0,13      0,50      0,00     98,49
13:31:19        all      1,13      0,00      0,38      0,00      0,00     98,49
13:31:20        all      1,50      0,00      0,38      1,00      0,00     97,12
13:31:21        all      1,00      0,00      0,13      0,00      0,00     98,87
13:31:22        all      0,50      0,00      0,38      0,00      0,00     99,12
13:31:23        all      1,13      0,00      0,75      0,38      0,00     97,75
13:31:24        all      0,50      0,00      0,25      0,13      0,00     99,12
13:31:25        all     16,58      0,00      1,00      1,50      0,00     80,92
13:31:26        all     18,48      0,00      0,50      0,37      0,00     80,65
13:31:27        all     37,09      0,00      0,88      0,13      0,00     61,90
13:31:28        all     37,22      0,00      1,38      1,75      0,00     59,65
13:31:29        all     32,66      0,00      0,38      0,38      0,00     66,58
13:31:30        all     20,20      0,00      0,87      3,24      0,00     75,69
13:31:31        all     12,14      0,00      1,25      0,00      0,00     86,61
13:31:32        all      8,74      0,00      0,75      2,25      0,00     88,26
13:31:33        all      9,52      0,00      1,25      0,00      0,00     89,22
13:31:34        all      0,25      0,00      0,13      0,75      0,00     98,87
13:31:35        all      5,39      0,00      0,50      0,50      0,00     93,61
13:31:36        all      7,56      0,00      1,39      0,38      0,00     90,68
13:31:37        all     21,35      0,00      1,50      0,00      0,00     77,15
13:31:38        all     36,67      0,00      0,75      0,00      0,00     62,58
13:31:39        all     18,36      0,00      1,26      0,13      0,00     80,25
13:31:40        all     22,96      0,00      8,78      2,38      0,00     65,87
13:31:41        all     14,81      0,00      4,77      4,27      0,00     76,16
13:31:42        all     44,11      0,00      7,39      1,75      0,00     46,74
13:31:43        all     14,77      0,00      8,08      3,79      0,00     73,36
13:31:44        all     20,17      0,00     18,80      2,49      0,00     58,53
13:31:45        all     22,71      0,00     21,46      3,01      0,00     52,82
13:31:46        all     81,15      0,00      0,87      0,00      0,00     17,98
13:31:47        all      8,28      0,00      1,38      4,14      0,00     86,20
13:31:48        all     40,03      0,00      6,90      2,38      0,00     50,69
13:31:49        all     25,88      1,14      2,53      1,89      0,00     68,56
13:31:50        all     46,66     12,61      4,92      1,01      0,00     34,80
13:31:51        all     45,71      4,04      8,08      1,26      0,00     40,91
13:31:52        all     41,85      0,00      6,27      0,75      0,00     51,13
13:31:53        all     50,75      0,00      6,52      0,13      0,00     42,61
13:31:54        all     47,66      0,00      4,30      0,13      0,00     47,91
13:31:55        all     41,82      0,00      2,12      0,50      0,00     55,56
13:31:56        all     39,77      0,00      6,52      0,13      0,00     53,58
13:31:57        all     47,99      0,00      8,67      0,00      0,00     43,34
13:31:58        all     41,07      0,00      6,87      0,00      0,00     52,06
13:31:59        all     53,94      0,00      6,13      0,13      0,00     39,80
13:32:00        all     52,88      0,00     11,25      0,25      0,00     35,62
13:32:01        all     73,26      0,00      5,70      0,00      0,00     21,04
13:32:02        all     58,56      0,00     16,50      0,00      0,00     24,94
13:32:03        all     60,58      0,00     12,97      0,13      0,00     26,32
13:32:04        all     61,32      0,00     15,52      0,00      0,00     23,16
13:32:05        all     60,78      0,00     14,75      2,14      0,00     22,32
13:32:06        all     59,67      0,00     16,43      0,00      0,00     23,89
13:32:07        all     65,18      0,00     13,21      0,00      0,00     21,60
13:32:08        all     74,53      0,00     12,74      0,00      0,00     12,74
13:32:09        all     74,56      0,00      6,46      0,00      0,00     18,99
13:32:10        all     73,80      0,00     20,51      0,00      0,00      5,70
13:32:11        all     81,52      0,00     13,16      0,00      0,00      5,32
13:32:12        all     83,29      0,00     11,43      0,75      0,00      4,52
13:32:13        all     79,75      0,00     11,14      0,00      0,00      9,11
13:32:14        all     92,10      0,00      1,27      0,00      0,00      6,62
13:32:15        all     79,85      0,00     11,96      0,00      0,00      8,19
13:32:16        all     78,00      0,00     12,14      0,00      0,00      9,86
13:32:17        all     81,92      0,00     10,37      0,00      0,00      7,71
13:32:18        all     88,07      0,00      5,46      0,00      0,00      6,47
13:32:19        all     86,76      0,00      6,94      0,00      0,00      6,31
13:32:20        all     76,01      0,00     13,69      0,13      0,00     10,18
13:32:21        all     81,83      0,00     12,41      0,00      0,00      5,76
13:32:22        all     81,66      0,00      9,67      0,13      0,00      8,54
13:32:23        all     91,94      0,00      2,52      0,00      0,00      5,54
13:32:24        all     83,56      0,00     10,54      0,00      0,00      5,90
13:32:25        all     85,41      0,00     10,94      0,00      0,00      3,65
13:32:26        all     85,61      0,00     11,39      0,00      0,00      3,00
13:32:27        all     83,75      0,00      9,38      0,00      0,00      6,88
13:32:28        all     90,98      0,00      5,64      0,25      0,00      3,13
13:32:29        all     79,67      0,00      6,15      0,00      0,00     14,18
13:32:30        all     78,70      0,00     11,53      0,00      0,00      9,77
13:32:31        all     83,02      0,00     11,70      0,00      0,00      5,28
13:32:32        all     88,85      0,00      8,52      0,00      0,00      2,63
13:32:33        all     84,89      0,00      9,82      0,00      0,00      5,29
13:32:34        all     91,71      0,00      5,65      0,00      0,00      2,64
13:32:35        all     91,11      0,00      5,26      0,00      0,00      3,63
13:32:36        all     86,07      0,00     10,29      0,00      0,00      3,64
13:32:37        all     87,38      0,00      9,38      0,00      0,00      3,25
13:32:38        all     86,22      0,00     10,15      0,00      0,00      3,63
13:32:39        all     88,24      0,00      8,01      0,00      0,00      3,75
13:32:40        all     84,96      0,00     12,16      0,00      0,00      2,88
13:32:41        all     85,75      0,00     10,38      0,00      0,00      3,88
13:32:42        all     94,61      0,00      3,26      0,13      0,00      2,01
13:32:43        all     88,49      0,00      9,89      0,00      0,00      1,63
13:32:44        all     88,47      0,00      8,90      0,00      0,00      2,63
13:32:45        all     84,47      0,00     12,05      0,00      0,00      3,48
13:32:46        all     87,33      0,00      9,79      0,00      0,00      2,89
13:32:47        all     86,59      0,00     11,40      0,00      0,00      2,01
13:32:48        all     85,34      0,00     11,28      0,00      0,00      3,38
13:32:49        all     86,00      0,00      9,75      0,00      0,00      4,25
13:32:50        all     90,80      0,00      3,73      0,00      0,00      5,47
13:32:51        all     64,37      0,00     12,55      0,00      0,00     23,09
13:32:52        all     84,11      0,00     12,27      0,00      0,00      3,63
13:32:53        all     86,36      0,00      9,76      0,13      0,00      3,75
13:32:54        all     86,97      0,00     11,40      0,00      0,00      1,63
13:32:55        all     84,96      0,00     12,03      0,00      0,00      3,01
13:32:56        all     86,15      0,00     10,45      0,00      0,00      3,40
13:32:57        all     91,59      0,00      6,65      0,00      0,00      1,76
13:32:58        all     90,86      0,00      7,26      0,00      0,00      1,88
13:32:59        all     84,73      0,00     12,52      0,00      0,00      2,75
13:33:00        all     85,62      0,00     12,25      0,00      0,00      2,12
13:33:01        all     81,05      0,00     14,93      0,00      0,00      4,02
13:33:02        all     82,65      0,00     13,73      0,00      0,00      3,62
13:33:03        all     86,67      0,00     12,08      0,00      0,00      1,25
13:33:04        all     86,93      0,00      9,92      0,00      0,00      3,14
13:33:05        all     93,21      0,00      4,78      0,00      0,00      2,01
13:33:06        all     81,10      0,00     14,27      0,13      0,00      4,51
13:33:07        all     82,81      0,00     13,55      0,00      0,00      3,64
13:33:08        all     83,52      0,00     13,36      0,00      0,00      3,12
13:33:09        all     84,38      0,00     14,25      0,00      0,00      1,38
13:33:10        all     83,00      0,00     13,00      0,00      0,00      4,00
13:33:11        all     86,76      0,00      8,07      0,00      0,00      5,17
13:33:12        all     91,02      0,00      7,23      0,00      0,00      1,75
13:33:13        all     84,34      0,00     13,03      0,00      0,00      2,63
13:33:14        all     83,60      0,00     13,77      0,00      0,00      2,63
13:33:15        all     85,73      0,00     12,02      0,00      0,00      2,25
13:33:16        all     81,73      0,00     14,02      0,00      0,00      4,26
13:33:17        all     85,21      0,00     11,90      0,00      0,00      2,88
13:33:18        all     91,08      0,00      7,91      0,00      0,00      1,01
13:33:19        all     91,48      0,00      6,64      0,00      0,00      1,88
