# time,value
5,0
10,0
15,0
20,0
25,0
30,25
35,30
40,30
45,30
50,26
55,26
60,27
65,30
70,27
75,27
80,27
85,28
90,28
95,28
100,28
105,28
110,28
115,28
120,28
125,28
130,28
135,28
140,28
145,28
150,28
155,28
160,28
165,28
170,28
175,28
180,30
185,28
190,28
195,28
200,28
205,28
210,28
215,28
220,28
225,28
230,28
235,28
240,28
245,28
250,28
255,28
260,28
265,29
270,28
275,28
280,28
285,28
290,28
295,28
300,28
305,28
310,28
315,28
320,28
325,28
330,28
335,28
340,30
345,28
350,28
355,28
360,28
365,28
370,28
375,28
380,28
385,28
390,28
395,28
400,28
405,28
410,30
415,28
420,28
425,28
430,28
435,28
440,28
445,28
450,29
455,29
460,29
465,30
470,29
475,29
480,30
485,29
490,29
495,29
500,29
505,29
510,29
515,29
520,29
525,29
530,29
535,29
540,29
545,29
550,29
555,29
560,29
565,29
570,29
575,29
580,29
585,29
590,29
595,29
600,29
605,29
610,30
615,29
620,29
625,29
630,29
635,29
640,29
645,29
650,29
655,29
660,29
665,29
670,29
675,29
680,29
685,29
